week,player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
1,Joseph Cheek,11223,G,TEXAS A&M,1,0,312,78.1,0,0,66,100.0,100.0,100.0,0,0,0,68,68,67.7,0,0,30,100.0,100.0,100.0,0,0,30,30
1,Garrett Gramling,12357,G,TEXAS A&M,1,0,312,78.1,1,1,66,100.0,100.0,98.5,0,2,0,68,68,67.7,1,1,30,100.0,100.0,96.7,2,0,30,30
1,Cedric Ogbuehi,9454,T,TEXAS A&M,1,0,312,65.3,0,4,66,100.0,100.0,97.0,0,4,0,68,68,59.5,0,3,30,100.0,100.0,95.0,3,0,30,30
1,Mike Matthews,11065,C,TEXAS A&M,1,0,312,77.3,0,2,66,100.0,100.0,98.5,0,2,0,68,68,67.4,0,2,30,100.0,100.0,96.7,2,0,30,30
1,Germain Ifedi,10665,T,TEXAS A&M,1,0,312,81.7,0,1,66,100.0,100.0,99.2,0,1,0,68,68,76.8,0,1,30,100.0,100.0,98.3,1,0,30,30
1,Garrett Stafford,16803,T,TULSA,1,0,320,77.3,0,2,57,100.0,100.0,98.2,0,2,0,63,63,61.9,0,2,17,100.0,100.0,94.1,2,0,20,20
1,Cole Madison,46953,T,WASH STATE,1,0,341,63.1,0,0,59,100.0,100.0,98.3,0,1,1,63,63,70.3,0,0,1,100.0,100.0,100.0,0,0,1,1
1,Riley Sorenson,21829,C,WASH STATE,1,0,341,48.7,2,3,59,100.0,100.0,94.1,0,6,1,63,63,70.4,0,0,1,100.0,100.0,100.0,0,0,1,1
1,Gunnar Eklund,16712,G,WASH STATE,1,0,341,84.6,0,0,59,100.0,100.0,100.0,0,0,0,63,63,70.3,0,0,1,100.0,100.0,100.0,0,0,1,1
1,Garrett Gladd,16742,G,TULSA,1,0,320,53.8,0,3,57,100.0,100.0,97.4,0,3,0,63,63,19.3,0,3,17,100.0,100.0,91.2,3,0,20,20
