week,player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
0,Luc Bequette,25776,DI,CAL,1,0,0,130,62.2,0,1,10,100.0,20.0,2,0,5.0,0,10,10,1,0,62.5,0,1,8,100.0,25.0,2,6.3,0,8,8,1
0,Trevor Howard,25778,DI,CAL,1,0,0,130,58.0,0,0,3,100.0,0.0,0,0,0.0,0,3,3,0,0,58.2,0,0,2,100.0,0.0,0,0.0,0,2,2,0
0,Zeandae Johnson,25779,DI,CAL,1,0,0,130,53.8,0,0,13,100.0,0.0,0,0,0.0,0,13,13,0,0,53.8,0,0,10,100.0,0.0,0,0.0,0,10,10,0
0,Solomon Matautia,26631,S,HAWAII,1,0,0,180,57.5,0,0,3,75.0,0.0,0,0,0.0,0,4,3,0,0,57.7,0,0,2,100.0,0.0,0,0.0,0,2,2,0
0,Kory Rasmussen,38462,DI,HAWAII,1,0,0,180,59.7,0,2,28,100.0,3.6,1,0,3.6,0,29,29,2,0,56.2,0,0,10,100.0,0.0,0,0.0,0,10,10,0
0,Rusty Becker,38486,DI,CAL,1,0,0,130,66.4,0,0,2,100.0,50.0,1,0,0.0,0,2,2,0,0,66.4,0,0,2,100.0,50.0,1,0.0,0,2,2,0
0,Makani Kema-Kaleiwahea,38496,ED,HAWAII,1,0,1,180,57.8,1,1,40,97.6,5.0,2,1,5.0,1,41,40,3,0,57.6,0,1,19,100.0,5.3,1,7.9,1,19,19,2
0,Jeremiah Pritchard,38502,LB,HAWAII,1,0,0,180,54.7,0,0,8,27.6,0.0,0,0,0.0,0,29,8,0,0,55.1,0,0,4,25.0,0.0,0,0.0,0,16,4,0
0,Samiuela Akoteu,38518,DI,HAWAII,1,0,0,180,64.0,0,0,9,100.0,0.0,0,0,11.1,1,9,9,1,0,66.5,0,0,5,100.0,0.0,0,20.0,1,5,5,1
0,Meffy Koloamatangi,38539,ED,HAWAII,1,0,0,180,53.5,0,1,27,100.0,0.0,0,0,1.9,0,28,28,1,0,54.9,0,0,8,100.0,0.0,0,0.0,0,8,8,0
0,Tevarua Eldridge,38598,ED,HAWAII,1,0,0,180,57.9,0,0,17,100.0,5.9,1,0,0.0,0,19,19,0,0,62.0,0,0,6,100.0,16.7,1,0.0,0,6,6,0
0,Zeno Choi,38635,DI,HAWAII,1,0,0,180,55.3,0,0,24,100.0,0.0,0,0,0.0,0,24,24,0,0,55.7,0,0,10,100.0,0.0,0,0.0,0,10,10,0
0,Malachi Mageo,38653,S,HAWAII,1,0,0,180,61.8,0,1,15,45.9,6.7,1,0,3.3,0,37,17,1,0,55.2,0,1,7,58.3,0.0,0,7.1,0,12,7,1
0,DeVante Wilson,48371,ED,CAL,1,0,0,130,55.7,0,0,23,100.0,0.0,0,0,0.0,0,26,26,0,0,58.2,0,0,9,100.0,0.0,0,0.0,0,12,12,0
0,David Manoa,48428,ED,HAWAII,1,0,0,180,61.7,1,2,30,100.0,10.0,3,0,5.0,0,32,32,3,0,61.8,1,1,17,100.0,11.8,2,5.9,0,17,17,2
0,Noah Westerfield,48561,ED,CAL,1,0,0,130,54.8,0,0,8,100.0,0.0,0,0,0.0,0,8,8,0,0,55.0,0,0,6,100.0,0.0,0,0.0,0,6,6,0
0,Cameron Saffle,48595,ED,CAL,1,0,0,130,76.6,0,2,23,100.0,17.4,4,0,4.3,0,26,26,2,0,62.7,0,0,9,100.0,0.0,0,0.0,0,12,12,0
0,Tony Mekari,48624,DI,CAL,1,0,0,130,58.3,0,2,22,100.0,9.1,2,0,4.5,0,25,25,2,0,59.8,0,2,11,100.0,18.2,2,9.1,0,14,14,2
0,Marcus Manley,48658,DI,CAL,1,0,0,130,56.9,0,0,8,100.0,0.0,0,0,0.0,0,8,8,0,0,56.9,0,0,6,100.0,0.0,0,0.0,0,6,6,0
0,James Looney,48991,DI,CAL,1,0,0,130,72.1,1,4,26,100.0,19.2,5,0,9.6,0,29,29,5,0,75.5,1,3,11,100.0,36.4,4,18.2,0,14,14,4
0,Damien Packer,49247,S,HAWAII,1,0,0,180,64.7,1,0,3,6.7,0.0,0,0,16.7,0,60,4,1,0,59.2,0,0,1,4.0,0.0,0,0.0,0,25,1,0
0,Russ Ude,49651,DI,CAL,1,0,0,130,57.6,0,0,2,100.0,0.0,0,0,0.0,0,2,2,0,0,57.6,0,0,2,100.0,0.0,0,0.0,0,2,2,0
0,Devante Downs,49842,LB,CAL,1,0,0,130,63.1,0,0,4,19.4,0.0,0,0,0.0,0,31,6,0,0,65.4,0,0,2,23.5,0.0,0,0.0,0,17,4,0
0,Ka‘aumoana Gifford,49965,DI,HAWAII,1,0,0,180,55.1,0,0,22,100.0,0.0,0,0,0.0,0,23,23,0,0,55.7,0,0,10,100.0,0.0,0,0.0,0,10,10,0
0,Russell Williams Jr.,50711,LB,HAWAII,1,0,0,180,57.7,0,2,17,30.9,5.9,1,1,5.9,0,55,17,2,0,55.0,0,1,6,27.3,0.0,0,8.3,0,22,6,1
0,Jahlani Tavai,51055,LB,HAWAII,1,0,1,180,55.4,0,1,21,39.0,9.5,2,1,2.4,0,59,23,1,0,62.0,0,1,10,40.0,20.0,2,5.0,0,25,10,1
0,Trey Turner III,51131,CB,CAL,1,0,0,130,59.7,0,0,1,5.6,0.0,0,0,0.0,0,18,1,0,0,,0,0,0,0.0,,0,,0,9,0,0
0,Trayvon Henderson,51394,S,HAWAII,1,0,0,180,57.3,0,0,3,5.0,0.0,0,0,0.0,0,60,3,0,0,59.5,0,0,1,4.0,0.0,0,0.0,0,25,1,0
week,player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
1,Myles Garrett,11756,ED,TEXAS A&M,1,0,0,312,88.8,4,6,45,100.0,28.9,13,0,13.3,1,47,47,11,0,82.3,2,5,22,100.0,40.9,9,20.5,1,23,23,8
