week,player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
0,James Bowe Jr.,23787,ED,UMASS,1,3,0,216,0,,,100.0,,,0,0,,60.6,0,,,0,0,0.0,0,2,66.7,2,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,33.3,1,0,0,0,0,0,0,0.0,
0,Rojesterman Farris II,26587,CB,HAWAII,1,61,0,180,0,18.0,0.0,100.0,,12.0,0,1,100.0,76.0,0,,0.0,0,1,39.6,0,15,24.6,15,0,1,1,0,0,0,0.0,,0,0,26.0,33.3,100.0,32.0,10.7,0,1,33.3,89.6,0,37,0.0,0,1,81.3,1,35,57.4,35,0,1,3,0,37,1,1.2,37.0
0,Solomon Matautia,26631,LB,HAWAII,1,44,0,180,0,,,64.3,,,0,0,,64.1,0,,,0,0,0.0,0,9,20.5,14,0,0,0,0,0,0,0.0,,0,0,5.3,100.0,88.9,3.7,3.7,0,0,0.0,47.5,0,22,33.3,2,0,113.2,6,24,54.5,27,1,4,6,0,67,35,3.0,11.2
0,Roe Wilkins,28429,ED,RICE,1,1,0,275,0,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,12,2,1,0,0,0,0,,,0,0,,,6.7,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,15,0,0,0,0,0,0,0.0,
0,Manu Hudson-Rasmussen,29046,CB,HAWAII,1,48,0,180,0,3.0,100.0,75.0,8.0,8.0,0,0,0.0,58.5,0,4,0.0,0,0,83.3,1,9,18.8,12,0,1,1,0,4,1,0.5,4.0,0,0,9.0,100.0,93.5,8.7,8.7,0,0,0.0,56.5,0,17,0.0,0,0,118.8,3,29,60.4,31,0,1,3,0,39,12,1.5,13.0
0,Logan Wilson,29623,LB,WYOMING,1,29,0,351,0,,,100.0,,,0,0,,62.7,0,,,0,0,0.0,0,5,17.2,5,0,0,0,0,0,0,0.0,,0,1,,,100.0,,,0,0,,71.0,0,,0.0,0,0,0.0,0,24,82.8,24,0,1,0,0,0,0,0.0,
0,Adam Pilapil,30747,LB,WYOMING,1,20,0,351,0,,,100.0,,,0,0,,60.8,0,,,0,0,0.0,0,3,15.0,3,0,0,0,0,0,0,0.0,,0,0,-8.0,100.0,100.0,17.0,17.0,0,0,0.0,64.2,0,1,,0,0,79.2,1,17,85.0,17,0,0,1,0,1,9,0.1,1.0
0,Jordan Fogal,31943,S,COLO STATE,1,36,0,144,0,21.0,100.0,94.7,8.0,8.0,0,0,0.0,46.9,0,50,0.0,0,0,118.8,2,18,50.0,19,0,1,2,0,63,21,3.9,31.5,0,0,6.0,0.0,100.0,,7.5,0,1,50.0,77.5,0,,0.0,0,1,39.6,0,15,41.7,15,0,3,2,0,0,0,0.0,
0,Caleb Smith,32434,ED,COLO STATE,1,1,0,144,0,,,12.5,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,8,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,4,0,0,0,0,0,0,,
0,Justin Bickham,34260,CB,RICE,1,31,0,275,0,,,100.0,,,0,0,,66.4,0,,,0,0,0.0,0,12,38.7,12,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,64.8,0,,25.0,1,0,0.0,0,14,45.2,14,1,3,0,0,0,0,0.0,
