week,player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
0,James Bowe Jr.,23787,ED,UMASS,1,0,-4.0,0,0,216,61.1,75.1,71.9,,73.9,26.2,50.0,1,0,5,5,20.0,1,1
0,Richard King,26078,ED,COLO STATE,1,1,-1.0,0,0,144,60.0,60.0,80.1,52.4,66.5,73.7,0.0,0,0,31,31,3.2,1,1
0,Rojesterman Farris II,26587,CB,HAWAII,1,0,,0,0,180,89.7,85.6,79.3,55.4,46.3,46.0,,0,0,21,22,0.0,0,0
0,Solomon Matautia,26631,LB,HAWAII,1,2,4.5,0,0,180,52.3,55.0,75.7,58.4,61.9,48.2,14.3,1,0,20,21,10.0,2,4
0,Mario Patton,27067,DI,UMASS,1,0,3.0,0,0,216,,61.1,80.2,57.0,62.2,70.1,0.0,0,0,20,20,5.0,1,1
0,Roe Wilkins,28429,ED,RICE,1,1,3.0,0,0,275,60.1,88.9,77.8,84.2,77.9,77.8,0.0,0,0,17,17,17.6,3,3
0,Myles Adams,28430,DI,RICE,1,0,19.0,0,1,275,,69.8,74.3,72.5,60.1,40.1,33.3,1,0,6,6,16.7,1,2
0,Manu Hudson-Rasmussen,29046,CB,HAWAII,1,0,,0,0,180,58.6,59.1,81.0,58.1,62.1,78.0,,0,0,13,14,0.0,0,0
0,Youhanna Ghaifan,29621,DI,WYOMING,1,0,-1.0,0,0,351,61.5,78.3,75.1,61.2,79.4,74.3,0.0,0,0,10,11,10.0,1,1
0,Logan Wilson,29623,LB,WYOMING,1,0,3.0,0,0,351,71.1,73.9,75.3,,69.5,77.5,0.0,0,0,10,11,10.0,1,1
0,Adam Pilapil,30747,LB,WYOMING,1,0,,0,0,351,64.3,65.1,73.1,,60.0,,,0,0,1,1,0.0,0,0
0,Jordan Fogal,31943,S,COLO STATE,1,0,7.0,0,0,144,62.7,68.4,78.1,65.9,77.4,85.0,0.0,0,0,28,28,7.1,2,3
0,Caleb Smith,32434,ED,COLO STATE,1,1,,0,0,144,60.0,61.9,75.5,55.2,66.0,71.1,0.0,0,0,10,10,0.0,0,0
0,Justin Bickham,34260,CB,RICE,1,0,14.0,0,0,275,64.3,65.1,75.4,,64.8,63.1,0.0,0,0,15,15,0.0,0,1
0,Houston Robert,34359,S,RICE,1,0,,0,0,275,46.9,43.9,78.2,65.5,35.4,20.1,100.0,1,0,20,20,0.0,0,0
0,Eperone Moananu,38417,DI,HAWAII,1,0,2.5,0,0,180,,50.0,75.9,56.3,48.6,72.5,0.0,0,0,10,11,0.0,0,2
0,Kalen Hicks,38445,S,HAWAII,1,2,,0,0,180,67.7,69.5,79.0,58.2,72.0,63.2,0.0,0,0,21,22,0.0,0,0
0,Scheyenne Sanitoa,38488,LB,HAWAII,1,0,,0,0,180,37.6,33.2,68.8,,60.0,,,0,0,1,1,0.0,0,0
0,Samiuela Akoteu,38518,DI,HAWAII,1,0,3.2,0,0,180,,78.7,75.1,65.0,81.3,77.8,0.0,0,0,12,12,33.3,4,5
0,Tevarua Eldridge,38598,ED,HAWAII,1,0,15.0,0,0,180,60.0,56.9,75.3,57.6,56.8,72.2,0.0,0,0,6,7,0.0,0,1
0,Zeno Choi,38635,ED,HAWAII,1,0,5.7,0,0,180,60.5,58.0,0.0,58.4,65.2,75.5,0.0,0,1,15,15,0.0,0,3
0,Kaimana Padello,38636,ED,HAWAII,1,0,-2.0,0,0,180,55.2,68.7,80.7,75.4,58.8,29.5,50.0,1,0,12,13,8.3,1,1
0,Ikem Okeke,38639,S,HAWAII,1,1,12.0,0,0,180,70.8,67.6,77.7,,54.4,56.7,25.0,1,0,21,22,0.0,0,2
0,Manly Williams,38651,ED,HAWAII,1,0,6.0,0,0,180,62.1,63.0,75.5,57.7,62.6,73.0,0.0,0,0,8,8,0.0,0,1
0,Chavez Pownell Jr.,38987,LB,WYOMING,1,0,,0,0,351,81.5,78.3,76.8,,53.7,42.5,,0,0,3,4,0.0,0,0
