week,player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
0,Brian Snead,83732,HB,AUSTINPEAY,1,13,2,0,0.0,0,0,43,0,0,2,32,37.9,1,1,116,1,5,24.8,57.5,77.8,,81.3,52.7,53.3,73.3,10,0,0,0,14,20,0,0,0,13,0,43,32,2.46,3.3,0.0,7
0,Cameron Myers,78599,HB,CENT ARK,1,13,2,1,32.9,25,0,76,0,0,2,30,28.8,3,4,132,0,3,74.7,63.7,74.8,,58.9,69.8,62.1,60.0,25,0,18,3,12,14,0,0,3,16,0,76,30,2.31,5.8,1.5,8
0,Kierre Crossley,34090,HB,CENT ARK,1,12,3,3,80.0,88,0,110,0,2,3,20,52.1,3,3,132,0,3,74.2,70.2,77.1,,72.3,73.4,68.7,60.0,37,0,26,4,22,13,0,0,6,16,1,110,20,1.67,9.2,1.18,8
0,Jeremiah Oatsvall,54990,QB,AUSTINPEAY,1,12,1,1,48.6,18,0,7,0,0,1,9,14.1,3,4,116,1,1,71.9,47.9,0.0,48.4,,60.0,59.7,60.0,18,3,0,0,1,31,30,4,0,8,1,37,37,3.08,3.1,0.0,2
0,C.J. Evans,121347,HB,AUSTINPEAY,1,10,0,1,76.5,75,0,98,0,0,0,91,0.0,1,1,116,0,2,73.2,69.3,76.5,,76.1,62.2,69.2,60.0,75,0,3,2,11,12,0,0,2,12,1,98,91,9.1,9.8,0.27,5
0,Breylin Smith,33893,QB,CENT ARK,1,4,0,0,0.0,0,0,-13,0,0,0,1,0.0,0,0,132,2,0,25.2,47.0,29.7,54.6,,,35.8,60.0,9,1,0,0,0,27,6,2,0,2,0,-7,5,1.25,-1.8,,1
0,Cole Deeds,82608,HB,AUSTINPEAY,1,1,0,0,0.0,0,0,-27,0,0,0,-5,0.0,0,0,116,0,0,62.5,60.0,70.3,,,,60.0,,-27,0,0,0,0,1,0,0,0,1,0,-27,-5,-5.0,-27.0,,0
0,Jay Parker,78795,WR,AUSTINPEAY,1,1,0,0,0.0,0,0,3,0,0,0,0,0.0,0,0,116,1,0,15.5,61.7,77.6,,63.9,67.5,50.4,71.3,3,0,55,3,27,20,0,0,4,4,0,3,0,0.0,3.0,2.04,1
week,player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
1,TJ McDaniel,97299,HB,SMU,1,27,4,1,11.6,15,0,129,0,2,4,82,62.8,3,10,287,1,4,43.0,68.2,77.2,,76.5,57.3,68.4,60.0,15,0,6,2,19,30,0,0,2,29,1,129,82,3.04,4.8,0.32,21
