week,player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
0,Cortez Davis,22974,CB,HAWAII,1,0,28.3,33.3,100.0,26.0,8.7,0,0,0,0.0,180,49.7,50.8,77.4,,57.7,76.6,0,44,0.0,0,0,0,121.5,1,26,26,0,2,3,1,44,8,1.7,44.0
0,Deonte Perry,41092,S,FRESNO ST,1,0,,,100.0,,,0,0,0,,169,62.8,63.1,71.8,,60.0,,0,,,0,0,0,0.0,0,7,7,0,0,0,0,0,0,0.0,
0,JoJo Domann,42446,LB,NEBRASKA,1,0,5.5,100.0,100.0,8.5,8.5,0,0,0,0.0,238,66.1,70.1,78.9,,74.0,74.8,0,9,,0,0,0,91.7,2,18,18,0,0,2,0,12,1,0.7,6.0
0,Jay Lenard,42492,S,S JOSE ST,1,0,,,88.2,,,0,0,0,,285,57.4,68.6,76.5,73.5,75.3,48.2,0,,100.0,1,0,0,0.0,0,15,17,0,0,0,0,0,0,0.0,
0,Marquel Dismuke,43025,S,NEBRASKA,1,0,20.5,100.0,100.0,8.0,8.0,0,0,0,0.0,238,50.9,58.1,78.6,,66.1,68.7,0,45,0.0,0,0,0,118.8,2,17,17,0,1,2,0,59,18,3.7,29.5
0,D.J. Morgan,43099,LB,UCONN,1,0,5.5,75.0,100.0,5.0,3.8,0,0,0,0.0,146,50.9,61.1,75.2,,75.9,79.9,0,10,0.0,0,0,0,93.8,3,15,15,1,3,4,0,28,21,1.9,9.3
0,Chima Azunna,43211,S,HAWAII,1,0,8.8,60.0,100.0,8.7,5.2,0,0,0,0.0,180,51.9,50.9,78.8,,50.8,49.0,0,12,20.0,1,0,0,70.4,3,26,26,1,4,5,0,22,7,0.8,7.3
0,Qwuantrezz Knight,43322,S,UCLA,1,0,-1.2,88.9,90.9,3.6,3.2,0,0,0,0.0,324,57.7,59.6,77.9,57.6,68.2,41.4,0,16,33.3,2,0,0,94.0,8,30,33,2,4,9,0,59,65,2.0,7.4
0,Obi Eboh,43343,CB,UCLA,1,1,4.0,0.0,86.7,,13.0,0,0,0,0.0,324,67.7,73.9,76.4,72.0,72.6,80.1,0,,0.0,0,0,0,39.6,0,13,15,0,1,1,0,0,0,0.0,
0,Kyle Williams,43601,CB,UCONN,1,0,,,85.7,,,0,0,0,,146,63.1,65.7,75.8,60.0,64.5,74.8,0,,,0,0,0,0.0,0,6,7,0,0,0,0,0,0,0.0,
0,Jake Hansen,43645,LB,ILLINOIS,1,0,12.7,66.7,80.9,18.0,12.0,0,0,0,0.0,187,58.4,77.9,78.0,66.4,91.7,82.2,0,30,,0,0,0,109.0,2,38,47,0,0,3,0,37,12,1.0,18.5
0,Tyson Maeva,50660,LB,FRESNO ST,1,0,0.0,100.0,86.7,13.0,13.0,0,0,0,0.0,169,78.6,74.7,73.7,57.1,61.0,49.1,0,3,0.0,0,0,0,79.2,1,13,15,2,2,1,0,3,3,0.2,3.0
0,Kenny Gagnon,51418,S,FRESNO ST,1,0,,,100.0,,,0,0,0,,169,65.3,57.1,72.8,,55.7,78.3,0,,0.0,0,0,0,0.0,0,6,6,0,1,0,0,0,0,0.0,
0,Eugene Ford,52061,S,HAWAII,1,0,3.0,100.0,70.0,7.0,7.0,0,0,0,0.0,180,65.1,68.0,78.1,57.2,70.0,79.8,0,7,0.0,0,0,0,95.8,1,7,10,0,1,1,0,7,4,1.0,7.0
