week,player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
0,Blake Jeresaty,25150,G,ILLINOIS,1,0,187,58.0,100.0,8,18.2,8,63.6,0,100.0,44,44,65.0,100.0,32,72.7,32
0,Vederian Lowe,59741,T,ILLINOIS,1,0,187,62.6,100.0,8,18.2,8,65.1,0,100.0,44,44,65.6,100.0,32,72.7,32
0,Doug Kramer,41458,C,ILLINOIS,1,0,187,64.5,100.0,8,18.2,8,81.6,1,100.0,44,44,82.5,100.0,32,72.7,32
0,Alex Palczewski,59738,T,ILLINOIS,1,0,187,59.7,100.0,7,16.3,7,85.4,0,100.0,43,43,88.9,100.0,32,74.4,32
0,Andrew Meyer,81910,C,UTEP,1,0,330,62.7,100.0,12,32.4,12,68.0,0,100.0,37,37,68.8,100.0,22,59.5,22
0,Artur Sitkowski,83547,QB,ILLINOIS,1,0,187,60.0,100.0,8,22.9,8,60.0,0,94.6,35,37,60.0,96.2,25,71.4,26
0,Luke Ford,83973,TE,ILLINOIS,1,0,187,82.7,100.0,8,22.9,8,69.4,0,100.0,35,35,60.5,100.0,25,71.4,25
0,Jon Gaines II,81879,G,UCLA,1,0,324,58.4,100.0,10,31.3,10,62.6,0,100.0,32,32,64.2,100.0,22,68.8,22
0,Jeremiah Byers,100806,T,UTEP,1,0,330,57.8,100.0,10,32.3,10,72.7,0,100.0,31,31,78.0,100.0,19,61.3,19
0,Casey Washington,101710,WR,ILLINOIS,1,0,187,60.0,100.0,4,13.3,4,62.6,0,100.0,30,30,61.6,100.0,24,80.0,24
0,Elijah Klein,81912,G,UTEP,1,0,330,64.2,100.0,8,26.7,8,72.1,0,100.0,30,30,73.4,100.0,19,63.3,19
0,Alec Anderson,81882,T,UCLA,1,0,324,55.7,100.0,10,33.3,10,60.3,0,100.0,30,30,63.2,100.0,20,66.7,20
0,Paul Grattan Jr.,41791,G,UCLA,1,0,324,62.7,100.0,10,33.3,10,79.1,0,100.0,30,30,82.7,100.0,20,66.7,20
0,Daniel Barker,83982,TE,ILLINOIS,1,0,187,57.0,100.0,3,10.3,3,72.8,0,100.0,29,29,83.1,100.0,22,75.9,22
0,Justin Garrett,84486,WR,UTEP,1,0,330,60.0,100.0,8,27.6,8,61.6,0,100.0,29,29,62.1,100.0,20,69.0,20
0,Dante Adkins Jr.,98051,G,FRESNO ST,1,0,169,50.4,100.0,9,32.1,9,61.6,0,100.0,28,28,69.0,100.0,14,50.0,14
0,Sean Rhyan,72009,T,UCLA,1,0,324,55.3,100.0,9,32.1,9,53.4,0,100.0,28,28,54.8,100.0,19,67.9,19
0,Jacob Cowing,100894,WR,UTEP,1,0,330,58.6,100.0,8,29.6,8,56.7,0,100.0,27,27,56.8,100.0,19,70.4,19
0,Matt Sichterman,59906,G,NEBRASKA,1,0,238,58.2,100.0,4,14.8,4,52.4,0,100.0,27,27,52.1,100.0,20,74.1,20
