week,player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
0,Sam Wiglusz,88315,WR,OHIO,1,11.4,0,66.7,50.0,1,2,0,0.0,0,7,259,0,80.9,67.9,73.8,,73.3,0.0,0,1,15,0.0,0,61,0,10,93.4,57,100.0,61,58.5,15,0,0.0,0,103,19,1.9,10.3,1.81
0,Miles Cross,145887,WR,OHIO,1,15.6,2,33.3,50.0,1,2,0,33.3,2,3,259,0,25.7,65.0,55.1,,55.1,0.0,0,1,22,0.0,0,60,0,4,93.3,56,1.7,1,39.2,12,1,98.3,59,47,20,5.0,11.8,0.84
0,Smoke Harris,78918,WR,LA TECH,1,1.8,5,100.0,,0,0,0,0.0,0,6,208,0,82.2,73.0,76.7,,76.4,0.0,0,0,64,0.0,0,41,0,11,97.6,40,97.6,40,149.1,11,1,2.4,1,154,134,12.2,14.0,3.85
0,Steven McBride,122570,WR,HAWAII,1,14.8,2,77.8,50.0,1,2,0,0.0,0,4,180,0,78.5,66.7,73.7,,74.8,0.0,0,0,45,0.0,0,38,0,7,94.7,36,0.0,0,151.6,9,2,100.0,38,98,24,3.4,14.0,2.72
0,Nate Jones,162959,TE,LA TECH,1,4.0,0,77.8,0.0,0,1,0,0.0,0,1,208,1,78.5,16.5,54.5,70.9,58.6,21.6,8,0,11,10.8,4,37,0,7,89.2,33,70.3,26,79.6,9,0,2.7,1,28,11,1.6,4.0,0.85
0,Tyler Walton,78201,WR,OHIO,1,11.0,2,66.7,33.3,1,3,0,0.0,0,2,259,0,78.5,71.6,60.4,,60.9,0.0,0,0,21,0.0,0,59,0,6,93.2,55,0.0,0,83.6,9,0,100.0,59,56,14,2.3,9.3,1.02
0,Nick Nash,98679,WR,S JOSE ST,1,14.3,0,75.0,100.0,1,1,0,0.0,0,4,285,0,77.5,66.2,71.2,,69.2,0.0,0,0,32,0.0,0,49,0,6,93.9,46,4.1,2,150.5,8,3,95.9,47,89,19,3.2,14.8,1.93
0,Jayden McGowan,157184,WR,VANDERBILT,1,9.5,0,75.0,,0,0,0,0.0,0,3,333,0,77.5,69.4,69.6,,68.1,0.0,0,0,32,0.0,0,27,0,6,100.0,27,66.7,18,102.1,8,0,33.3,9,72,31,5.2,12.0,2.67
0,Will Sheppard,124360,WR,VANDERBILT,1,11.0,1,75.0,0.0,0,1,0,14.3,1,5,333,0,53.4,69.6,71.5,,72.7,0.0,0,0,22,0.0,0,28,1,6,89.3,25,3.6,1,139.6,8,2,96.4,27,68,15,2.5,11.3,2.72
0,Kelly Akharaiyi,157878,WR,UTEP,1,23.7,1,57.1,0.0,0,2,0,20.0,1,4,330,0,45.4,65.0,75.5,,72.6,0.0,0,1,32,0.0,0,31,0,4,93.5,29,16.1,5,101.8,7,1,83.9,26,102,26,6.5,25.5,3.52
