week,player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
0,Matthew Henry,192936,WR,W KENTUCKY,1,12,0,346,24.3,0,33.3,33.3,1,3,0.0,0,1,0,66.7,64.9,0,18,0.0,0,10,1,100.0,10,54.9,3,30.0,0,18,0,0.0,18.0,1.8,0,19.2,0,66.7,,0,0,0.0,0,4,0,77.5,84.8,0,55,0.0,0,23,6,95.7,22,146.8,9,40.9,1,130,32,5.3,21.7,5.91
0,Pofele Ashlock,158166,WR,HAWAII,1,10,0,180,5.0,2,100.0,,0,0,0.0,0,1,0,73.1,59.7,0,10,0.0,0,18,3,100.0,18,91.7,3,16.7,0,18,3,1.0,6.0,1.0,0,3.0,2,75.0,,0,0,0.0,0,1,0,73.1,59.2,0,11,0.0,0,22,3,95.5,21,84.4,4,19.0,0,19,17,5.7,6.3,0.9
0,Jackson Harris,176616,WR,HAWAII,1,9,0,180,19.0,0,33.3,0.0,0,1,0.0,0,1,0,66.7,59.4,0,12,0.0,0,15,1,100.0,15,46.5,3,20.0,0,12,7,7.0,12.0,0.8,0,15.6,0,80.0,,0,0,0.0,0,3,0,74.9,73.9,0,19,0.0,0,18,4,94.4,17,142.1,5,29.4,1,43,4,1.0,10.8,2.53
0,Jayce Brown,173093,WR,KANSAS ST,1,8,0,199,,0,,,0,0,,0,0,0,,55.9,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,0,21.0,0,50.0,0.0,0,1,25.0,1,1,0,40.2,68.6,0,37,0.0,0,18,3,100.0,18,127.1,6,33.3,1,63,6,2.0,21.0,3.5
0,Moussa Barry,166787,WR,W KENTUCKY,1,8,0,346,2.0,0,100.0,,0,0,0.0,0,1,0,66.7,63.6,0,11,0.0,0,10,1,100.0,10,112.5,1,10.0,0,11,9,9.0,11.0,1.1,0,15.8,0,50.0,,0,0,33.3,1,1,0,31.6,52.9,0,25,0.0,0,25,2,96.0,24,71.9,4,16.7,0,27,18,9.0,13.5,1.13
0,Jaden Bradley,144016,WR,UNLV,1,7,0,325,4.5,1,50.0,0.0,0,1,0.0,0,1,0,66.7,64.0,0,11,0.0,0,10,1,80.0,8,66.7,2,25.0,0,11,12,12.0,11.0,1.38,0,15.3,1,100.0,100.0,1,1,0.0,0,3,0,74.9,83.3,0,47,0.0,0,9,4,88.9,8,118.8,4,50.0,0,79,18,4.5,19.8,9.88
0,Elijah Green,122836,HB,SM HOUSTON,1,7,0,281,-3.0,0,100.0,,0,0,0.0,0,0,0,70.7,64.9,0,7,22.2,2,9,2,66.7,6,87.5,2,33.3,0,10,16,8.0,5.0,1.67,0,-0.6,4,100.0,,0,0,0.0,0,2,0,76.3,83.1,0,35,7.1,1,14,5,92.9,13,109.2,5,38.5,0,51,54,10.8,10.2,3.92
0,Marvis Parrish,199564,HB,W KENTUCKY,1,7,0,346,-1.5,2,100.0,,0,0,0.0,0,2,0,70.7,76.7,0,11,27.3,3,11,2,72.7,8,110.4,2,25.0,0,21,24,12.0,10.5,2.63,0,4.4,1,80.0,,0,0,20.0,1,2,0,45.4,60.3,0,22,12.5,2,16,4,87.5,14,137.1,5,35.7,1,37,27,6.8,9.3,2.64
0,Sam Roush,157270,TE,STANFORD,1,7,0,300,1.5,0,100.0,,0,0,0.0,0,0,0,70.7,59.1,0,3,16.7,1,6,2,83.3,5,79.2,2,40.0,0,6,3,1.5,3.0,1.2,0,12.5,0,25.0,0.0,0,2,0.0,0,0,0,66.7,53.2,0,0,18.8,3,16,1,75.0,12,39.6,4,33.3,0,0,0,0.0,0.0,0.0
0,Jairus Mack,145562,WR,W KENTUCKY,1,6,0,346,12.0,0,66.7,0.0,0,1,0.0,0,2,0,70.7,71.5,0,17,0.0,0,10,2,100.0,10,97.9,3,30.0,0,29,20,10.0,14.5,2.9,0,11.0,0,50.0,,0,0,0.0,0,0,0,66.7,52.0,0,5,0.0,0,23,1,95.7,22,56.3,2,9.1,0,5,0,0.0,5.0,0.23
0,Cam Pickett,163093,WR,KANSAS,1,6,0,198,9.0,0,100.0,,0,0,0.0,0,1,0,70.7,68.8,0,13,0.0,0,5,2,80.0,4,104.2,2,50.0,0,18,0,0.0,9.0,4.5,0,3.3,0,100.0,,0,0,0.0,0,4,0,74.9,86.5,0,21,0.0,0,8,4,87.5,7,158.3,4,57.1,2,59,46,11.5,14.8,8.43
0,Gabe Burkle,157578,TE,IOWA STATE,1,6,0,193,23.0,0,0.0,0.0,0,1,,0,0,0,,54.7,0,0,0.0,0,6,0,83.3,5,39.6,1,20.0,0,0,0,,,0.0,0,4.8,0,50.0,0.0,0,1,0.0,0,1,0,70.7,63.2,0,10,22.2,6,27,2,77.8,21,58.3,4,19.0,0,14,5,2.5,7.0,0.67
0,Richie Anderson III,173519,TE,FRESNO ST,1,5,0,169,19.0,0,0.0,,0,0,,0,0,0,,55.4,1,0,0.0,0,6,0,100.0,6,0.0,1,16.7,0,0,0,,,0.0,0,-0.3,0,33.3,,0,0,66.7,2,0,0,10.9,33.8,0,2,15.4,2,13,1,84.6,11,42.4,3,27.3,0,2,2,2.0,2.0,0.18
0,Jaron Tibbs,174972,WR,KANSAS ST,1,5,0,199,15.0,0,0.0,,0,0,,0,0,0,,56.0,0,0,0.0,0,4,0,100.0,4,39.6,1,25.0,0,0,0,,,0.0,0,6.5,0,100.0,,0,0,0.0,0,1,0,70.7,54.1,0,7,0.0,0,19,2,100.0,19,95.8,2,10.5,0,14,1,0.5,7.0,0.74
