Rk,Team,Year,G#,,Opp.,Pts,PtsO,PtDif,TD,XPA,XPM,FGA,FGM,2PM,Sfty,KRTD,PRTD,INTD,FRTD,OppKRTD,OppPRTD,OppINTD,OppFRTD
1,GA STATE,2014,1,,ABILENE CH,38,37,1,5,5,5,1,1,0,0,0,0,0,0,0,0,0,0
2,AKRON ,2014,1,,HOWARD,41,0,41,6,6,5,1,0,0,0,0,0,0,0,0,0,0,0
3,ARIZONA ST,2014,1,,WEBER ST,45,14,31,6,6,6,1,1,0,0,0,0,0,0,0,0,0,0
4,BOISE ST,2014,1,N,OLE MISS,13,35,-22,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0
5,C MICHIGAN,2014,1,,CHATTNOOGA,20,16,4,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0
6,LA MONROE,2014,1,,WAKE,17,10,7,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0
7,MINNESOTA,2014,1,,E ILLINOIS,42,20,22,6,6,6,0,0,0,0,0,1,0,0,0,0,0,0
8,OLE MISS,2014,1,N,BOISE ST,35,13,22,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
9,NEW MEX ST,2014,1,,CAL POLY,28,10,18,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
10,N ILLINOIS,2014,1,,PRESBYTERN,55,3,52,7,7,7,4,2,0,0,0,0,0,0,0,0,0,0
11,RUTGERS,2014,1,N,WASH STATE,41,38,3,5,5,5,2,2,0,0,0,0,0,0,0,0,0,0
12,S JOSE ST,2014,1,,N DAKOTA,42,10,32,6,6,6,1,0,0,0,0,1,0,0,0,0,0,0
13,S CAROLINA,2014,1,,TEXAS A&M,28,52,-24,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0
14,TEMPLE,2014,1,@,VANDERBILT,37,7,30,3,4,4,4,3,0,0,0,0,0,0,0,0,0,0
15,TEXAS A&M,2014,1,@,S CAROLINA,52,28,24,7,7,7,1,1,0,0,0,0,0,0,0,0,0,0
16,TULANE,2014,1,@,TULSA,31,38,-7,4,4,4,2,1,0,0,0,0,0,0,0,0,0,0
17,TULSA,2014,1,,TULANE,38,31,7,4,3,3,5,3,1,0,0,0,0,0,0,0,0,0
18,UTAH,2014,1,,IDAHO ST,56,14,42,8,8,8,0,0,0,0,1,1,0,0,0,0,0,0
19,VANDERBILT,2014,1,,TEMPLE,7,37,-30,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
20,WAKE,2014,1,@,LA MONROE,10,17,-7,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
21,WASH STATE,2014,1,N,RUTGERS,38,41,-3,5,5,5,2,1,0,0,0,0,0,0,0,0,0,0
22,ARIZONA,2014,1,,0,58,13,45,7,7,7,4,3,0,0,0,0,0,0,0,0,0,0
23,BOWL GREEN ,2014,1,@,W KENTUCKY,31,59,-28,4,4,4,2,1,0,0,0,0,0,0,0,0,0,0
24,BYU,2014,1,@,UCONN,35,10,25,5,5,5,1,0,0,0,0,0,0,0,0,0,0,0
25,COLORADO,2014,1,N,COLO STATE,17,31,-14,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0
26,COLO STATE,2014,1,N,COLORADO,31,17,14,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0
27,UCONN,2014,1,,BYU,10,35,-25,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
28,HOUSTON,2014,1,,UTSA,7,27,-20,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
29,MICH STATE,2014,1,,JVILLE ST,45,7,38,6,6,6,2,1,0,0,0,0,0,0,0,0,0,0
30,UNLV,2014,1,@,ARIZONA,13,58,-45,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0
31,SYRACUSE,2014,1,,VILLANOVA ,27,26,1,3,3,3,2,2,0,0,0,0,0,0,0,1,0,0
32,UTSA,2014,1,@,HOUSTON,27,7,20,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0
33,W KENTUCKY,2014,1,,BOWL GREEN ,59,31,28,8,8,8,2,1,0,0,0,0,0,0,0,0,0,0
34,AIR FORCE,2014,1,,NICHOLLS,44,16,28,6,6,6,1,0,0,0,0,0,0,0,0,0,0,0
35,ALABAMA,2014,1,N,W VIRGINIA,33,23,10,3,3,3,4,4,0,0,0,0,0,0,1,0,0,0
36,UAB,2014,1,,TROY,48,10,38,6,6,6,2,2,0,0,0,0,0,0,0,0,0,0
37,APP STATE,2014,1,@,MICHIGAN,14,52,-38,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0
38,ARKANSAS,2014,1,@,AUBURN,21,45,-24,3,3,3,0,0,3,0,0,0,0,0,0,0,0,0
39,ARK STATE,2014,1,,MONTANA ST,37,10,27,4,3,3,3,3,0,0,0,0,0,0,0,0,0,0
40,AUBURN,2014,1,,ARKANSAS,45,21,24,6,6,6,2,1,6,0,0,0,0,0,0,0,0,0
