week,player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
1,Calais Campbell,4364,DI,ARZ,1,1,2.0,0,0,1,60.0,61.2,76.0,49.1,71.8,71.6,0.0,0,0,9,9,11.1,1,2
1,Von Miller,6154,ED,WAS,1,0,1.0,0,0,32,60.0,50.0,0.0,52.6,69.9,69.9,0.0,0,1,5,5,20.0,1,1
1,Cameron Jordan,6176,ED,NO,1,1,-2.0,0,0,20,74.0,80.8,78.7,62.8,78.2,28.9,0.0,0,0,18,18,5.6,1,1
1,Cameron Heyward,6183,DI,PIT,1,0,1.7,0,0,25,,65.4,76.6,63.2,62.7,70.5,0.0,0,0,24,25,12.5,3,3
1,Bobby Wagner,7050,LB,WAS,1,1,2.0,0,0,32,65.5,74.8,0.0,57.8,90.3,82.3,0.0,0,1,17,17,17.6,3,6
1,Lavonte David,7060,LB,TB,1,5,,0,0,30,67.3,72.3,75.5,51.9,75.3,58.0,16.7,1,0,24,25,0.0,0,0
1,Demario Davis,7079,LB,NO,1,3,1.8,0,0,20,75.0,90.7,78.2,69.4,91.0,65.4,0.0,0,1,23,24,13.0,3,4
1,Darius Slay,7817,CB,PIT,1,0,7.3,0,0,25,61.7,54.2,77.8,,38.6,31.1,40.0,2,0,37,38,2.7,1,3
1,John Jenkins,7863,DI,BLT,1,0,,0,0,3,,58.9,74.5,54.2,62.3,,,0,0,8,8,0.0,0,0
1,Khalil Mack,8640,ED,LAC,1,0,0.0,0,0,27,60.0,54.9,79.4,63.8,62.4,69.9,0.0,0,0,9,10,11.1,1,1
1,DeMarcus Lawrence,8669,ED,SEA,1,3,0.8,0,0,29,,59.5,80.5,49.7,67.2,56.2,0.0,0,0,22,23,18.2,4,4
1,Kyle Van Noy,8675,ED,BLT,1,0,0.0,0,0,3,63.6,63.6,78.4,59.5,63.2,72.4,0.0,0,0,15,16,6.7,1,1
1,DaQuan Jones,8747,DI,BUF,1,0,-1.0,0,0,4,,63.6,77.2,65.0,59.7,68.9,0.0,0,0,20,20,5.0,1,1
1,Shelby Harris,8869,DI,CLV,1,0,1.0,0,0,8,,31.6,0.0,52.9,46.7,67.3,0.0,0,1,12,12,8.3,1,1
1,Mike Pennel,9316,DI,CIN,1,3,-1.0,0,0,7,64.9,62.1,75.1,60.3,52.6,71.1,0.0,0,0,10,10,10.0,1,1
1,Dante Fowler Jr.,9436,ED,DAL,1,0,,0,0,9,60.0,55.8,77.2,64.9,44.6,,,0,0,7,7,0.0,0,0
1,Leonard Williams,9439,DI,SEA,1,4,-1.5,0,0,29,60.8,70.2,7.1,60.3,78.5,49.3,0.0,0,1,24,24,8.3,2,2
1,Arik Armstead,9450,DI,JAX,1,1,,0,0,15,,59.1,77.3,58.4,59.0,66.8,0.0,0,0,14,14,0.0,0,0
1,Bud Dupree,9455,ED,LAC,1,0,,0,0,27,48.6,52.3,74.9,62.1,60.0,,,0,0,2,2,0.0,0,0
1,Mario Edwards Jr.,9468,DI,HST,1,0,,0,0,13,,53.1,74.9,63.2,47.9,,,0,0,8,9,0.0,0,0
1,Eddie Goldman,9472,DI,WAS,1,0,-2.0,0,0,32,,84.0,76.2,66.7,79.9,67.6,0.0,0,0,8,8,12.5,1,1
1,Denzel Perryman,9481,LB,LAC,1,1,,0,0,27,62.8,60.3,72.5,,57.1,74.9,0.0,0,0,4,4,0.0,0,0
1,Danielle Hunter,9521,ED,HST,1,0,3.0,0,0,13,60.0,83.0,81.0,74.9,65.7,71.2,0.0,0,0,18,19,5.6,1,2
1,Grady Jarrett,9570,DI,CHI,1,0,3.0,0,0,6,60.0,60.2,77.1,49.1,67.7,70.2,0.0,0,0,17,18,11.8,2,2
1,Quandre Diggs,9633,S,TEN,1,0,,0,0,31,60.4,53.7,80.4,59.1,52.3,43.7,100.0,1,0,7,7,0.0,0,0
1,Rakeem Nunez-Roches,9650,DI,NYG,1,1,,0,0,21,,49.9,0.0,51.5,66.0,67.3,0.0,0,1,14,15,0.0,0,0
1,Alex Singleton,9994,LB,DEN,1,1,6.0,0,0,10,53.9,49.1,76.9,57.1,50.0,41.7,25.0,1,0,21,21,0.0,0,2
1,Joey Bosa,10637,ED,BUF,1,0,-6.0,0,1,4,60.1,58.2,80.0,50.3,64.9,30.0,0.0,0,0,16,16,6.3,1,1
1,Jalen Ramsey,10639,S,PIT,1,0,13.0,0,0,25,87.5,79.4,77.1,56.0,56.1,77.8,0.0,0,1,37,38,0.0,0,2
1,DeForest Buckner,10641,DI,IND,1,1,0.0,0,0,14,60.0,68.4,76.2,64.2,64.8,68.7,33.3,1,0,9,9,11.1,1,1
1,Leonard Floyd,10643,ED,ATL,1,0,,0,0,2,63.5,58.5,77.5,52.1,64.7,,,0,0,8,8,0.0,0,0
1,Sheldon Rankins,10646,DI,HST,1,0,4.0,0,0,13,,62.1,77.4,74.3,46.7,70.2,0.0,0,0,18,19,5.6,1,2
1,Kenny Clark,10661,DI,DAL,1,0,1.0,0,0,9,59.0,60.7,77.1,65.9,60.3,42.4,0.0,0,0,20,20,10.0,2,3
1,Emmanuel Ogbah,10666,ED,JAX,1,0,2.0,0,0,15,60.5,63.8,77.5,51.7,69.8,67.4,0.0,0,0,9,9,0.0,0,1
1,Chris Jones,10671,DI,KC,1,0,-0.5,0,0,16,,73.5,78.3,64.9,72.0,68.4,0.0,0,0,14,15,14.3,2,2
1,Xavien Howard,10672,CB,IND,1,0,,0,0,14,80.7,80.0,76.0,,61.3,,,0,0,9,9,0.0,0,0
1,Austin Johnson,10677,DI,JAX,1,0,,0,0,15,60.0,51.1,73.9,69.9,49.1,,,0,0,7,7,0.0,0,0
1,Jihad Ward,10678,ED,TEN,1,0,1.5,0,0,31,,74.4,73.5,61.3,72.2,72.8,0.0,0,0,8,8,25.0,2,2
1,A'Shawn Robinson,10680,DI,CAR,1,3,1.3,0,0,5,,69.9,77.1,69.4,64.1,72.3,0.0,0,0,22,24,13.6,3,3
1,Jarran Reed,10683,DI,SEA,1,1,5.0,0,0,29,60.0,52.2,77.0,62.8,49.0,71.8,0.0,0,0,19,20,5.3,1,5
1,Deion Jones,10686,LB,TB,1,0,,0,0,30,60.0,62.7,64.4,,60.0,,,0,0,2,2,0.0,0,0
1,Kevin Byard,10698,S,CHI,1,2,7.0,0,0,6,57.8,58.4,78.7,52.7,63.0,63.7,16.7,1,0,24,25,8.3,2,3
1,Maliek Collins,10701,DI,CLV,1,0,,0,0,8,,64.3,75.6,65.3,58.3,26.6,100.0,1,0,12,14,0.0,0,0
1,Jonathan Bullard,10706,DI,NO,1,0,,0,0,20,,55.1,75.3,51.1,61.5,,,0,0,9,9,0.0,0,0
1,Javon Hargrave,10723,DI,MIN,1,2,0.0,0,0,18,,61.7,0.0,70.5,58.1,71.1,0.0,0,1,12,12,8.3,1,1
1,Eric Murray,10740,S,JAX,1,0,5.6,0,0,15,74.2,83.0,77.7,66.9,75.9,59.5,0.0,0,0,20,20,10.0,2,5
1,David Onyemata,10754,DI,ATL,1,1,,0,0,2,,29.6,76.2,51.0,29.5,67.3,0.0,0,0,15,16,0.0,0,0
1,Andrew Billings,10756,DI,CHI,1,0,,0,0,6,,34.3,75.6,55.5,37.7,,,0,0,12,13,0.0,0,0
1,Matthew Judon,10780,ED,MIA,1,0,4.0,0,0,17,63.2,61.8,76.0,58.8,59.6,72.8,0.0,0,0,20,21,0.0,0,1
1,DJ Reader,10800,DI,DET,1,0,2.0,0,0,11,,50.8,77.6,51.4,54.3,26.1,50.0,1,0,18,18,0.0,0,1
1,Elandon Roberts,10848,LB,LV,1,0,,0,0,23,48.8,50.5,71.5,,62.9,74.9,,0,0,4,4,0.0,0,0
1,Jonathan Jones,11217,CB,WAS,1,0,,0,0,32,48.5,49.5,72.5,,60.0,,,0,0,2,2,0.0,0,0
1,Roy Robertson-Harris,11341,DI,NYG,1,0,,0,0,21,,53.9,77.3,65.2,45.8,,,0,0,21,22,0.0,0,0
1,Myles Garrett,11756,ED,CLV,1,0,-2.0,0,0,8,60.0,72.1,0.0,78.9,73.1,74.0,0.0,0,2,18,20,11.1,2,2
1,Solomon Thomas,11758,DI,DAL,1,2,0.3,0,0,9,,47.1,75.0,54.1,49.8,43.4,16.7,1,0,16,16,12.5,2,3
1,Jamal Adams,11761,LB,LV,1,1,0.0,0,0,23,76.8,90.9,72.7,92.5,72.3,78.1,0.0,0,0,7,8,14.3,1,1
1,Marshon Lattimore,11766,CB,WAS,1,0,,0,0,32,68.2,64.1,0.0,,63.2,76.9,,0,2,14,14,0.0,0,0
1,Haason Reddick,11768,ED,TB,1,1,2.0,0,0,30,48.0,69.2,3.3,73.2,73.0,42.9,0.0,0,1,17,18,5.9,1,1
1,Derek Barnett,11769,ED,HST,1,1,,0,0,13,,47.1,75.7,52.0,52.1,69.2,0.0,0,0,7,7,0.0,0,0
1,Malik Hooker,11770,S,DAL,1,3,10.0,0,0,9,66.9,76.3,77.0,,77.8,87.7,0.0,0,0,28,28,3.6,1,2
1,Marlon Humphrey,11771,CB,BLT,1,0,,0,0,3,52.7,47.3,77.0,58.8,33.0,34.7,,0,0,25,26,0.0,0,0
1,Jonathan Allen,11772,DI,MIN,1,0,4.0,0,0,18,60.0,50.2,77.8,58.5,54.3,26.6,0.0,0,0,16,16,12.5,2,3
1,Adoree' Jackson,11773,CB,PHI,1,0,5.0,0,0,24,33.6,32.4,76.8,,41.8,57.4,0.0,0,1,13,13,0.0,0,1
1,T.J. Watt,11785,ED,PIT,1,3,0.0,0,0,25,57.0,81.7,80.2,57.1,90.5,55.0,0.0,0,0,32,33,9.4,3,3
1,Budda Baker,11791,S,ARZ,1,0,1.7,0,0,1,76.5,75.4,76.7,66.7,48.2,85.5,0.0,0,0,20,22,15.0,3,3
1,Dalvin Tomlinson,11810,DI,ARZ,1,0,,0,0,1,,56.0,74.7,53.5,59.0,,,0,0,11,12,0.0,0,0
1,Tanoh Kpassagnon,11814,ED,CHI,1,0,,0,0,6,,64.8,76.0,73.4,54.8,69.2,,0,0,8,8,0.0,0,0
1,Chidobe Awuzie,11815,CB,BLT,1,1,,0,0,3,74.0,70.9,78.4,54.2,53.3,54.7,0.0,0,0,12,13,0.0,0,0
1,Ahkello Witherspoon,11821,CB,LA,1,0,9.0,0,0,26,70.0,65.0,76.2,,48.8,36.3,50.0,1,1,22,23,0.0,0,1
1,Dawuane Smoot,11823,ED,JAX,1,0,0.0,0,0,15,60.0,56.8,75.7,53.9,61.5,69.9,0.0,0,0,10,10,10.0,1,1
1,Alex Anzalone,11831,LB,DET,1,3,1.5,0,0,11,68.6,70.9,73.8,50.5,70.0,80.0,0.0,0,0,24,24,8.3,2,2
1,Jourdan Lewis,11846,CB,JAX,1,1,6.0,0,0,15,64.5,68.9,76.3,69.8,70.4,51.0,0.0,0,1,21,21,4.8,1,2
1,Rasul Douglas,11854,CB,MIA,1,0,,0,0,17,47.3,52.3,75.1,,65.2,72.8,,0,0,25,27,0.0,0,0
1,Trey Hendrickson,11858,ED,CIN,1,0,2.0,0,0,7,62.0,88.1,8.5,90.2,65.2,72.7,0.0,0,1,15,15,6.7,1,2
1,Rayshawn Jenkins,11868,S,CLV,1,0,,0,0,8,70.1,47.9,70.4,,60.0,,,0,0,2,3,0.0,0,0
1,Samson Ebukam,11880,ED,IND,1,0,,0,0,14,,63.4,73.5,62.5,60.0,69.9,,0,0,1,1,0.0,0,0
1,Deatrich Wise Jr.,11886,ED,WAS,1,1,,0,0,32,71.3,61.2,0.0,61.8,58.3,72.9,0.0,0,1,12,12,0.0,0,0
1,Carlos Watkins,11897,DI,TEN,1,0,,0,0,31,,46.7,71.9,56.5,53.6,,,0,0,4,4,0.0,0,0
1,Grover Stewart,11899,DI,IND,1,1,9.0,0,0,14,,66.5,75.5,65.1,61.7,68.7,0.0,0,0,8,8,0.0,0,1
1,Matt Milano,11918,LB,BUF,1,0,4.0,0,0,4,40.9,29.7,76.2,68.6,29.8,29.2,33.3,1,0,26,26,3.8,1,2
1,Davon Godchaux,11934,DI,NO,1,2,3.0,0,0,20,,62.8,77.4,56.0,65.6,70.7,0.0,0,0,13,13,7.7,1,1
1,Chuck Clark,11941,S,PIT,1,0,6.0,0,0,25,54.7,63.2,73.5,60.0,72.9,79.1,0.0,0,0,17,17,5.9,1,3
1,Xavier Woods,11946,S,TEN,1,0,9.0,0,0,31,87.3,87.2,76.4,57.4,55.5,33.5,33.3,1,0,28,28,0.0,0,2
1,Al-Quadin Muhammad,11951,ED,DET,1,0,,0,0,11,,85.2,72.1,87.6,60.2,,,0,0,3,3,0.0,0,0
1,D.J. Jones,11953,DI,DEN,1,0,0.5,0,0,10,,57.6,77.0,60.7,55.8,67.9,0.0,0,0,16,16,12.5,2,2
1,Patrick O'Connor,12005,ED,DET,1,0,,0,0,11,,57.1,75.7,53.5,61.3,,,0,0,6,6,0.0,0,0
1,Adam Butler,12214,DI,LV,1,0,3.0,0,0,23,63.7,63.6,8.6,66.2,60.4,70.4,0.0,0,1,14,15,0.0,0,1
1,Nathan Shepherd,24614,DI,NO,1,0,1.8,0,0,20,60.0,61.0,0.0,50.2,75.8,27.1,33.3,2,1,17,18,23.5,4,4
1,Foyesade Oluokun,24904,LB,JAX,1,0,4.7,0,0,15,92.5,92.5,76.5,56.3,71.3,81.5,0.0,0,0,21,21,4.8,1,3
1,Dexter Lawrence,25991,DI,NYG,1,0,4.7,0,0,21,,78.5,78.9,66.1,75.9,68.8,0.0,0,0,20,20,10.0,2,3
1,Maxx Crosby,26316,ED,LV,1,1,,0,0,23,55.8,74.9,82.4,74.0,65.3,39.7,0.0,0,0,15,17,0.0,0,0
1,D.J. Reed,26940,CB,DET,1,0,4.0,1,0,11,30.5,38.0,76.3,,66.9,78.9,0.0,0,1,24,24,4.2,1,1
1,Isaiah Rodgers,27069,CB,MIN,1,0,9.0,0,0,18,49.2,52.0,76.6,,63.0,79.2,0.0,0,0,19,20,0.0,0,2
1,Bryce Huff,27128,ED,SF,1,1,4.0,0,0,28,,58.6,0.0,65.8,62.7,71.2,0.0,0,1,6,6,0.0,0,1
1,Montez Sweat,27271,ED,CHI,1,1,-1.0,0,0,6,62.3,64.0,80.1,58.8,63.6,30.0,0.0,0,0,16,17,6.3,1,1
1,Devin Bush,27375,LB,CLV,1,3,-0.5,0,0,8,76.7,87.5,75.5,71.9,76.4,53.0,16.7,1,0,19,21,10.5,2,2
1,Khalil Dorsey,27819,CB,DET,1,0,,0,0,11,60.0,61.3,67.8,,60.0,,,0,0,2,2,0.0,0,0
1,DaVon Hamilton,28072,DI,JAX,1,0,,0,0,15,,36.4,74.9,52.9,39.6,,,0,0,12,12,0.0,0,0
1,Dre'Mont Jones,28075,ED,TEN,1,1,0.0,0,0,31,60.0,58.7,78.4,52.8,65.3,71.9,0.0,0,0,22,22,4.5,1,1
1,Malik Harrison,28081,LB,PIT,1,0,,0,0,25,60.0,66.5,69.0,,62.6,,,0,0,3,3,0.0,0,0
1,Jerome Baker,28091,LB,CLV,1,1,,0,0,8,65.0,65.5,67.7,,60.8,74.2,0.0,0,0,9,9,0.0,0,0
1,Neville Gallimore,28094,DI,IND,1,0,,0,0,14,,65.6,73.3,74.6,53.6,,,0,0,3,3,0.0,0,0
1,Troy Dye,28251,LB,LAC,1,0,4.0,0,0,27,47.4,49.7,75.3,64.9,55.6,80.4,0.0,0,0,6,7,0.0,0,1
1,DeShon Elliott,28854,S,PIT,1,0,8.0,0,0,25,63.3,72.3,71.6,59.4,74.6,81.6,0.0,0,0,16,17,6.3,1,3
1,Jack Jones,29050,CB,MIA,1,1,0.5,0,0,17,43.7,54.9,79.0,,88.5,59.4,0.0,0,1,37,39,5.4,2,2
1,Germaine Pratt,29407,LB,LV,1,1,,0,0,23,67.9,74.6,78.2,60.7,79.9,80.4,0.0,0,0,13,15,0.0,0,0
1,Logan Wilson,29623,LB,CIN,1,0,1.3,0,0,7,70.2,89.4,74.0,89.4,88.0,68.0,0.0,0,0,21,21,9.5,2,3
1,Andrew Van Ginkel,30267,ED,MIN,1,0,4.0,0,0,18,70.2,65.2,79.3,53.3,63.4,28.9,0.0,0,0,18,19,5.6,1,1
1,Khalen Saunders,31534,DI,JAX,1,1,,0,0,15,,46.5,72.8,57.2,49.6,66.8,0.0,0,0,7,7,0.0,0,0
1,Mike Hughes,34057,CB,ATL,1,1,,0,0,2,50.6,54.3,77.8,,69.5,76.8,0.0,0,0,19,20,0.0,0,0
1,Darnell Savage,34247,S,JAX,1,0,,0,0,15,47.6,44.1,77.9,,60.0,80.6,,0,0,3,3,0.0,0,0
1,Zack Baun,34632,LB,PHI,1,1,18.3,0,0,24,66.2,71.4,76.4,68.0,68.9,55.4,0.0,0,0,21,21,0.0,0,3
1,Akeem Davis-Gaither,34788,LB,ARZ,1,1,9.0,0,0,1,76.2,78.0,73.4,,64.7,29.2,33.3,1,0,11,13,0.0,0,1
1,Jamel Dean,34918,CB,TB,1,0,,1,0,30,67.9,67.3,0.0,78.5,65.2,79.9,,0,2,22,23,0.0,0,0
1,Blake Cashman,35413,LB,MIN,1,0,9.0,0,0,18,52.1,64.2,75.8,67.2,74.5,33.6,0.0,0,0,14,14,0.0,0,1
1,Darrell Taylor,36001,ED,HST,1,0,,0,0,13,,51.1,0.0,65.7,64.0,,,0,1,5,5,0.0,0,0
1,Camryn Bynum,38408,S,IND,1,0,13.7,0,0,14,80.2,87.2,77.7,,68.3,80.1,0.0,0,0,10,10,0.0,0,3
1,Folorunso Fatukasi,38558,DI,HST,1,1,5.0,0,0,13,,57.6,74.8,62.8,54.4,69.6,0.0,0,0,10,10,0.0,0,1
1,Eric Wilson,38587,LB,MIN,1,0,0.3,0,0,18,45.1,59.3,74.5,37.6,90.9,30.1,0.0,0,0,6,7,50.0,3,3
1,Tershawn Wharton,40292,DI,CAR,1,1,2.3,1,0,5,68.4,53.6,0.0,52.7,58.9,73.3,20.0,1,1,8,10,25.0,2,3
1,L'Jarius Sneed,40588,CB,TEN,1,0,,0,0,31,83.3,82.4,74.3,,60.0,76.9,,0,0,5,5,0.0,0,0
1,Alohi Gilman,41662,S,LAC,1,3,4.0,0,0,27,58.6,62.6,82.3,,70.7,67.5,0.0,0,0,11,12,9.1,1,1
1,Trevon Diggs,41817,CB,DAL,1,0,,0,0,9,76.1,70.2,74.7,40.3,60.0,30.1,,0,0,5,5,0.0,0,0
1,Ed Oliver,42200,DI,BUF,1,0,-0.2,0,1,4,,92.1,76.4,64.9,92.7,71.5,0.0,0,0,17,17,23.5,4,5
1,Divine Deablo,42208,LB,ATL,1,1,1.0,0,0,2,69.4,76.0,76.2,69.5,69.5,79.5,0.0,0,0,18,19,16.7,3,3
1,Antoine Winfield Jr.,42475,S,TB,1,2,5.0,0,0,30,69.5,75.4,77.6,67.3,69.5,82.6,0.0,0,0,22,23,0.0,0,1
1,Justin Strnad,42659,LB,DEN,1,1,1.5,0,0,10,66.6,85.3,73.6,84.4,75.5,54.6,25.0,1,0,17,17,11.8,2,2
1,Chauncey Golston,42718,ED,NYG,1,0,,0,0,21,,43.1,75.4,54.5,48.5,,,0,0,6,6,0.0,0,0
1,Nick Bosa,42741,ED,SF,1,0,4.5,0,0,28,67.1,82.5,80.9,75.6,58.3,74.6,0.0,0,0,22,22,4.5,1,2
1,Osa Odighizuwa,42754,DI,DAL,1,1,3.5,0,0,9,,72.1,76.9,60.7,74.1,69.8,0.0,0,0,15,15,6.7,1,2
1,Kristian Fulton,42894,CB,KC,1,0,,0,0,16,57.6,52.8,73.7,,51.2,33.1,100.0,1,0,2,2,0.0,0,0
1,Rashan Gary,42905,ED,GB,1,1,3.0,0,0,12,60.0,63.3,78.0,56.1,69.1,75.4,0.0,0,0,15,16,6.7,1,2
1,Jonathon Cooper,43021,ED,DEN,1,1,,0,0,10,60.0,71.6,77.3,59.6,75.4,34.3,0.0,0,0,14,14,0.0,0,0
1,Charvarius Ward,43034,CB,IND,1,0,,0,0,14,76.6,76.1,76.1,,61.2,49.8,,0,0,9,9,0.0,0,0
1,Brandon Jones,43049,S,DEN,1,3,3.5,0,0,10,47.6,52.4,73.5,,70.6,43.4,16.7,1,0,20,20,5.0,1,2
1,Devin White,43089,LB,LV,1,1,3.2,0,0,23,60.9,67.3,76.8,74.0,66.2,83.9,0.0,0,0,15,17,26.7,4,6
1,Jeremy Chinn,43179,S,LV,1,1,3.0,0,0,23,64.0,69.6,77.4,59.2,75.8,79.8,0.0,0,0,15,17,6.7,1,1
1,Mack Wilson Sr.,43190,LB,ARZ,1,2,-2.0,0,0,1,61.7,54.4,76.7,84.4,35.9,66.8,25.0,1,0,20,22,5.0,1,1
1,Joe Bachie,43250,LB,IND,1,2,,0,0,14,66.0,55.9,72.4,55.9,47.1,78.9,0.0,0,0,7,7,0.0,0,0
1,Josh Metellus,43395,S,MIN,1,1,,0,0,18,72.1,75.6,78.6,58.5,65.6,81.8,0.0,0,0,19,20,0.0,0,0
1,Alex Highsmith,43507,ED,PIT,1,1,1.0,0,0,25,27.4,57.6,77.4,85.0,57.4,51.6,16.7,1,0,32,33,9.4,3,4
1,Darrell Baker Jr.,43542,CB,TEN,1,0,,0,0,31,67.3,67.7,77.9,,63.4,78.8,,0,0,22,22,0.0,0,0
1,Jeffery Simmons,43742,DI,TEN,1,0,2.0,0,0,31,,53.7,0.0,83.1,39.3,28.1,25.0,1,2,23,23,8.7,2,3
1,Derrick Brown,43883,DI,CAR,1,0,0.5,0,0,5,61.9,63.6,78.0,55.7,61.9,71.1,0.0,0,0,25,27,8.0,2,2
1,Pat Jones II,43974,ED,CAR,1,0,4.0,0,0,5,60.0,49.7,77.1,51.2,56.3,70.5,0.0,0,0,15,17,6.7,1,1
1,Byron Murphy Jr.,44027,CB,MIN,1,0,,0,0,18,41.5,40.3,0.0,,65.2,28.9,,0,2,19,20,0.0,0,0
1,Benito Jones,44035,DI,MIA,1,0,,0,0,17,,47.5,74.9,63.0,45.1,,,0,0,8,10,0.0,0,0
