week,player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
1,David Edwards,35941,G,BUF,1,100.0,0,4,55.7,66.1,47.5,0,3,52,100.0,100.0,97.1,0,3,0,85,0,85,0,85,59,59,0,0,26,0
1,Connor McGovern,41714,C,BUF,1,100.0,0,4,51.7,63.0,44.2,0,2,52,100.0,100.0,98.1,0,2,0,85,85,0,0,85,59,59,0,0,26,0
1,Dion Dawkins,11818,T,BUF,1,100.0,0,4,64.0,78.0,62.3,0,2,52,100.0,100.0,96.2,2,3,1,85,0,0,85,85,59,59,0,0,26,0
1,Spencer Brown,42296,T,BUF,1,100.0,0,4,69.3,55.6,78.9,1,2,52,100.0,100.0,97.1,1,3,0,85,0,0,0,85,59,59,0,85,26,0
1,O'Cyrus Torrence,102821,G,BUF,1,100.0,0,4,48.2,50.6,46.5,0,5,52,100.0,100.0,95.2,0,5,0,85,0,0,0,85,59,59,85,0,26,0
1,Ben Powers,41482,G,DEN,1,100.0,0,10,76.9,74.9,80.7,0,0,43,100.0,100.0,100.0,1,0,0,76,0,76,0,76,48,48,0,0,28,0
1,Jake Brendel,11117,C,SF,1,100.0,0,28,70.6,75.4,67.6,0,0,39,100.0,100.0,100.0,0,0,0,76,76,0,0,76,42,42,0,0,34,0
1,Matthew Bergeron,99658,G,ATL,1,100.0,0,2,63.6,72.4,57.5,1,1,47,100.0,100.0,97.9,0,2,0,76,0,76,0,76,51,51,0,0,25,0
1,Colton McKivitz,29314,T,SF,1,100.0,0,28,67.7,80.0,63.9,0,1,39,100.0,100.0,98.7,1,1,0,76,0,0,0,76,42,42,0,76,34,0
1,Dawand Jones,101550,T,CLV,1,100.0,2,8,29.9,33.0,41.1,2,5,48,100.0,100.0,92.7,4,7,0,76,0,0,76,76,53,53,0,0,23,0
1,Wyatt Teller,46131,G,CLV,1,100.0,0,8,75.2,66.6,75.5,0,3,48,100.0,100.0,96.9,0,3,0,76,0,0,0,76,53,53,76,0,23,0
1,Ben Bartch,84236,G,SF,1,100.0,0,28,74.8,61.1,74.7,0,2,39,100.0,100.0,97.4,0,2,0,76,0,76,0,76,42,42,0,0,34,0
1,Jake Matthews,8641,T,ATL,1,100.0,0,2,58.9,66.4,48.4,2,2,47,100.0,100.0,95.7,0,4,0,76,0,0,76,76,51,51,0,0,25,0
1,Joel Bitonio,8670,G,CLV,1,100.0,0,8,81.1,78.3,78.0,0,2,48,100.0,100.0,97.9,0,2,0,76,0,76,0,76,53,53,0,0,23,0
1,Quinn Meinerz,112915,G,DEN,1,100.0,0,10,76.8,64.5,76.9,0,2,43,100.0,100.0,97.7,0,2,0,76,0,0,0,76,48,48,76,0,28,0
1,Mike McGlinchey,46275,T,DEN,1,100.0,0,10,65.7,73.7,56.3,1,1,43,100.0,100.0,97.7,0,2,0,76,0,0,0,76,48,48,0,76,28,0
1,Elijah Wilkinson,46238,T,ATL,1,100.0,0,2,57.7,56.1,74.0,0,4,47,100.0,100.0,93.6,2,5,1,76,0,0,0,76,51,51,0,76,25,0
1,Chris Lindstrom,46692,G,ATL,1,100.0,1,2,71.0,70.7,67.9,0,3,47,100.0,100.0,96.8,1,3,0,76,0,0,0,76,51,51,76,0,25,0
1,Luke Wattenberg,41024,C,DEN,1,100.0,0,10,62.8,57.4,69.3,0,0,43,100.0,100.0,100.0,1,0,0,76,76,0,0,76,48,48,0,0,28,0
1,Ryan Neuzil,41123,C,ATL,1,100.0,0,2,57.8,49.3,59.8,0,2,47,100.0,100.0,97.9,0,2,0,76,76,0,0,76,51,51,0,0,25,0
1,Ethan Pocic,11813,C,CLV,1,100.0,0,8,62.9,74.3,57.0,1,0,48,100.0,100.0,96.9,0,2,1,76,76,0,0,76,53,53,0,0,23,0
1,Garett Bolles,11775,T,DEN,1,100.0,0,10,69.5,83.9,53.4,1,0,43,100.0,100.0,98.8,0,1,0,76,0,0,75,76,48,48,0,0,28,1
1,Trent Williams,5529,T,SF,1,100.0,0,28,56.4,52.9,55.8,1,5,39,100.0,100.0,92.3,1,6,0,75,0,0,75,75,42,42,0,0,33,0
1,Kelvin Banks Jr.,163839,T,NO,1,100.0,0,20,69.1,74.4,58.8,0,2,47,100.0,100.0,97.9,0,2,0,75,0,0,74,75,53,53,0,0,22,0
1,Erik McCoy,37347,C,NO,1,100.0,1,20,79.7,81.2,79.1,0,0,47,100.0,100.0,100.0,1,0,0,75,75,0,0,75,53,53,0,0,22,0
1,Dominick Puni,163815,G,SF,1,100.0,0,28,51.2,60.4,48.4,0,2,38,100.0,100.0,97.4,0,2,0,75,0,0,0,75,41,41,75,0,34,0
1,Dillon Radunz,30551,G,NO,1,100.0,0,20,49.4,79.2,50.2,0,1,47,100.0,100.0,98.9,2,1,0,75,0,75,0,75,53,53,0,0,22,0
1,Cesar Ruiz,59857,G,NO,1,100.0,0,20,42.2,77.5,32.3,0,0,47,100.0,100.0,100.0,2,0,0,75,0,0,0,75,53,53,75,0,22,0
