week,player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
1,Tyler Linderbaum,82291,C,BLT,1,100,0,3,73.8,73.8,80.9,0,1,51,100,100,99,1,1,0,80,80,0,0,80,57,57,0,0,23,0
1,Andrew Vorhees,60818,G,BLT,1,100,0,3,58.3,68.4,51,0,2,51,100,100,98,0,2,0,80,0,80,0,80,57,57,0,0,23,0
1,Ronnie Stanley,10640,T,BLT,1,100,1,3,67.5,83.3,72.9,0,2,51,100,100,98,3,2,0,80,0,0,79,80,57,57,0,0,23,1
1,Daniel Faalele,81734,G,BLT,1,100,0,3,60.6,66.8,55,0,2,51,100,100,98,0,2,0,80,0,0,0,80,57,57,80,0,23,0
1,Tytus Howard,25472,T,HST,1,100,0,13,66.5,62.2,66.2,0,2,38,100,100,94.7,0,3,1,79,0,0,0,79,40,40,0,79,39,0
1,Shaq Mason,9564,G,HST,1,100,0,13,58.9,62.9,56.2,1,0,38,100,100,96.1,0,2,1,79,0,0,0,79,40,40,79,0,39,0
1,Juice Scruggs,81800,C,HST,1,100,0,13,69.2,71.6,72.2,0,0,38,100,100,97.4,1,1,1,79,79,0,0,79,40,40,0,0,39,0
1,Kenyon Green,99052,G,HST,1,100,0,13,60.1,74.4,60.7,0,0,38,100,100,100,1,0,0,79,0,79,0,79,40,40,0,0,39,0
1,Laremy Tunsil,10647,T,HST,1,100,0,13,65,47.1,76.9,0,0,38,100,100,94.7,2,2,2,79,0,0,79,79,40,40,0,0,39,0
1,Kevin Dotson,46735,G,LA,1,100,0,26,62.6,56.8,62.9,0,1,51,100,100,99,0,1,0,78,0,0,0,78,53,53,78,0,25,0
1,Warren McClendon Jr.,99081,T,LA,1,100,0,26,33.6,33.8,47.4,3,2,51,100,100,95.1,2,5,0,78,0,0,0,78,53,53,0,78,25,0
1,Jonah Jackson,37070,G,LA,1,100,0,26,61.9,47.5,66.5,1,2,51,100,100,97.1,0,3,0,78,37,41,0,78,53,53,0,0,25,0
1,Jordan Mailata,66916,T,PHI,1,100,0,24,80,82.2,74.8,0,3,38,100,100,96.1,0,3,0,76,0,0,76,76,41,41,0,0,35,0
1,Cam Jurgens,84014,C,PHI,1,100,1,24,68.7,74.2,65.7,0,1,38,100,100,98.7,1,1,0,76,76,0,0,76,41,41,0,0,35,0
1,Landon Dickerson,41712,G,PHI,1,100,0,24,75.5,69.5,73.3,0,2,38,100,100,97.4,0,2,0,76,0,76,0,76,41,41,0,0,35,0
1,Ethan Pocic,11813,C,CLV,1,100,0,8,66.8,50,74.5,1,5,56,100,100,94.6,0,6,0,76,76,0,0,76,60,60,0,0,16,0
1,Lane Johnson,7786,T,PHI,1,100,0,24,84.8,84.6,89.6,0,0,38,100,100,100,1,0,0,76,0,0,0,76,41,41,0,76,35,0
1,James Hudson III,59854,T,CLV,1,100,0,8,66.8,56.1,77.6,4,2,56,100,100,94.6,1,6,0,76,0,0,76,76,60,60,0,0,16,0
1,Wyatt Teller,46131,G,CLV,1,100,0,8,78.9,84,72.5,0,1,56,100,100,99.1,0,1,0,76,0,0,0,76,60,60,76,0,16,0
