week,player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
1,James Hudson III,59854,T,CLV,1,0,8,56.1,4,2,56,100,100,94.6,1,6,0,60,60,62.3,3,0,25,100,100,94,3,0,26,26
1,Joel Bitonio,8670,G,CLV,1,0,8,34.7,2,3,56,100,100,95.5,0,5,0,60,60,21.6,2,2,25,100,100,92,4,0,26,26
1,Ethan Pocic,11813,C,CLV,1,0,8,50,1,5,56,100,100,94.6,0,6,0,60,60,59.8,0,2,25,100,100,96,2,0,26,26
1,Wyatt Teller,46131,G,CLV,1,0,8,84,0,1,56,100,100,99.1,0,1,0,60,60,82.8,0,0,25,100,100,100,0,0,26,26
1,Dawand Jones,101550,T,CLV,1,0,8,67.5,0,0,54,100,100,100,1,0,0,58,58,69.6,0,0,24,100,100,100,0,0,25,25
1,Ronnie Stanley,10640,T,BLT,1,1,3,83.3,0,2,51,100,100,98,3,2,0,57,57,87.2,0,0,26,100,100,100,0,0,30,30
1,Tyler Linderbaum,82291,C,BLT,1,0,3,73.8,0,1,51,100,100,99,1,1,0,57,57,69.1,0,1,26,100,100,98.1,1,0,30,30
1,Andrew Vorhees,60818,G,BLT,1,0,3,68.4,0,2,51,100,100,98,0,2,0,57,57,51.5,0,2,26,100,100,96.2,2,0,30,30
1,Daniel Faalele,81734,G,BLT,1,0,3,66.8,0,2,51,100,100,98,0,2,0,57,57,49,0,2,26,100,100,96.2,2,0,30,30
1,Jonah Jackson,37070,G,LA,1,0,26,47.5,1,2,51,100,100,97.1,0,3,0,53,53,42.4,1,2,32,100,100,95.3,3,0,33,33
1,Warren McClendon Jr.,99081,T,LA,1,0,26,33.8,3,2,51,100,100,95.1,0,5,0,53,53,41.3,2,2,32,100,100,93.7,4,0,33,33
1,Kevin Dotson,46735,G,LA,1,0,26,56.8,0,1,51,100,100,99,0,1,0,53,53,62.8,0,0,32,100,100,100,0,0,33,33
1,Jermaine Eluemunor,11914,T,NYG,1,1,21,73.2,1,2,50,100,100,97,1,3,0,52,52,76.5,0,1,24,100,100,97.9,1,0,24,24
1,Andrew Thomas,59701,T,NYG,1,0,21,91.4,0,0,50,100,100,100,0,0,0,52,52,90,0,0,24,100,100,100,0,0,24,24
1,Jon Runyan,36661,G,NYG,1,0,21,59.7,1,0,50,100,100,97,0,2,1,52,52,33.9,1,0,24,100,100,93.7,2,1,24,24
1,Greg Van Roten,7746,G,NYG,1,0,21,44.1,2,2,50,100,100,96,1,4,0,52,52,23.8,2,1,24,100,100,93.7,3,0,24,24
