Week,player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
1,Jeff Zgonina,55,DI,HST,1,0,0,,0,0,13,0,0,60.0,40.8,74.1,66.8,51.3,25.2,0,1,0,0,,33.3,1,0,0,0.0,0,0,0,0,0,0,18,18,0,18,0,0,0,0,7,11,0,1,2,0,0,1,0,0,0,
1,Willie McGinest,71,ED,CLV,1,1,0,100.0,0,0,8,0,0,43.6,59.4,78.6,73.2,62.2,74.2,1,2,0,0,22,0.0,0,0,0,118.8,2,0,0,4,0,17,53,49,0,0,41,8,0,4,11,25,0,3,3,0,2,3,0,26,22,13.0
1,Aaron Glenn,75,CB,NO,1,0,0,57.1,0,0,20,0,0,50.2,51.6,76.6,,61.4,29.6,0,0,0,0,26,33.3,1,0,0,81.8,4,0,0,0,36,32,41,0,0,0,0,0,2,41,0,9,3,2,2,0,7,0,0,54,28,13.5
1,Rodney Harrison,89,S,NE,1,2,0,100.0,0,0,19,0,0,51.8,55.9,77.5,90.0,57.4,86.2,2,0,0,0,20,0.0,0,0,0,103.3,5,0,0,36,0,30,57,0,0,0,0,0,20,57,3,24,1,2,4,0,5,2,0,44,32,8.8
1,Kevin Carter,116,ED,TB,1,0,0,,0,0,30,0,0,,52.6,75.8,59.5,51.1,,0,1,0,0,,,0,0,0,0.0,0,0,0,0,0,0,32,32,0,0,0,32,0,0,13,19,0,0,0,0,0,1,0,0,0,
1,Derrick Brooks,126,LB,TB,1,0,0,100.0,0,0,30,0,0,29.2,33.1,67.9,,57.2,41.8,0,0,0,0,11,33.3,1,0,0,92.7,4,0,0,38,0,20,39,1,0,0,1,0,0,38,0,19,0,2,2,0,4,0,0,25,19,6.3
1,Walt Harris,159,CB,SF,1,1,0,50.0,0,0,28,0,0,72.5,68.4,78.8,67.9,44.5,78.2,0,1,0,0,21,0.0,0,0,0,68.8,2,0,0,0,53,31,71,0,0,0,0,0,0,71,3,37,18,1,3,0,4,1,0,24,33,12.0
1,Ray Lewis,167,LB,BLT,1,0,0,25.0,0,1,3,0,0,88.8,92.3,76.8,53.8,88.0,80.4,0,0,0,0,3,0.0,0,0,0,39.6,1,0,0,53,0,27,53,0,0,0,0,0,0,53,3,23,0,2,5,0,4,0,0,3,1,3.0
1,Lawyer Milloy,171,S,ATL,1,0,0,50.0,0,0,2,0,0,68.1,75.0,75.7,59.5,74.1,55.4,0,0,0,1,6,16.7,1,0,0,16.7,1,0,0,21,0,41,62,0,0,0,0,0,41,62,1,20,0,2,5,0,2,0,0,6,0,6.0
1,Brian Dawkins,181,S,PHI,1,0,0,100.0,0,0,24,0,0,75.0,75.9,73.4,49.5,62.0,76.7,0,0,0,0,4,0.0,0,1,0,83.3,1,0,0,6,0,22,38,0,0,0,0,0,32,38,3,13,0,1,1,0,1,0,0,4,1,4.0
1,Tedy Bruschi,187,LB,NE,1,1,0,,0,0,19,0,0,68.6,56.1,77.3,,47.4,79.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,41,0,16,41,0,0,0,0,0,0,41,0,25,0,4,4,0,0,0,0,0,0,
1,Donnie Edwards,190,LB,KC,1,0,0,,0,0,16,0,0,61.7,60.2,66.3,58.5,59.7,71.7,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,18,0,3,18,0,0,0,0,0,0,18,1,14,0,0,1,0,0,0,0,0,0,
1,Zach Thomas,203,LB,DAL,1,1,0,100.0,0,0,9,0,0,69.3,68.1,77.0,79.0,50.0,78.4,2,0,0,0,6,0.0,0,0,0,91.7,1,0,0,38,0,16,38,0,0,0,0,0,0,38,6,16,0,1,4,0,1,2,0,6,2,6.0
1,La'Roi Glover,204,DI,SL,1,0,0,,0,0,26,0,0,60.0,29.7,78.0,56.8,29.3,,0,1,0,0,,,0,0,0,0.0,0,0,0,0,0,0,51,51,10,40,0,1,0,0,32,19,0,0,0,0,0,1,0,0,0,
1,James Farrior,234,LB,PIT,1,1,0,100.0,0,0,25,0,0,68.8,63.9,0.0,68.0,60.1,76.8,0,1,0,0,14,25.0,1,0,1,158.3,1,1,0,46,0,21,48,1,0,0,1,0,1,47,11,16,0,1,2,1,1,2,1,14,0,14.0
