Week,player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
1,Ray Lewis,167,LB,BLT,1,0,4.5,50.0,84.6,20.0,10.0,0,0,0,0.0,3,81.8,86.2,76.4,53.5,72.7,80.7,0,4,0.0,0,0,0,56.3,1,22,26,1,1,2,0,4,3,0.2,4.0
1,Lawyer Milloy,171,S,SEA,1,0,19.5,50.0,71.4,25.0,12.5,0,1,0,0.0,29,57.3,53.8,75.7,42.5,65.8,82.6,0,8,0.0,0,0,0,60.4,1,25,35,0,2,2,0,8,0,0.3,8.0
1,Brian Dawkins,181,S,DEN,1,0,22.0,100.0,100.0,24.0,24.0,0,0,1,100.0,10,64.7,68.6,75.0,,67.0,80.1,0,24,,0,1,1,158.3,1,25,25,0,0,1,1,24,2,1.0,24.0
1,James Farrior,234,LB,PIT,1,0,5.0,100.0,68.1,29.0,29.0,0,0,0,0.0,25,57.5,66.9,79.2,55.3,78.0,57.1,0,9,0.0,0,0,0,104.2,1,32,47,0,2,1,0,9,4,0.3,9.0
1,Ronde Barber,261,CB,TB,1,0,5.8,40.0,97.5,19.0,7.6,0,0,1,20.0,30,71.1,70.1,0.0,60.0,76.1,29.4,1,11,50.0,1,1,1,8.3,2,39,40,0,1,5,0,15,14,0.4,7.5
1,Jason Taylor,264,ED,NYJ,1,0,,,15.6,,,0,0,0,,22,62.3,73.0,0.0,56.0,87.3,77.3,0,,,0,0,1,0.0,0,5,32,0,0,0,0,0,0,0.0,
1,Mike Vrabel,268,ED,KC,1,1,0.5,100.0,61.8,10.5,10.5,0,0,0,0.0,16,68.6,65.0,77.8,57.2,60.2,76.0,0,7,0.0,0,0,0,79.2,2,21,34,2,3,2,0,5,4,0.2,2.5
1,Bryan Robinson,321,DI,ARZ,1,0,,,6.3,,,0,0,0,,1,59.5,71.3,73.9,54.5,76.8,70.7,0,,,0,0,0,0.0,0,1,16,0,0,0,0,0,0,0.0,
1,Charles Woodson,330,CB,GB,1,0,9.5,25.0,87.5,39.0,9.8,0,0,1,25.0,12,79.4,78.6,78.0,61.8,67.2,79.2,0,10,0.0,0,1,1,39.6,1,42,48,1,4,4,0,10,3,0.3,10.0
1,Keith Brooking,336,LB,DAL,1,0,9.0,100.0,73.0,12.5,12.5,0,0,0,0.0,9,67.4,57.3,77.8,49.0,51.9,77.6,0,17,0.0,0,0,0,106.3,2,27,37,1,2,2,0,19,1,0.8,9.5
1,Takeo Spikes,337,LB,SF,1,0,12.0,0.0,81.8,,16.0,0,0,0,0.0,28,58.1,57.3,75.7,71.6,51.8,75.0,0,,0.0,0,0,0,39.6,0,18,22,0,1,1,0,0,0,0.0,
1,Randy Moss,342,WR,NE,1,0,,,100.0,,,0,0,0,,19,60.0,60.0,62.9,,,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
1,Deshea Townsend,391,CB,IND,1,0,,,66.7,,,0,0,0,,14,60.8,59.8,68.8,59.2,60.0,,0,,,0,0,0,0.0,0,2,3,0,0,0,0,0,0,0.0,
