week,player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
1,Calais Campbell,4364,DI,MIA,1,0,,,8.7,,,0,0,0,,17,61.1,74.1,77.6,70.6,65.7,26.8,0,,,0,0,0,0,0,2,23,1,0,0,0,0,0,0,
1,Brandon Graham,5538,ED,PHI,1,0,,,10.5,,,0,0,0,,24,60.8,76.9,75.8,65.9,74.3,70.5,0,,,0,0,0,0,0,2,19,0,0,0,0,0,0,0,
1,Von Miller,6154,ED,BUF,1,0,,,5,,,0,0,0,,4,60,69.8,76.4,66.6,62.6,72,0,,,0,0,0,0,0,1,20,1,0,0,0,0,0,0,
1,Stephon Gilmore,7016,CB,MIN,1,1,6,100,100,14.3,14.3,0,0,0,0,18,75.6,75.8,77.7,,66.6,57.9,0,25,25,1,0,0,106.9,3,45,45,2,2,3,0,29,11,0.7,9.7
1,Bobby Wagner,7050,LB,WAS,1,0,-4.3,100,83.3,9.3,9.3,0,0,0,0,32,43,56.3,76.9,61.9,72.8,48.2,0,32,25,1,0,0,118.8,3,30,36,3,3,3,0,58,71,2.1,19.3
1,Lavonte David,7060,LB,TB,1,0,2,100,80.6,5.2,5.2,0,0,0,0,30,53.9,54.8,74.2,57.2,59.5,29.7,0,22,50,2,0,0,114.2,5,29,36,0,2,5,0,57,47,2.2,11.4
1,Demario Davis,7079,LB,NO,1,1,4,100,86.2,12,12,0,0,0,0,20,51.9,61.5,74.4,65.9,71.1,80.5,0,14,0,0,0,0,104.2,2,25,29,1,0,2,0,18,10,0.8,9
1,Rodney McLeod,7271,S,CLV,1,0,,,100,,,0,0,0,,8,63.3,65.1,69.3,,62.2,,0,,,0,0,0,0,0,6,6,0,0,0,0,0,0,0,
1,Harrison Smith,7641,S,MIN,1,2,11.3,33.3,95.9,45,15,0,0,0,0,18,87.5,90.4,78.6,56.1,65.6,85.6,1,15,0,0,0,0,11.1,1,47,49,1,4,3,0,15,0,0.3,15
1,Darius Slay,7817,CB,PHI,1,0,7,100,100,38,38,0,0,0,0,24,67.5,71.9,77.1,,81.1,79,0,10,0,0,0,0,108.3,1,43,43,1,2,1,0,10,3,0.3,10
1,Tyrann Mathieu,7850,S,NO,1,0,,,94.7,,,0,0,0,,20,72.3,81.8,73.2,58.3,75.5,52.2,0,,0,0,0,0,0,0,18,19,1,2,0,0,0,0,0,
1,Jordan Poyer,8000,S,MIA,1,0,15.3,66.7,100,13,8.7,0,1,0,0,17,47.7,42.2,0,,61.2,82.3,0,14,0,0,0,1,129.2,2,28,28,0,2,3,1,23,4,0.9,11.5
1,Jadeveon Clowney,8636,ED,CAR,1,0,,,11.1,,,0,0,0,,5,61.2,69.5,78.4,56,72.7,69.9,0,,,0,0,0,0,0,2,18,0,0,0,0,0,0,0,
1,Khalil Mack,8640,ED,LAC,1,0,,,3.1,,,0,0,0,,27,66.4,87.2,79.1,72.4,75.5,71.2,0,,,0,0,0,0,0,1,32,1,0,0,0,0,0,0,
1,C.J. Mosley,8652,LB,NYJ,1,1,5.3,100,93.3,6.5,6.5,0,0,0,0,22,63.1,67.5,77.4,39.3,72.4,49.1,0,15,16.7,1,0,0,103.1,4,28,30,1,4,4,0,35,14,1.3,8.8
1,Jimmie Ward,8665,S,HST,1,0,29.8,40,96,11.5,4.6,0,0,1,20,13,36,39.2,74,58.2,67.9,80.7,0,60,0,0,1,0,127.1,2,24,25,0,1,5,1,117,2,5.1,58.5
1,DeMarcus Lawrence,8669,ED,DAL,1,0,,,4.7,,,0,0,0,,9,60.2,57.9,81.1,59.2,52.9,25.8,0,,100,2,0,0,0,0,2,43,2,0,0,0,0,0,0,
1,C.J. Goodwin,9243,CB,DAL,1,0,,,100,,,0,0,0,,9,60.2,62.2,69.1,,60,,0,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,
1,Dante Fowler Jr.,9436,ED,WAS,1,0,,,14.3,,,0,0,0,,32,61.1,59.1,76.7,46.1,71.7,32.8,0,,100,1,0,0,0,0,2,14,0,0,0,0,0,0,0,
1,Leonard Williams,9439,DI,SEA,1,0,,,6.1,,,0,0,0,,29,60.6,76.7,77.8,74.6,64.6,28.9,0,,,0,0,0,0,0,2,33,0,0,0,0,0,0,0,
1,Arik Armstead,9450,ED,JAX,1,0,,,4.2,,,0,0,0,,15,59.5,60.1,78.1,60.9,60.5,67.4,0,,,0,0,0,0,0,1,24,1,0,0,0,0,0,0,
1,Bud Dupree,9455,ED,LAC,1,0,-1.5,100,9.1,1,1,0,0,0,0,27,28.8,29.7,0,59,54.7,25.4,0,9,100,1,0,1,97.9,2,2,22,0,0,2,0,15,18,7.5,7.5
1,Shaq Thompson,9458,LB,CAR,1,0,2.3,100,96.4,8.3,8.3,0,0,0,0,5,49.8,62.6,0,60,77.4,56.4,0,3,100,1,0,1,118.8,3,27,28,0,0,3,1,2,3,0.1,0.7
1,Eric Kendricks,9478,LB,DAL,1,1,4.7,33.3,92.9,36,12,0,0,0,0,9,68.4,71.9,75.7,66.3,65,65.3,1,4,25,1,0,0,2.8,1,39,42,1,2,3,0,4,2,0.1,4
1,Denzel Perryman,9481,LB,LAC,1,0,6,100,93.3,4.7,4.7,0,0,0,0,27,67.6,56.7,72.3,59.6,49.3,28.7,0,23,0,0,0,0,104.2,3,14,15,2,2,3,0,27,9,1.9,9
1,Ronald Darby,9483,CB,JAX,1,0,12.5,83.3,100,8.6,7.2,0,0,1,16.7,15,57.7,62.1,77,,79.8,79.5,0,80,16.7,1,0,0,158.3,5,47,47,3,5,6,1,111,57,2.6,22.2
1,Jordan Hicks,9517,LB,CLV,1,1,5.3,75,84.6,7,5.3,0,0,0,0,8,49.1,49.1,76.8,52.5,59.4,40.4,0,18,0,0,0,0,94.8,3,22,26,1,1,4,0,29,22,1.4,9.7
1,Za'Darius Smith,9555,ED,CLV,1,0,,,6.9,,,0,0,0,,8,60.8,65.4,80.1,60.2,65.1,72.3,0,,,0,0,0,0,0,2,29,1,0,0,0,0,0,0,
1,Bobby McCain,9578,S,MIN,1,0,,,100,,,0,0,0,,18,45.4,43.2,67.2,,,,0,,,0,0,0,0,0,3,3,0,0,0,0,0,0,0,
1,Quandre Diggs,9633,S,TEN,1,0,6,50,100,33,16.5,0,0,0,0,31,60.2,48.5,80.9,,31.3,45.1,0,6,0,0,0,0,56.3,1,35,35,1,2,2,0,6,0,0.2,6
1,Troy Hill,9881,CB,CAR,1,0,-4,100,100,7.5,7.5,0,0,0,0,5,57.7,51.5,72.7,,45.7,57.5,0,5,,0,0,0,79.2,2,16,16,0,0,2,0,-1,7,-0.1,-0.5
1,Alex Singleton,9994,LB,DEN,1,1,13.7,66.7,82.9,11,7.3,0,0,0,0,10,61.7,55.5,78.3,51.7,53.8,27.8,1,30,50,1,0,0,109.7,2,29,35,0,0,3,1,38,25,1.7,19
1,Joey Bosa,10637,ED,LAC,1,0,,,3.4,,,0,0,0,,27,56.7,91.4,80.1,77.4,93.7,75.5,0,,0,0,0,0,0,0,1,29,4,3,0,0,0,0,0,
1,Jalen Ramsey,10639,CB,MIA,1,0,,,91.3,,,0,0,0,,17,56.2,55.9,76.5,56,58.1,36.3,0,,,0,0,1,0,0,21,23,0,0,0,0,0,0,0,
1,Kenny Clark,10661,DI,GB,1,0,,,3.1,,,1,0,0,,12,60,39.4,0,68.1,41.6,68.8,0,,,0,0,2,0,0,1,32,0,0,0,0,0,0,0,
1,Emmanuel Ogbah,10666,ED,MIA,1,0,,,26.1,,,0,0,0,,17,54.6,56.8,80.1,55.1,62,31.9,0,,100,1,0,0,0,0,6,23,1,0,0,0,0,0,0,
1,Jarran Reed,10683,DI,SEA,1,0,,,5.9,,,0,0,0,,29,60.9,53.7,77.6,52.5,56.9,,0,,,0,0,0,0,0,2,34,0,0,0,0,0,0,0,
1,Vonn Bell,10695,S,CIN,1,0,5.5,100,96.6,14,14,0,0,0,0,7,67.8,64.8,74.1,59.1,56.4,55,0,9,0,0,0,0,91.7,2,28,29,1,4,2,0,12,1,0.4,6
1,Kevin Byard,10698,S,CHI,1,0,,,100,,,0,0,0,,6,65.2,68.3,74,,66,79.5,0,,0,0,0,0,0,0,39,39,0,1,0,0,0,0,0,
1,Kendall Fuller,10718,CB,MIA,1,1,19.5,50,100,26,13,0,0,0,0,17,61.9,65.3,77.6,,72.9,79.1,0,18,0,0,0,0,81.3,1,28,28,1,4,2,0,18,0,0.7,18
1,Nick Vigil,10721,LB,DAL,1,1,24,0,88.9,,15,0,0,0,0,9,55.9,37.2,73.8,57.8,29.7,23.4,0,,0,0,0,0,39.6,0,16,18,0,0,1,0,0,0,0,
1,Justin Simmons,10732,S,ATL,1,0,7,25,100,29,7.3,0,0,1,25,2,63,65.3,82.8,,63.5,49.9,0,8,0,0,1,0,39.6,1,31,31,2,2,4,0,8,4,0.3,8
1,Eric Murray,10740,S,HST,1,0,,,100,,,0,0,0,,13,55.7,62,76.4,,70.2,30,0,,100,1,0,0,0,0,15,15,0,0,0,0,0,0,0,
1,De'Vondre Campbell,10749,LB,SF,1,2,1.5,83.3,93.8,5.8,4.8,0,0,0,0,28,57.2,52.8,73.6,57,50.9,50.6,0,14,20,1,0,0,93.1,5,30,32,0,2,6,0,38,32,1.3,7.6
1,Matthew Judon,10780,ED,ATL,1,0,5,0,20,,3,0,0,0,0,2,60.7,70.1,77.6,61.1,71.4,75.8,0,,0,0,0,0,39.6,0,4,20,3,2,1,0,0,0,0,
1,Elandon Roberts,10848,LB,PIT,1,0,5,100,83.3,5,5,0,0,0,0,25,44.7,36.5,71.2,60,47.2,22.7,0,8,100,1,0,0,100,1,5,6,0,0,1,0,8,3,1.6,8
1,Mike Hilton,10898,CB,CIN,1,0,10,50,90.5,19,9.5,0,0,0,0,7,60.3,54.5,0,55.6,62.4,52.5,0,17,,0,0,1,79.2,1,19,21,0,0,2,0,17,2,0.9,17
1,Michael Pierce,11101,DI,BLT,1,0,,,8.3,,,0,0,0,,3,60,68.7,75.4,63.4,66.5,70.6,0,,,0,0,0,0,0,1,12,0,0,0,0,0,0,0,
1,Morgan Fox,11184,DI,LAC,1,0,,,4.5,,,0,0,0,,27,60,50.4,75.6,55.3,50.8,27.9,0,,,0,0,0,0,0,1,22,1,0,0,0,0,0,0,
1,Jonathan Jones,11217,CB,NE,1,1,9,0,100,,12.5,0,0,1,50,19,87.3,86.1,75.1,,65.1,78.5,0,,0,0,0,0,39.6,0,26,26,1,1,2,0,0,0,0,
1,Roy Robertson-Harris,11341,DI,JAX,1,0,,,3.2,,,0,0,0,,15,59.9,47.2,77,60,47.8,21.6,0,,100,1,0,0,0,0,1,31,0,0,0,0,0,0,0,
1,Myles Garrett,11756,ED,CLV,1,0,,,3.4,,,0,0,0,,8,60,91.2,7.1,93.9,54.2,72.6,0,,,0,0,1,0,0,1,29,1,0,0,0,0,0,0,
