Week,player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
1,Julius Peppers,1010,ED,CAR,1,0,0,5,63.6,1,2,15,94.1,20.0,3,0,10.0,0,17,16,3,0,66.6,1,2,13,92.9,23.1,3,11.5,0,14,13,3
1,Terrell Suggs,1326,ED,BLT,1,0,0,3,53.0,0,1,18,90.0,5.6,1,0,8.3,1,20,18,2,0,54.4,0,1,12,100.0,8.3,1,12.5,1,12,12,2
1,Mike Adams,1972,S,CAR,1,0,0,5,69.1,0,0,0,4.5,,0,1,,0,44,2,0,0,59.1,0,0,0,3.7,,0,,0,27,1,0
1,Derrick Johnson,2232,LB,OAK,1,0,0,23,58.9,0,0,1,4.3,0.0,0,0,0.0,0,23,1,0,0,58.9,0,0,1,7.7,0.0,0,0.0,0,13,1,0
1,Lorenzo Alexander,2476,LB,BUF,1,0,0,4,62.2,0,1,11,52.2,18.2,2,0,4.5,0,23,12,1,0,51.6,0,0,5,85.7,0.0,0,0.0,0,7,6,0
1,Haloti Ngata,2957,DI,PHI,1,0,0,24,55.2,0,0,7,100.0,0.0,0,0,0.0,0,7,7,0,0,,0,0,0,,,0,,0,0,0,0
1,Frostee Rucker,3036,ED,OAK,1,0,0,23,50.3,0,1,19,100.0,0.0,0,0,2.6,0,20,20,1,0,53.7,0,0,5,100.0,0.0,0,0.0,0,5,5,0
1,Domata Peko Sr.,3068,DI,DEN,1,0,0,10,54.2,0,0,16,100.0,0.0,0,1,0.0,0,17,17,0,0,54.8,0,0,7,100.0,0.0,0,0.0,0,7,7,0
1,Kyle Williams,3079,DI,BUF,1,0,0,4,62.2,0,1,26,100.0,3.8,1,0,5.8,1,30,30,2,0,70.3,0,1,11,100.0,9.1,1,13.6,1,13,13,2
1,Antoine Bethea,3152,S,ARZ,1,0,0,1,69.1,0,1,4,12.8,25.0,1,1,12.5,0,39,5,1,0,59.0,0,0,1,7.1,0.0,0,0.0,0,14,1,0
1,Tom Johnson,3378,DI,SEA,1,0,0,29,67.7,0,1,27,100.0,11.1,3,0,1.9,0,29,29,1,0,51.4,0,0,10,100.0,0.0,0,0.0,0,11,11,0
1,Leon Hall,3634,CB,OAK,1,0,0,23,54.4,0,0,3,8.6,0.0,0,0,0.0,0,35,3,0,0,60.0,0,0,1,7.1,0.0,0,0.0,0,14,1,0
1,Reggie Nelson,3637,S,OAK,1,0,0,23,60.0,0,0,1,2.8,0.0,0,0,0.0,0,36,1,0,0,60.0,0,0,1,7.1,0.0,0,0.0,0,14,1,0
1,Eric Weddle,3653,S,BLT,1,0,0,3,65.3,1,0,1,3.2,0.0,0,0,50.0,0,31,1,1,0,,0,0,0,0.0,,0,,0,17,0,0
1,Brandon Mebane,3701,DI,LAC,1,0,0,27,64.0,1,0,11,91.7,0.0,0,0,4.5,0,12,11,1,0,58.2,0,0,2,100.0,0.0,0,0.0,0,2,2,0
1,Chris Long,4316,ED,PHI,1,0,0,24,79.5,2,2,30,100.0,23.3,7,1,13.3,2,31,31,6,0,79.2,1,1,13,100.0,30.8,4,23.1,2,13,13,4
1,Calais Campbell,4364,ED,JAX,1,0,0,15,64.9,1,1,26,100.0,7.7,2,0,7.7,1,32,32,3,0,56.0,1,0,14,100.0,7.1,1,10.7,1,16,16,2
1,William Hayes,4417,ED,MIA,1,0,0,17,60.9,0,0,24,100.0,12.5,3,0,0.0,0,24,24,0,0,62.8,0,0,12,100.0,16.7,2,0.0,0,12,12,0
1,Wesley Woodyard,4583,LB,TEN,1,0,0,31,52.9,0,0,5,15.2,0.0,0,0,0.0,0,33,5,0,0,59.3,0,0,1,25.0,0.0,0,0.0,0,4,1,0
1,Cameron Wake,4907,ED,MIA,1,0,0,17,65.8,0,1,21,100.0,19.0,4,0,2.4,0,22,22,1,0,64.9,0,1,13,100.0,23.1,3,3.8,0,14,14,1
