Week,player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
1,Charles Woodson,330,S,OAK,1,0,15.0,0,0,23,57.0,45.6,74.2,60.0,34.8,52.1,40.0,2,0,26,26,0.0,0,3
1,Julius Peppers,1010,ED,GB,1,1,2.3,0,0,12,60.0,86.7,79.4,76.6,76.8,76.6,0.0,0,0,20,20,15.0,3,4
1,James Harrison,1251,ED,PIT,1,1,1.0,0,0,25,49.2,48.0,76.8,55.6,56.2,75.0,0.0,0,0,18,19,5.6,1,1
1,Terence Newman,1321,CB,MIN,1,0,4.5,0,0,18,48.6,59.6,75.5,,81.6,61.9,0.0,0,1,31,34,3.2,1,4
1,Kevin Williams,1325,DI,NO,1,0,1.0,0,0,20,,55.9,75.8,52.9,59.3,66.8,0.0,0,0,11,12,9.1,1,1
1,Terrell Suggs,1326,ED,BLT,1,0,,0,0,3,75.1,62.5,77.6,64.3,44.8,,,0,0,14,14,0.0,0,0
1,Calvin Pace,1334,ED,NYJ,1,0,,0,0,22,63.8,51.7,79.6,47.7,55.6,24.8,100.0,1,0,18,19,0.0,0,0
1,Charles Tillman,1351,CB,CAR,1,0,4.0,0,0,5,62.8,64.1,78.5,59.0,67.4,78.1,0.0,0,0,18,18,5.6,1,1
1,Rashean Mathis,1355,CB,DET,1,0,-1.0,0,0,11,53.6,57.5,78.8,,72.0,59.6,0.0,0,0,30,31,3.3,1,1
1,Cory Redding,1381,DI,ARZ,1,1,4.0,0,0,1,,49.1,76.5,57.1,48.0,68.7,0.0,0,0,6,6,16.7,1,1
1,Chris Clemons,1585,ED,JAX,1,0,,0,0,15,,62.9,80.0,69.7,46.4,69.2,,0,0,11,11,0.0,0,0
1,Colin Cole,1589,DI,CAR,1,0,,0,0,5,,50.0,74.3,54.9,53.6,,,0,0,5,5,0.0,0,0
1,Cullen Jenkins,1637,DI,NYG,1,0,3.0,0,0,21,60.0,42.0,0.0,49.5,55.6,69.2,0.0,0,1,10,10,0.0,0,1
1,DeAngelo Hall,1729,CB,WAS,1,0,11.0,0,0,32,68.6,69.8,76.9,,67.9,81.0,0.0,0,0,18,18,5.6,1,2
1,Vince Wilfork,1742,DI,HST,1,0,,0,0,13,,56.6,0.0,52.6,67.9,65.9,,0,1,25,26,0.0,0,0
1,Karlos Dansby,1754,LB,CLV,1,0,3.0,0,0,8,76.4,74.2,78.7,56.2,63.8,32.1,28.6,2,0,36,36,5.6,2,5
1,Daryl Smith,1760,LB,BLT,1,0,6.0,0,0,3,80.9,72.9,79.9,50.6,54.9,58.0,0.0,0,0,25,25,0.0,0,3
1,Dwan Edwards,1772,DI,CAR,1,0,,0,0,5,60.0,46.0,77.3,60.2,35.1,67.3,,0,0,9,9,0.0,0,0
1,Randy Starks,1792,DI,CLV,1,0,2.0,0,0,8,60.0,76.0,76.6,53.1,77.3,69.8,0.0,0,0,18,18,11.1,2,2
1,Will Allen,1832,S,PIT,1,0,6.3,0,0,25,61.9,65.7,75.6,76.3,61.7,57.6,40.0,2,0,22,23,4.5,1,3
1,Jared Allen,1847,ED,CHI,1,0,,0,0,6,62.3,54.2,0.0,53.7,66.5,70.5,,0,1,19,19,0.0,0,0
1,Antonio Smith,1856,DI,DEN,1,0,0.0,0,0,10,,76.2,76.3,60.0,79.2,69.0,0.0,0,0,9,9,22.2,2,2
1,Mike Adams,1972,S,IND,1,0,9.0,0,0,14,59.2,53.2,76.8,59.1,47.4,27.6,75.0,3,0,32,35,0.0,0,1
1,Adam Jones,2223,CB,CIN,1,0,3.4,1,0,7,79.3,84.2,0.0,,92.0,82.6,0.0,0,1,14,15,28.6,4,5
1,Antrel Rolle,2225,S,CHI,1,0,8.5,0,0,6,60.6,66.3,73.8,,73.3,58.4,0.0,0,0,24,25,4.2,1,2
1,DeMarcus Ware,2228,ED,DEN,1,0,9.0,0,0,10,61.5,92.9,78.0,93.2,67.4,71.2,0.0,0,0,15,15,0.0,0,1
1,Thomas Davis Sr.,2231,LB,CAR,1,0,1.0,0,0,5,68.8,71.7,77.5,61.1,67.0,63.7,0.0,0,0,19,19,15.8,3,3
1,Derrick Johnson,2232,LB,KC,1,0,1.2,0,0,16,74.1,83.4,80.1,61.1,79.2,79.1,0.0,0,0,20,20,25.0,5,5
1,Jonathan Babineaux,2276,DI,ATL,1,0,-12.0,0,0,2,62.3,69.8,77.4,58.5,66.7,69.0,0.0,0,0,8,10,12.5,1,1
1,Justin Tuck,2291,DI,OAK,1,1,1.0,0,0,23,62.3,90.8,78.2,70.5,90.7,72.2,0.0,0,0,19,19,15.8,3,3
1,Chris Canty,2349,DI,BLT,1,0,,0,0,3,60.0,55.3,77.4,66.3,45.6,66.8,,0,0,16,16,0.0,0,0
1,Trent Cole,2363,ED,IND,1,0,,0,0,14,61.6,62.8,77.1,67.6,55.3,25.4,,0,0,23,26,0.0,0,0
1,C.J. Mosley,2408,DI,MIA,1,0,0.0,0,0,17,,73.6,73.4,56.5,72.5,67.3,0.0,0,0,7,7,14.3,1,1
1,Brandon Browner,2512,CB,NO,1,1,,1,0,20,52.6,56.9,78.7,,72.2,75.5,0.0,0,1,22,23,0.0,0,0
1,Ahmad Brooks,2945,ED,SF,1,0,1.0,0,0,28,57.4,49.3,78.9,50.4,50.3,38.2,0.0,0,1,11,11,9.1,1,1
1,Mario Williams,2946,ED,BUF,1,0,,0,0,4,60.0,57.8,81.8,55.8,59.5,,,0,0,13,14,0.0,0,0
1,A.J. Hawk,2950,LB,CIN,1,1,,0,0,7,53.5,52.7,69.0,,56.7,40.7,50.0,1,0,9,10,0.0,0,0
1,Donte Whitner,2953,S,CLV,1,1,7.3,0,0,8,64.0,59.6,75.1,57.2,53.7,67.2,12.5,1,0,36,36,8.3,3,6
1,Haloti Ngata,2957,DI,DET,1,0,2.0,0,0,11,,65.0,78.8,68.6,57.7,69.0,0.0,0,0,23,23,8.7,2,2
1,Chad Greenway,2962,LB,MIN,1,0,,0,0,18,45.8,42.7,76.7,61.7,48.4,49.0,100.0,1,0,35,38,0.0,0,0
1,Antonio Cromartie,2964,CB,NYJ,1,0,,0,0,22,28.7,29.9,74.9,,63.5,23.2,,0,0,11,12,0.0,0,0
1,Tamba Hali,2965,ED,KC,1,0,4.0,0,0,16,40.9,48.1,78.2,51.2,64.4,42.1,0.0,0,0,16,16,0.0,0,1
1,Manny Lawson,2967,LB,BUF,1,0,,0,0,4,28.5,29.7,76.6,55.5,52.2,25.8,,0,0,5,5,0.0,0,0
1,Johnathan Joseph,2969,CB,HST,1,0,13.0,0,0,13,59.3,57.6,78.0,,51.4,27.5,50.0,1,0,29,30,0.0,0,1
1,DeMeco Ryans,2978,LB,PHI,1,0,4.5,0,0,24,41.9,46.3,73.6,55.8,63.5,32.3,0.0,0,0,12,12,8.3,1,2
1,D'Qwell Jackson,2979,LB,IND,1,2,2.0,0,0,14,52.5,57.9,78.0,55.5,63.6,48.9,22.2,2,0,31,34,12.9,4,5
1,Roman Harper,2988,S,CAR,1,0,8.0,0,0,5,44.6,40.1,78.9,57.1,52.4,76.1,0.0,0,0,17,17,0.0,0,2
1,Tim Jennings,3007,CB,TB,1,0,,0,0,30,67.9,69.7,73.3,,65.9,73.3,,0,0,16,18,0.0,0,0
1,Darryl Tapp,3008,ED,DET,1,1,1.0,0,0,11,61.5,76.9,78.0,59.6,67.8,73.8,0.0,0,0,9,10,11.1,1,1
1,Frostee Rucker,3036,DI,ARZ,1,0,2.0,0,0,1,59.5,52.2,79.0,57.4,51.6,67.3,0.0,0,0,11,11,9.1,1,1
1,Jason Hatcher,3037,DI,WAS,1,0,1.0,0,0,32,,74.8,77.1,75.3,62.6,70.2,33.3,1,0,15,15,13.3,2,2
1,Stephen Tulloch,3061,LB,DET,1,0,4.8,0,0,11,46.9,47.1,77.5,53.8,57.8,33.9,0.0,0,0,30,31,3.3,1,4
1,Domata Peko Sr.,3068,DI,CIN,1,0,,0,0,7,,57.1,77.5,51.9,62.2,,,0,0,9,9,0.0,0,0
1,Elvis Dumervil,3071,ED,BLT,1,0,3.0,0,0,3,75.8,66.8,1.5,62.1,69.0,72.4,0.0,0,1,14,14,7.1,1,1
1,Kyle Williams,3079,DI,BUF,1,1,,0,0,4,61.7,68.7,78.9,59.4,67.3,29.5,0.0,0,0,10,11,0.0,0,0
1,Rob Ninkovich,3080,ED,NE,1,0,3.0,0,0,19,66.8,49.8,81.4,50.9,45.2,31.7,33.3,1,0,23,26,8.7,2,2
1,Jeremy Mincey,3136,ED,DAL,1,1,,0,0,9,,52.0,0.0,57.9,60.4,69.2,0.0,0,1,13,13,0.0,0,0
1,Kedric Golston,3141,DI,WAS,1,0,,0,0,32,,27.7,71.4,59.7,40.1,,,0,0,2,2,0.0,0,0
1,Antoine Bethea,3152,S,SF,1,1,9.0,0,0,28,74.3,86.6,77.3,90.9,65.9,65.1,0.0,0,0,13,13,0.0,0,1
1,Stephen Bowen,3242,DI,NYJ,1,0,,0,0,22,,59.0,71.2,54.6,62.2,,,0,0,2,3,0.0,0,0
1,Tom Johnson,3378,DI,MIN,1,0,1.5,0,0,18,,69.1,76.9,79.8,55.3,68.7,0.0,0,0,16,16,12.5,2,2
1,Tony McDaniel,3423,DI,TB,1,0,,0,0,30,,46.3,74.7,56.9,48.5,,,0,0,10,11,0.0,0,0
1,Tramon Williams,3558,CB,CLV,1,0,21.0,0,0,8,62.7,65.4,77.7,,69.3,76.8,0.0,0,0,35,35,0.0,0,1
1,Brent Grimes,3589,CB,MIA,1,0,2.0,0,0,17,84.4,87.9,78.5,66.6,75.2,75.1,0.0,0,0,36,38,2.8,1,1
1,Darrelle Revis,3630,CB,NYJ,1,0,8.0,0,0,22,53.4,55.9,78.0,,66.7,78.7,0.0,0,0,21,22,0.0,0,1
1,Lawrence Timmons,3631,LB,PIT,1,2,2.0,0,0,25,46.5,41.5,78.4,69.5,44.6,28.5,0.0,0,0,24,25,4.2,1,2
1,Leon Hall,3634,CB,CIN,1,0,,0,0,7,81.1,81.3,75.5,60.0,60.0,82.8,,0,0,5,5,0.0,0,0
1,Michael Griffin,3635,S,TEN,1,0,6.0,0,0,31,63.3,71.3,75.1,60.0,76.3,67.0,0.0,0,0,18,20,11.1,2,3
1,Reggie Nelson,3637,S,CIN,1,1,,0,0,7,67.7,64.5,77.4,52.8,53.1,26.8,0.0,0,0,14,15,0.0,0,0
1,Brandon Meriweather,3640,S,NYG,1,0,8.0,0,0,21,70.7,72.7,78.8,55.0,62.4,62.8,0.0,0,0,23,23,0.0,0,1
1,Alan Branch,3649,DI,NE,1,0,6.0,0,0,19,,50.9,73.3,56.2,53.7,26.4,50.0,1,0,5,6,0.0,0,1
1,Paul Posluszny,3650,LB,JAX,1,0,0.6,0,0,15,71.9,76.7,78.4,53.3,73.0,83.0,0.0,0,0,33,33,15.2,5,5
1,Eric Weddle,3653,S,SD,1,0,3.5,0,0,27,75.4,75.0,78.2,57.2,55.3,84.4,0.0,0,0,16,16,6.3,1,2
1,Lamarr Woodley,3662,ED,ARZ,1,0,,0,0,1,90.1,71.7,77.1,64.9,50.3,27.5,100.0,1,0,15,16,0.0,0,0
1,David Harris,3663,LB,NYJ,1,0,2.3,0,0,22,62.1,62.5,76.3,57.7,62.1,66.6,20.0,1,0,21,22,19.0,4,4
1,Justin Durant,3664,LB,ATL,1,0,2.0,0,0,2,54.0,42.3,77.4,54.0,31.8,48.9,0.0,0,0,16,19,6.3,1,1
1,Josh Wilson,3671,CB,DET,1,0,7.3,0,0,11,57.6,63.3,75.8,59.1,77.1,54.2,0.0,0,0,21,21,4.8,1,4
1,Charles Johnson,3699,ED,CAR,1,0,1.0,0,0,5,61.1,66.2,80.6,58.1,70.5,71.2,0.0,0,0,14,14,7.1,1,1
1,Brandon Mebane,3701,DI,SEA,1,0,8.0,0,0,29,,49.2,79.5,69.2,43.1,22.6,50.0,1,0,18,20,0.0,0,1
1,Brian Robison,3718,ED,MIN,1,0,1.0,0,0,18,60.0,69.0,80.9,65.9,64.0,27.6,50.0,1,0,25,27,4.0,1,1
1,Paul Soliai,3724,DI,ATL,1,0,,0,0,2,,52.8,73.8,60.7,52.1,,,0,0,3,3,0.0,0,0
1,Dashon Goldson,3742,S,WAS,1,3,,0,0,32,65.7,67.8,78.7,,62.2,83.8,0.0,0,0,18,18,0.0,0,0
1,Tarell Brown,3763,CB,NE,1,0,-1.0,0,0,19,44.2,46.8,78.2,,61.6,79.2,0.0,0,0,20,23,5.0,1,1
1,Corey Graham,3784,S,BUF,1,0,8.0,0,0,4,,60.3,62.9,,60.0,75.2,0.0,0,0,1,1,0.0,0,1
1,William Gay,3786,CB,PIT,1,0,,0,0,25,61.7,64.5,76.5,59.0,70.7,79.7,,0,0,22,23,0.0,0,0
1,Trumaine McBride,3837,CB,NYG,1,0,1.0,0,0,21,68.7,68.3,74.7,49.2,70.7,28.6,0.0,0,0,6,6,16.7,1,1
1,Alan Ball,3853,CB,CHI,1,0,1.0,0,0,6,46.8,53.4,78.0,,74.8,76.5,0.0,0,0,23,24,8.7,2,2
1,Mike Devito,3928,DI,KC,1,0,,0,0,16,,66.0,76.0,58.8,66.8,,,0,0,8,8,0.0,0,0
1,James Ihedigbo,4147,S,DET,1,0,,0,0,11,47.8,39.2,0.0,59.2,50.4,27.3,100.0,1,1,30,31,0.0,0,0
1,Chris Long,4316,ED,SL,1,1,6.0,0,0,26,,69.7,81.2,66.0,64.1,72.1,0.0,0,0,12,12,8.3,1,2
1,Glenn Dorsey,4319,DI,SF,1,1,,0,0,28,,46.6,76.0,52.9,48.8,67.4,0.0,0,0,13,13,0.0,0,0
1,Jerod Mayo,4324,LB,NE,1,1,,0,0,19,67.0,63.3,70.8,,55.8,75.0,0.0,0,0,4,4,0.0,0,0
