Week,player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
0,Gavin Hardison,100827,QB,UTEP,1,53,50.0,10,10,14.8,2.45,0,2,18.2,40.0,4,3,20.0,11,20.8,1,4,,49.7,79.3,70.7,78.6,,,0,0,12,33.3,116.7,9.1,1,0,0,0,1,1,8.3,115,11.5,0,330,66.5,82.9,81.2,66.7,64.7,34,38,13.4,3.59,0,5,12.5,44.7,17,12,22.7,42,79.2,5,8,,69.3,75.9,75.1,77.8,,52.9,1,0,44,16.7,58.9,4.8,2,2,0,3,0,1,2.3,178,4.7,66.7,36,36,13.8,2.85,0,5,13.2,55.6,20,0,16.7,38,71.7,4,11,,69.0,82.0,74.8,83.9,,52.9,0,0,40,,89.1,0.0,0,2,0,0,1,1,2.5,272,7.6,0,37.5,8,12,13.3,4.63,0,2,15.4,8.3,1,15,66.7,15,28.3,2,1,,53.1,65.0,71.6,64.6,,,1,0,16,20.0,39.6,20.0,3,0,0,3,0,1,6.3,21,1.8
0,Casey Thompson,77677,QB,NEBRASKA,1,44,80.0,10,10,9.6,2.78,0,0,0.0,80.0,8,3,0.0,11,25.0,0,5,,65.6,79.8,70.4,79.1,,,0,1,11,33.3,63.3,9.1,1,0,0,0,0,0,0.0,87,8.7,0,238,69.8,77.4,75.9,62.3,73.3,30,32,14.1,2.83,0,2,6.1,53.1,17,12,22.7,33,75.0,5,11,,68.5,71.3,74.2,70.7,,,0,1,34,8.3,78.6,3.0,1,0,0,2,1,1,2.9,268,8.4,71.4,28,28,11.4,2.37,0,1,3.4,60.7,17,0,15.0,29,65.9,3,12,,68.2,67.5,73.7,67.0,,,0,2,30,,65.9,3.4,1,0,0,0,1,1,3.3,209,7.5,0,83.3,12,14,16.6,3.69,0,1,7.1,57.1,8,15,20.0,15,34.1,2,4,,66.4,83.8,71.4,83.0,,,0,0,15,6.7,93.2,6.7,1,0,0,2,0,0,0.0,146,10.4
0,Drake Maye,143969,QB,N CAROLINA,1,41,60.0,10,12,18.8,2.32,0,2,16.7,50.0,6,6,0.0,12,29.3,0,5,,66.0,72.0,71.0,71.5,,,1,0,13,0.0,110.1,0.0,0,0,1,0,3,0,0.0,77,6.4,0,245,69.7,85.2,78.3,80.1,88.5,26,26,5.7,2.38,0,0,0.0,88.5,23,5,0.0,29,70.7,0,13,,68.2,76.2,73.7,77.4,,58.5,0,0,30,0.0,127.1,0.0,0,3,0,0,2,0,0.0,217,8.3,89.3,28,29,8.3,2.1,0,1,3.3,86.2,25,0,0.0,30,73.2,0,15,,68.4,77.8,74.0,78.8,,57.3,0,0,32,,141.6,0.0,0,1,1,0,4,0,0.0,246,8.5,0,50.0,8,9,12.9,3.06,0,1,11.1,44.4,4,11,0.0,11,26.8,0,3,,65.6,68.8,70.4,68.0,,61.8,1,0,11,0.0,98.4,0.0,0,2,0,0,1,0,0.0,48,5.3
0,Ryan Hilinski,71295,QB,NWESTERN,1,39,100.0,9,10,5.4,2.26,0,0,0.0,90.0,9,5,0.0,11,28.2,0,5,,65.6,75.3,70.4,74.8,,,0,0,11,0.0,100.0,0.0,0,0,0,1,0,0,0.0,80,8.0,1,256,71.1,78.3,77.7,62.4,74.1,27,28,7.6,2.56,1,0,0.0,64.3,18,4,10.0,28,71.8,2,10,,68.0,75.3,73.5,74.6,,,0,0,28,0.0,114.3,0.0,0,0,0,0,2,0,0.0,234,8.4,82.1,28,29,6.4,2.42,1,0,0.0,72.4,21,0,8.7,30,76.9,2,12,,68.2,79.0,73.7,78.3,,,0,0,30,,122.2,0.0,0,0,0,0,2,0,0.0,256,8.8,2,75.0,8,9,9.3,2.68,0,0,0.0,66.7,6,9,0.0,9,23.1,0,3,,65.1,67.5,69.8,67.1,,,0,0,9,0.0,84.5,0.0,0,0,0,1,0,0,0.0,58,6.4
0,Brayden Schager,146078,QB,HAWAII,1,37,58.8,17,18,8.1,2.3,0,0,0.0,44.4,8,5,20.0,19,51.4,2,4,,67.1,52.3,72.4,52.2,,,0,0,20,20.0,62.5,5.3,1,0,0,1,0,0,0.0,101,5.6,0,180,68.9,48.5,47.8,,62.5,16,17,8.8,2.56,0,0,0.0,58.8,10,2,0.0,18,48.6,0,3,,66.8,47.5,72.0,47.5,,,0,0,18,0.0,65.8,0.0,0,0,0,1,0,0,0.0,60,3.5,67.9,28,29,8.7,2.15,0,0,0.0,58.6,17,0,10.5,30,81.1,2,6,,68.2,55.2,73.7,55.1,,,0,0,30,,72.3,0.0,0,0,0,1,0,0,0.0,149,5.1,0,20.0,5,6,6.8,3.61,0,0,0.0,16.7,1,7,0.0,7,18.9,0,1,,64.9,35.8,69.5,36.0,,,0,0,8,14.3,39.6,14.3,1,0,0,1,0,0,0.0,12,2.0
0,Tommy DeVito,60545,QB,ILLINOIS,1,37,77.8,9,10,5.0,2.37,0,0,0.0,70.0,7,3,0.0,10,27.0,0,5,,65.4,70.3,70.1,69.9,,,0,0,10,0.0,122.1,0.0,0,0,0,1,2,0,0.0,53,5.3,0,187,69.8,77.2,74.8,65.8,84.0,25,27,6.0,2.46,0,2,6.9,74.1,20,3,4.8,27,73.0,1,5,,68.1,74.1,73.6,73.5,,,0,0,29,0.0,85.6,0.0,0,0,0,2,0,0,0.0,141,5.2,83.9,31,31,5.5,2.22,0,2,6.1,80.6,25,0,3.8,31,83.8,1,9,,68.5,77.4,74.1,76.7,,,0,0,33,,101.2,0.0,0,0,0,0,1,0,0.0,177,5.7,0,66.7,3,6,8.0,3.53,0,0,0.0,33.3,2,6,0.0,6,16.2,0,1,,64.2,59.4,68.6,59.3,,,0,0,6,0.0,81.9,0.0,0,0,0,3,1,0,0.0,17,2.8
0,Austin Reed,111760,QB,W KENTUCKY,1,35,87.5,8,10,13.1,2.4,1,0,0.0,60.0,6,4,14.3,10,28.6,1,4,,66.0,64.2,71.0,63.9,,,1,0,13,0.0,127.5,0.0,0,0,0,0,2,0,0.0,86,8.6,0,346,70.3,68.5,66.5,64.3,68.2,22,23,12.6,2.63,0,1,4.2,56.5,13,1,13.3,25,71.4,2,7,,67.8,66.7,73.3,66.3,,,1,1,26,100.0,94.5,4.0,1,0,0,0,2,1,3.8,190,8.3,75.0,28,28,12.6,2.52,0,1,3.1,64.3,18,0,14.3,30,85.7,3,11,,68.5,70.5,74.2,70.0,,,0,1,34,,120.2,3.3,1,0,0,0,4,1,2.9,268,9.6,0,50.0,2,5,15.0,2.82,1,0,0.0,20.0,1,5,0.0,5,14.3,0,0,,63.8,48.9,68.1,48.9,,,2,0,5,0.0,39.6,0.0,0,0,0,0,0,0,0.0,8,1.6
0,Zion Turner,158636,QB,UCONN,1,33,53.8,13,15,7.1,2.73,1,0,0.0,40.0,6,6,14.3,15,45.5,1,2,,66.4,60.6,71.4,60.4,,,0,0,15,0.0,47.9,0.0,0,0,0,1,0,0,0.0,44,2.9,0,146,69.5,40.8,36.1,62.3,50.0,12,16,11.1,2.91,1,0,0.0,37.5,6,7,0.0,18,54.5,0,7,,67.0,29.1,72.2,28.0,,64.2,1,2,19,14.3,31.5,5.6,1,1,0,2,1,3,15.8,65,4.1,70.6,17,19,6.9,2.16,1,0,0.0,57.9,11,0,8.3,20,60.6,1,7,,67.2,47.5,72.5,47.5,,,0,1,21,,65.7,5.0,1,0,0,1,1,1,4.8,90,4.7,0,12.5,8,12,13.4,3.85,1,0,0.0,8.3,1,13,0.0,13,39.4,0,2,,66.0,35.9,71.0,30.7,,64.2,1,1,13,0.0,4.9,0.0,0,1,0,2,0,2,15.4,19,1.6
0,Logan Bonner,39990,QB,UTAH ST,1,33,50.0,8,9,12.5,2.29,0,1,10.0,44.4,4,1,0.0,9,27.3,0,3,,65.4,73.8,70.1,73.2,,,0,0,10,0.0,75.7,0.0,0,0,0,1,0,0,0.0,79,8.8,0,329,70.1,89.5,91.5,52.1,85.0,20,20,7.3,2.53,0,3,14.3,80.0,16,4,5.9,24,72.7,1,12,,67.7,90.3,73.3,92.5,55.9,50.3,0,0,25,25.0,145.4,4.2,1,3,0,0,3,0,0.0,188,9.4,76.0,25,25,8.7,2.35,0,3,11.5,72.0,18,0,5.3,28,84.8,1,13,,68.1,88.6,73.7,91.3,55.9,50.3,0,0,29,,129.4,0.0,0,3,0,0,2,0,0.0,244,9.8,0,66.7,3,4,9.3,3.08,0,1,20.0,50.0,2,5,0.0,5,15.2,0,2,,64.2,76.5,68.6,76.0,,,0,0,6,20.0,107.3,20.0,1,0,0,1,1,0,0.0,23,5.8
0,Doug Brumfield,128348,QB,UNLV,1,29,90.9,11,11,8.5,2.76,0,1,8.3,90.9,10,6,0.0,14,48.3,0,6,,66.5,73.2,71.6,76.0,,58.3,0,0,16,16.7,158.3,7.1,1,2,0,0,3,1,6.3,173,15.7,0,325,25.5,76.0,77.2,58.3,92.3,13,14,7.3,2.12,0,1,7.1,78.6,11,2,8.3,15,51.7,1,9,,18.5,72.4,71.4,71.9,,,1,0,15,50.0,142.6,6.7,1,0,0,0,1,1,6.7,183,13.1,95.0,20,20,8.1,2.13,0,2,9.5,90.0,18,0,5.3,21,72.4,1,13,,22.2,82.0,72.7,81.2,,,0,0,22,,158.3,4.8,1,0,0,0,3,1,4.5,330,16.5,0,75.0,4,5,7.0,3.21,0,0,0.0,60.0,3,8,0.0,8,27.6,0,2,,65.1,55.2,69.8,55.9,,58.3,1,0,9,12.5,113.3,12.5,1,2,0,0,1,1,11.1,26,5.2
