Week,player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
1,Terrell Suggs,1326,ED,ARZ,1,0,9.0,100.0,4.8,2.0,2.0,0,0,0,0.0,1,45.5,80.6,10.3,90.3,63.1,75.8,0,15,,0,0,1,118.8,1,2,42,2,0,1,0,15,6,7.5,15.0
1,Thomas Davis Sr.,2231,LB,LAC,1,1,4.3,66.7,96.7,7.3,4.8,0,0,0,0.0,27,43.9,50.8,76.5,59.3,64.1,84.1,0,20,0.0,0,0,0,127.8,4,29,30,0,2,6,1,44,27,1.5,11.0
1,Lorenzo Alexander,2476,ED,BUF,1,1,2.0,100.0,23.8,5.0,5.0,0,0,0,0.0,4,48.5,66.5,75.7,72.4,64.5,76.1,0,6,0.0,0,0,0,91.7,1,5,21,1,0,1,0,6,4,1.2,6.0
1,Johnathan Joseph,2969,CB,HST,1,0,5.2,83.3,100.0,8.8,7.3,0,0,0,0.0,13,66.8,68.1,77.9,,68.7,67.9,0,15,14.3,1,0,0,93.8,5,45,45,2,6,6,0,39,12,0.9,7.8
1,Antoine Bethea,3152,S,NYG,1,0,29.0,100.0,97.2,15.5,15.5,0,0,0,0.0,21,40.9,47.8,76.1,59.1,75.5,83.9,0,45,0.0,0,0,0,158.3,2,35,36,0,3,2,1,73,15,2.4,36.5
1,Tramon Williams,3558,CB,GB,1,0,7.9,54.5,98.2,8.7,4.7,0,0,3,27.3,12,73.6,69.2,0.0,60.0,63.1,81.9,0,14,0.0,0,1,2,63.4,6,56,57,1,3,11,0,42,38,0.8,7.0
1,Eric Weddle,3653,S,LA,1,2,1.0,100.0,100.0,13.0,13.0,0,0,0,0.0,26,74.4,78.1,73.7,,62.8,82.5,0,2,0.0,0,0,0,79.2,1,13,13,2,4,1,0,2,1,0.2,2.0
1,Dominique Rodgers-Cromartie,4330,CB,WAS,1,0,4.0,0.0,100.0,,3.0,0,0,0,0.0,32,65.2,53.4,69.1,,45.9,34.9,0,,0.0,0,0,0,39.6,0,3,3,0,1,1,0,0,0,0.0,
1,Aqib Talib,4334,CB,LA,1,0,12.2,40.0,100.0,21.0,8.4,0,0,1,20.0,26,57.9,59.8,77.8,,66.1,24.3,0,16,100.0,2,1,0,58.8,2,43,43,0,0,5,0,28,9,0.7,14.0
1,Brandon Carr,4454,CB,BLT,1,0,12.7,33.3,88.5,22.0,7.3,0,0,1,33.3,3,60.6,58.9,74.2,52.2,60.0,,0,-3,,0,1,0,42.4,1,23,26,0,0,3,0,-3,1,-0.1,-3.0
1,Wesley Woodyard,4583,LB,TEN,1,0,,,83.3,,,0,0,0,,31,66.7,65.4,70.5,60.0,60.1,78.4,0,,0.0,0,0,0,0.0,0,5,6,1,1,0,0,0,0,0.0,
1,Malcolm Jenkins,4937,S,PHI,1,0,7.0,60.0,98.0,14.7,8.8,0,0,0,0.0,24,53.4,51.1,75.3,59.1,52.2,46.3,0,17,0.0,0,0,0,77.9,3,48,49,2,3,5,0,31,5,0.7,10.3
1,Clay Matthews,4949,ED,LA,1,0,11.0,0.0,14.8,,4.0,0,0,0,0.0,26,42.4,47.6,77.5,52.1,59.0,72.0,0,,,0,0,0,39.6,0,4,27,0,0,1,0,0,0,0.0,
1,Patrick Chung,4957,S,NE,1,1,2.0,80.0,87.5,7.8,6.2,0,0,1,20.0,19,86.9,81.9,75.5,54.4,56.4,80.3,0,8,0.0,0,1,0,80.8,4,35,40,2,2,5,0,17,12,0.5,4.3
