Week,player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
1,Johnathan Joseph,2969,CB,TEN,1,24,0,31,0,20.5,50.0,100.0,12.0,6.0,0,0,0.0,69.1,0,5,0.0,0,0,56.3,1,12,50.0,12,0,1,2,0,5,0,0.4,5.0,0,0,0.0,100.0,100.0,10.0,10.0,0,0,0.0,66.3,0,8,,0,0,100.0,1,10,41.7,10,0,0,1,0,8,8,0.8,8.0
1,Calais Campbell,4364,DI,BLT,1,1,0,3,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,13,0,0,0,0,0,0,,,0,0,9.0,0.0,5.6,,1.0,1,1,100.0,60.1,0,,,0,1,39.6,0,1,100.0,18,0,0,1,0,0,0,0.0,
1,Malcolm Jenkins,4937,S,NO,1,40,0,20,0,5.0,0.0,76.5,,9.0,0,0,0.0,58.0,0,,,0,0,39.6,0,13,32.5,17,0,0,1,0,0,0,0.0,,0,0,17.0,0.0,92.6,,25.0,0,1,100.0,72.3,0,,0.0,0,0,39.6,0,25,62.5,27,1,3,1,0,0,0,0.0,
1,Jason McCourty,5127,CB,NE,1,29,0,19,1,,,95.5,,,0,0,,66.7,0,,0.0,0,0,0.0,0,21,72.4,22,0,0,0,0,0,0,0.0,,0,0,5.0,100.0,80.0,4.0,4.0,0,0,0.0,65.4,0,5,0.0,0,0,87.5,1,4,13.8,5,0,1,1,0,5,0,1.3,5.0
1,Joe Haden,5532,CB,PIT,1,52,0,25,0,5.0,100.0,100.0,19.0,19.0,0,0,0.0,63.0,0,4,0.0,0,0,83.3,1,22,42.3,22,1,1,1,0,4,-1,0.2,4.0,0,0,10.0,100.0,100.0,23.0,23.0,0,0,0.0,56.0,0,10,0.0,0,0,108.3,1,23,44.2,23,0,3,1,0,10,0,0.4,10.0
1,Jason Pierre-Paul,5540,ED,TB,1,6,0,30,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,10,1,0,0,0,0,0,,,0,0,-5.0,100.0,21.1,4.0,4.0,0,0,0.0,62.9,0,5,,0,0,87.5,1,4,66.7,19,0,0,1,0,5,10,1.3,5.0
1,Kareem Jackson,5545,S,DEN,1,48,0,10,0,4.0,100.0,100.0,15.0,15.0,0,0,0.0,43.1,0,7,,0,0,95.8,1,17,35.4,17,0,0,1,0,7,3,0.5,7.0,0,0,8.5,50.0,100.0,26.0,13.0,0,1,50.0,75.8,0,7,0.0,0,1,58.3,1,27,56.3,27,0,3,2,0,7,6,0.3,7.0
1,Devin McCourty,5552,S,NE,1,37,0,19,0,14.0,100.0,96.4,25.0,25.0,0,0,0.0,53.4,0,14,50.0,1,0,118.8,1,27,73.0,28,0,1,1,0,14,0,0.6,14.0,0,0,18.0,100.0,100.0,5.0,5.0,0,0,0.0,50.3,0,18,0.0,0,0,118.8,1,5,13.5,5,0,1,1,0,18,0,3.6,18.0
1,Jerry Hughes,5556,ED,BUF,1,2,0,4,0,,,0.0,,,0,0,,60.0,0,,,0,0,0.0,0,0,0.0,9,0,0,0,0,0,0,,,0,0,,,10.5,,,0,0,,63.9,0,,0.0,0,0,0.0,0,2,100.0,19,1,1,0,0,0,0,0.0,
1,Patrick Robinson,5557,CB,NO,1,6,0,20,0,9.0,100.0,100.0,3.0,3.0,0,0,0.0,29.7,0,9,0.0,0,0,104.2,1,5,83.3,5,0,1,1,0,9,0,3.0,9.0,0,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,16.7,1,0,0,0,0,0,0,0.0,
