Week,player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
1,Ted Karras,10855,C,CIN,1,0,7,76.5,0,0,65,100.0,100.0,100.0,0,0,0,71,71,84.4,0,0,39,100.0,100.0,100.0,0,0,44,44
1,Cordell Volson,30614,G,CIN,1,0,7,44.3,2,4,65,100.0,100.0,92.3,0,8,2,71,71,74.2,1,2,39,100.0,100.0,96.2,3,0,44,44
1,Jonah Williams,41651,T,CIN,1,0,7,63.6,1,4,65,100.0,100.0,93.1,0,7,2,71,71,76.1,0,1,39,100.0,100.0,93.6,3,2,44,44
1,Alex Cappa,66578,G,CIN,1,0,7,72.7,1,2,65,100.0,100.0,97.7,0,3,0,71,71,78.0,1,1,39,100.0,100.0,97.4,2,0,44,44
1,La'el Collins,9719,T,CIN,1,0,7,57.7,0,1,65,100.0,100.0,99.2,0,1,0,71,71,49.3,0,1,39,100.0,100.0,98.7,1,0,44,44
1,George Fant,11282,T,NYJ,1,0,22,56.0,1,2,62,100.0,100.0,96.0,0,4,1,66,66,71.4,0,2,29,100.0,100.0,96.6,2,0,33,33
1,Max Mitchell,81707,T,NYJ,1,0,22,50.1,0,2,62,100.0,100.0,96.8,0,3,1,66,66,55.1,0,2,29,100.0,100.0,96.6,2,0,33,33
1,Connor McGovern,10778,C,NYJ,1,0,22,59.8,1,1,62,100.0,100.0,98.4,0,2,0,66,66,44.3,1,1,29,100.0,100.0,96.6,2,0,33,33
1,Alijah Vera-Tucker,57107,G,NYJ,1,0,22,45.0,0,3,62,100.0,100.0,97.6,0,3,0,66,66,61.9,0,2,29,100.0,100.0,96.6,2,0,33,33
1,Laken Tomlinson,9461,G,NYJ,1,0,22,39.5,0,8,62,100.0,100.0,93.5,0,8,0,66,66,29.0,0,7,29,100.0,100.0,87.9,7,0,33,33
1,Danny Pinter,47339,G,IND,1,0,14,46.6,0,0,54,100.0,100.0,100.0,0,0,0,56,56,70.4,0,0,21,100.0,100.0,100.0,0,0,22,22
1,Quenton Nelson,12954,G,IND,1,0,14,81.3,0,1,54,100.0,100.0,99.1,1,1,0,56,56,70.4,0,1,21,100.0,100.0,97.6,1,0,22,22
1,Braden Smith,46794,T,IND,1,0,14,46.0,1,2,54,100.0,100.0,95.4,0,4,1,56,56,68.4,0,2,21,100.0,100.0,95.2,2,0,22,22
1,Ryan Kelly,10652,C,IND,1,0,14,86.1,0,0,54,100.0,100.0,100.0,0,0,0,56,56,82.6,0,0,21,100.0,100.0,100.0,0,0,22,22
1,Charles Leno Jr.,8880,T,WAS,1,0,32,89.5,0,0,45,100.0,100.0,100.0,0,0,0,52,52,88.3,0,0,18,100.0,100.0,100.0,0,0,20,20
1,Sam Cosmi,60114,T,WAS,1,0,32,65.7,0,0,45,100.0,100.0,97.8,0,1,1,52,52,53.9,0,0,18,100.0,100.0,94.4,1,1,20,20
1,Chase Roullier,11954,C,WAS,1,0,32,44.6,0,1,45,100.0,100.0,98.9,0,1,0,52,52,40.5,0,0,18,100.0,100.0,100.0,0,0,20,20
1,Matt Pryor,46647,T,IND,1,0,14,60.6,0,1,51,100.0,100.0,99.0,0,1,0,51,51,77.2,0,0,21,100.0,100.0,100.0,0,0,21,21
1,Rob Havenstein,9490,T,LA,1,0,26,51.1,0,3,50,100.0,100.0,95.0,0,4,1,51,51,58.8,0,3,27,100.0,100.0,94.4,3,0,28,28
1,Coleman Shelton,39316,C,LA,1,0,26,70.9,0,3,50,100.0,100.0,97.0,0,3,0,51,51,72.4,0,2,27,100.0,100.0,96.3,2,0,28,28
1,Brian Allen,46104,C,LA,1,0,26,48.9,1,0,50,100.0,100.0,97.0,0,2,1,51,51,39.6,1,0,27,100.0,100.0,94.4,2,1,28,28
1,Joe Noteboom,46249,T,LA,1,0,26,44.7,3,2,50,100.0,100.0,89.0,0,8,3,51,51,22.5,3,2,27,100.0,100.0,79.6,8,3,28,28
1,David Edwards,35941,G,LA,1,0,26,6.9,2,2,50,100.0,100.0,92.0,0,6,2,51,51,0.0,2,2,27,100.0,100.0,85.2,6,2,28,28
1,Andrew Norwell,9126,G,WAS,1,1,32,89.2,0,0,43,100.0,100.0,100.0,2,0,0,50,50,85.4,0,0,16,100.0,100.0,100.0,0,0,18,18
1,Ben Bartch,84236,G,JAX,1,0,15,32.1,3,1,45,100.0,100.0,95.6,0,4,0,50,50,5.7,2,1,20,100.0,100.0,92.5,3,0,24,24
1,Brandon Scherff,9438,G,JAX,1,0,15,54.0,0,1,45,100.0,100.0,96.7,0,2,1,50,50,54.1,0,0,20,100.0,100.0,95.0,1,1,24,24
1,Tyler Smith,98385,T,DAL,1,0,9,64.3,0,1,46,100.0,100.0,96.7,0,2,1,50,50,60.4,0,1,29,100.0,100.0,98.3,1,0,30,30
1,Terence Steele,39461,T,DAL,1,0,9,73.9,0,2,46,100.0,100.0,97.8,0,2,0,50,50,69.1,0,2,29,100.0,100.0,96.6,2,0,30,30
1,Zack Martin,8651,G,DAL,1,0,9,81.7,0,1,46,100.0,100.0,98.9,0,1,0,50,50,77.1,0,1,29,100.0,100.0,98.3,1,0,30,30
1,Luke Fortner,42028,C,JAX,1,0,15,35.1,1,3,45,100.0,100.0,95.6,0,4,0,50,50,31.9,0,2,20,100.0,100.0,95.0,2,0,24,24
1,Tyler Biadasz,41178,C,DAL,1,0,9,73.5,0,1,46,100.0,100.0,98.9,1,1,0,50,50,66.4,0,1,29,100.0,100.0,98.3,1,0,30,30
1,Cam Robinson,11789,T,JAX,1,0,15,61.4,1,4,44,97.8,98.0,94.3,0,5,0,49,50,37.1,1,4,20,100.0,100.0,87.5,5,0,24,24
1,Dalton Risner,47008,G,DEN,1,0,10,87.8,0,0,45,100.0,100.0,100.0,0,0,0,47,47,85.6,0,0,19,100.0,100.0,100.0,0,0,21,21
1,Lloyd Cushenberry III,41924,C,DEN,1,0,10,63.1,0,0,45,100.0,100.0,97.8,0,1,1,47,47,53.1,0,0,19,100.0,100.0,94.7,1,1,21,21
1,Garett Bolles,11775,T,DEN,1,1,10,75.9,0,2,45,100.0,100.0,97.8,1,2,0,47,47,64.5,0,2,19,100.0,100.0,94.7,2,0,21,21
1,Cam Fleming,8775,T,DEN,1,0,10,57.8,1,2,45,100.0,100.0,96.7,0,3,0,47,47,72.3,1,0,19,100.0,100.0,97.4,1,0,21,21
1,Matt Farniok,41585,G,DAL,1,0,9,26.7,3,3,43,100.0,100.0,93.0,0,6,0,47,47,21.3,2,3,28,100.0,100.0,91.1,5,0,29,29
1,D.J. Humphries,9457,T,ARZ,1,0,1,78.4,0,2,44,100.0,100.0,97.7,0,2,0,46,46,88.7,0,0,22,100.0,100.0,100.0,0,0,23,23
1,Sean Harlow,11891,C,ARZ,1,0,1,0.0,0,6,44,100.0,100.0,93.2,0,6,0,46,46,19.2,0,3,22,100.0,100.0,93.2,3,0,23,23
1,Kolton Miller,47013,T,LV,1,0,23,58.7,1,0,43,100.0,100.0,96.5,0,2,1,45,45,81.3,0,0,26,100.0,100.0,96.2,1,1,27,27
1,Andre James,47058,C,LV,1,0,23,79.7,0,1,43,100.0,100.0,98.8,0,1,0,45,45,75.6,0,1,26,100.0,100.0,98.1,1,0,27,27
1,John Simpson,41715,G,LV,1,1,23,50.3,2,0,43,100.0,100.0,97.7,1,2,0,45,45,52.8,1,0,26,100.0,100.0,98.1,1,0,27,27
1,Jawaan Taylor,41665,T,JAX,1,0,15,79.0,0,0,41,100.0,100.0,100.0,0,0,0,45,45,82.7,0,0,16,100.0,100.0,100.0,0,0,19,19
1,Andrew Wylie,12333,T,KC,1,0,16,78.6,0,1,41,100.0,100.0,98.8,0,1,0,44,44,82.8,0,0,16,100.0,100.0,100.0,0,0,18,18
1,Landon Dickerson,41712,G,PHI,1,0,24,78.8,0,1,42,100.0,100.0,98.8,0,1,0,44,44,62.6,0,1,13,100.0,100.0,96.2,1,0,14,14
1,Jason Kelce,6343,C,PHI,1,0,24,75.1,0,2,42,100.0,100.0,97.6,0,2,0,44,44,71.0,0,1,13,100.0,100.0,96.2,1,0,14,14
1,Jordan Mailata,66916,T,PHI,1,0,24,70.4,0,2,42,100.0,100.0,97.6,1,2,0,44,44,72.5,0,0,13,100.0,100.0,100.0,0,0,14,14
1,Joe Thuney,10712,G,KC,1,0,16,84.8,0,0,41,100.0,100.0,100.0,0,0,0,44,44,85.3,0,0,16,100.0,100.0,100.0,0,0,18,18
1,Lane Johnson,7786,T,PHI,1,1,24,79.4,0,0,42,100.0,100.0,100.0,1,0,0,44,44,83.1,0,0,13,100.0,100.0,100.0,0,0,14,14
1,Creed Humphrey,59996,C,KC,1,0,16,68.0,0,2,41,100.0,100.0,97.6,1,2,0,44,44,49.0,0,2,16,100.0,100.0,93.7,2,0,18,18
1,Isaac Seumalo,10713,G,PHI,1,0,24,70.3,0,1,42,100.0,100.0,98.8,0,1,0,44,44,43.8,0,1,13,100.0,100.0,96.2,1,0,14,14
1,Orlando Brown Jr.,46227,T,KC,1,0,16,53.0,1,4,41,100.0,100.0,93.9,0,5,0,44,44,63.3,0,3,16,100.0,100.0,90.6,3,0,18,18
1,A.J. Cann,9500,G,HST,1,0,13,60.7,0,1,41,100.0,100.0,98.8,0,1,0,43,43,60.9,0,1,10,100.0,100.0,95.0,1,0,11,11
1,Kevin Dotson,46735,G,PIT,1,0,25,65.3,1,0,40,100.0,100.0,98.7,0,1,0,43,43,43.7,1,0,17,100.0,100.0,97.1,1,0,18,18
1,Chukwuma Okorafor,46302,T,PIT,1,0,25,68.2,0,1,40,100.0,100.0,98.7,0,1,0,43,43,53.4,0,1,17,100.0,100.0,97.1,1,0,18,18
1,Joel Bitonio,8670,G,CLV,1,0,8,55.6,1,1,36,100.0,100.0,97.2,0,2,0,43,43,61.8,1,0,17,100.0,100.0,97.1,1,0,19,19
1,Justin Britt,8699,C,HST,1,0,13,71.2,0,0,41,100.0,100.0,100.0,0,0,0,43,43,66.3,0,0,10,100.0,100.0,100.0,0,0,11,11
1,Wyatt Teller,46131,G,CLV,1,0,8,84.7,0,0,36,100.0,100.0,100.0,0,0,0,43,43,79.9,0,0,17,100.0,100.0,100.0,0,0,19,19
1,Jedrick Wills Jr.,58467,T,CLV,1,0,8,63.0,0,4,36,100.0,100.0,94.4,0,4,0,43,43,67.0,0,1,17,100.0,100.0,97.1,1,0,19,19
1,James Daniels,45576,G,PIT,1,0,25,79.3,0,0,40,100.0,100.0,100.0,0,0,0,43,43,77.0,0,0,17,100.0,100.0,100.0,0,0,18,18
1,Tytus Howard,25472,T,HST,1,0,13,71.3,0,1,41,100.0,100.0,96.3,0,2,1,43,43,73.5,0,0,10,100.0,100.0,100.0,0,0,11,11
1,James Hudson III,59854,T,CLV,1,0,8,73.3,0,1,36,100.0,100.0,98.6,1,1,0,43,43,68.8,0,1,17,100.0,100.0,97.1,1,0,19,19
1,Royce Newman,41746,G,GB,1,0,12,45.2,0,2,42,100.0,100.0,95.2,0,3,1,43,43,43.9,0,2,16,100.0,100.0,93.7,2,0,16,16
1,Laremy Tunsil,10647,T,HST,1,0,13,84.0,0,0,41,100.0,100.0,97.6,0,1,1,43,43,86.1,0,0,10,100.0,100.0,100.0,0,0,11,11
