Week,player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
1,DeAndre Hopkins,7808,WR,HST,1,15,0,13,9.0,0,50.0,0.0,0,2,0.0,0,2,0,68.3,63.7,0,12,0.0,0,22,2,77.3,17,64.6,4,23.5,0,20,5,2.5,10.0,1.18,0,13.8,0,40.0,0.0,0,3,20.0,1,1,0,42.1,49.8,0,9,0.0,0,35,4,85.7,30,48.3,10,33.3,0,31,2,0.5,7.8,1.03
1,Larry Fitzgerald,1724,WR,ARZ,1,13,0,1,9.0,0,75.0,100.0,1,1,0.0,0,2,0,70.5,65.2,0,33,0.0,0,11,3,81.8,9,108.3,4,44.4,0,42,31,10.3,14.0,4.67,0,12.3,1,37.5,0.0,0,3,25.0,1,2,0,70.5,61.6,0,18,0.0,0,40,3,85.0,34,50.0,8,23.5,0,32,12,4.0,10.7,0.94
1,Randall Cobb,6216,WR,GB,1,12,0,12,2.7,0,70.0,0.0,0,1,0.0,0,3,0,76.5,76.5,0,14,0.0,0,19,7,89.5,17,82.5,10,58.8,0,53,41,5.9,7.6,3.12,0,3.0,0,100.0,,0,0,0.0,0,1,0,68.3,56.7,0,29,0.0,0,30,2,90.0,27,118.8,2,7.4,0,32,26,13.0,16.0,1.19
1,Amari Cooper,9437,WR,OAK,1,12,0,23,4.8,1,44.4,0.0,0,2,42.9,3,3,1,27.5,60.3,0,23,0.0,0,26,4,88.5,23,102.1,9,39.1,1,56,49,12.3,14.0,2.43,0,9.5,0,50.0,,0,0,0.0,0,0,0,64.7,55.5,0,6,0.0,0,10,1,100.0,10,56.3,2,20.0,0,6,0,0.0,6.0,0.6
1,Golden Tate,5585,WR,DET,1,12,0,11,7.0,0,60.0,0.0,0,1,25.0,1,3,0,36.2,67.8,1,18,0.0,0,18,3,94.4,17,50.8,5,29.4,0,46,11,3.7,15.3,2.71,0,4.3,0,100.0,,0,0,0.0,0,2,0,75.6,73.9,0,19,0.0,0,22,7,100.0,22,103.0,7,31.8,0,61,31,4.4,8.7,2.77
1,Tarik Cohen,11874,HB,CHI,1,11,0,6,-0.7,1,33.3,,0,0,0.0,0,0,0,64.7,68.2,0,5,0.0,0,5,1,100.0,5,42.4,3,60.0,0,5,11,11.0,5.0,1.0,0,7.6,2,87.5,0.0,0,1,0.0,0,1,0,76.5,83.7,0,19,0.0,0,17,7,94.1,16,128.1,8,50.0,1,42,19,2.7,6.0,2.63
1,Terrelle Pryor Sr.,6944,WR,WAS,1,11,0,32,9.5,0,50.0,0.0,0,1,0.0,0,0,0,64.7,55.4,0,4,0.0,0,10,1,90.0,9,56.3,2,22.2,0,4,5,5.0,4.0,0.44,0,16.8,0,55.6,100.0,1,1,16.7,1,4,0,29.2,68.0,0,28,0.0,0,29,5,96.6,28,77.1,9,32.1,0,62,24,4.8,12.4,2.21
1,Antonio Brown,5718,WR,PIT,1,11,0,25,4.0,0,100.0,,0,0,0.0,0,1,0,68.3,64.3,0,9,0.0,0,11,2,81.8,9,95.8,2,22.2,0,14,6,3.0,7.0,1.56,0,8.8,4,100.0,100.0,2,2,0.0,0,6,1,78.0,90.4,0,50,0.0,0,26,9,96.2,25,118.8,9,36.0,0,168,89,9.9,18.7,6.72
1,Pierre Garcon,4519,WR,SF,1,10,0,28,7.7,3,66.7,100.0,1,1,0.0,0,2,0,68.3,80.9,0,22,0.0,0,10,2,100.0,10,109.7,3,30.0,0,43,32,16.0,21.5,4.3,0,9.7,0,57.1,0.0,0,1,0.0,0,3,0,72.1,72.0,0,12,0.0,0,23,4,95.7,22,72.3,7,31.8,0,38,13,3.3,9.5,1.73
1,Corey Davis,11760,WR,TEN,1,10,0,31,14.7,0,66.7,100.0,1,1,0.0,0,2,0,68.3,90.4,0,23,0.0,0,5,2,100.0,5,104.9,3,60.0,0,34,2,1.0,17.0,6.8,0,8.1,1,57.1,,0,0,0.0,0,2,0,72.1,58.4,0,13,0.0,0,29,4,96.6,28,70.5,7,25.0,0,35,23,5.8,8.8,1.25
