Week,player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
1,Calais Campbell,4364,DI,BLT,1,0,2.5,0,0,3,60.2,50.5,77.0,66.5,35.2,71.1,0.0,0,0,12,12,8.3,1,2
1,Tyson Alualu,5535,DI,PIT,1,0,0.0,0,0,25,,64.8,76.1,56.3,68.9,68.6,0.0,0,0,9,9,11.1,1,1
1,Brandon Graham,5538,ED,PHI,1,0,,0,0,24,,65.4,78.7,63.9,60.1,69.6,,0,0,9,10,0.0,0,0
1,Kareem Jackson,5545,S,DEN,1,2,,0,0,10,45.8,43.5,0.0,,69.7,82.9,0.0,0,1,18,20,0.0,0,0
1,Devin McCourty,5552,S,NE,1,0,7.0,0,0,19,68.2,72.1,75.6,,65.4,84.1,0.0,0,0,22,23,0.0,0,1
1,Jerry Hughes,5556,ED,HST,1,0,,0,0,13,68.2,93.6,81.5,86.6,68.0,73.0,,0,0,17,17,0.0,0,0
1,Carlos Dunlap,5579,ED,KC,1,0,3.0,0,0,16,57.5,47.9,78.2,55.9,67.6,73.8,0.0,0,0,6,6,33.3,2,2
1,Al Woods,5646,DI,SEA,1,0,2.0,0,0,29,,52.2,75.5,55.5,54.0,66.8,0.0,0,0,10,10,10.0,1,1
1,Von Miller,6154,ED,BUF,1,0,4.0,0,0,4,75.7,89.8,76.4,77.9,70.7,74.9,0.0,0,0,8,8,12.5,1,1
1,Patrick Peterson,6157,CB,MIN,1,0,2.0,0,0,18,50.5,55.7,77.4,,80.9,78.7,0.0,0,0,18,18,5.6,1,1
1,Robert Quinn,6166,ED,CHI,1,1,1.0,0,0,6,60.0,49.6,81.8,58.5,43.1,71.2,0.0,0,0,21,21,4.8,1,1
1,Cameron Jordan,6176,ED,NO,1,2,0.8,0,0,20,,63.3,80.7,57.0,64.5,75.0,0.0,0,0,29,31,10.3,3,5
1,Cameron Heyward,6183,DI,PIT,1,0,1.0,0,0,25,,72.3,77.2,68.1,66.2,68.4,0.0,0,0,18,18,5.6,1,1
1,Justin Houston,6222,ED,BLT,1,0,0.0,0,0,3,61.0,82.1,78.4,76.2,67.6,41.9,0.0,0,0,8,9,12.5,1,1
1,Lawrence Guy Sr.,6385,DI,NE,1,0,1.0,0,0,19,,54.2,76.6,57.5,53.8,67.3,0.0,0,0,14,15,7.1,1,1
1,Josh Bynes,6503,LB,BLT,1,0,5.0,0,0,3,49.9,31.0,74.4,60.0,31.6,27.1,50.0,1,0,13,13,0.0,0,1
1,Stephon Gilmore,7016,CB,IND,1,0,,0,0,14,71.4,71.6,77.8,,65.8,37.4,,0,0,27,27,0.0,0,0
1,Fletcher Cox,7018,DI,PHI,1,0,2.0,0,0,24,,50.8,0.0,74.1,39.6,69.1,0.0,0,1,12,12,8.3,1,1
1,Michael Brockers,7020,DI,DET,1,0,,0,0,11,,41.4,76.3,53.1,43.4,,,0,0,13,13,0.0,0,0
