Week,player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
1,Calais Campbell,4364,ED,ATL,1,0,2.0,0,0,2,60.0,56.4,79.4,54.2,60.1,25.0,50.0,1,0,17,17,5.9,1,1
1,Brandon Graham,5538,ED,PHI,1,0,,0,0,24,67.3,78.6,77.1,67.5,60.9,69.6,,0,0,3,3,0.0,0,0
1,Kareem Jackson,5545,S,DEN,1,0,,0,0,10,70.6,65.8,0.0,,58.6,49.1,,0,1,24,25,0.0,0,0
1,Jerry Hughes,5556,ED,HST,1,0,,0,0,13,60.0,42.2,78.2,49.6,45.4,,,0,0,8,9,0.0,0,0
1,Al Woods,5646,DI,NYJ,1,0,,0,0,22,,63.4,74.9,60.0,62.8,67.3,,0,0,7,7,0.0,0,0
1,Patrick Peterson,6157,CB,PIT,1,1,5.0,0,0,25,64.5,63.2,76.4,,56.8,38.5,0.0,0,0,31,33,0.0,0,1
1,Cameron Jordan,6176,ED,NO,1,1,4.0,0,0,20,,72.8,79.5,65.5,70.5,74.4,0.0,0,0,16,17,12.5,2,3
1,Cameron Heyward,6183,DI,PIT,1,0,,0,0,25,,56.9,72.7,62.2,54.5,,,0,0,4,5,0.0,0,0
1,Justin Houston,6222,ED,CAR,1,1,,0,0,5,62.3,66.6,74.9,56.6,70.5,72.8,0.0,0,0,6,6,0.0,0,0
1,Lawrence Guy Sr.,6385,DI,NE,1,2,1.5,0,0,19,,70.5,76.0,50.8,79.2,70.8,0.0,0,0,12,12,16.7,2,2
1,Stephon Gilmore,7016,CB,DAL,1,0,,0,0,9,89.8,89.9,76.1,,72.0,78.9,,0,0,19,19,0.0,0,0
1,Fletcher Cox,7018,DI,PHI,1,0,3.0,0,0,24,,72.4,77.9,63.2,73.1,70.2,0.0,0,0,13,13,7.7,1,3
1,Bobby Wagner,7050,LB,SEA,1,3,1.7,0,0,29,47.2,74.7,75.3,60.2,90.4,86.0,0.0,0,0,39,40,20.5,8,9
1,Lavonte David,7060,LB,TB,1,0,-1.0,0,0,30,68.8,67.4,76.0,56.5,59.8,80.1,0.0,0,0,15,15,6.7,1,1
1,Demario Davis,7079,LB,NO,1,0,6.8,0,0,20,80.8,90.7,76.8,70.0,88.2,83.6,0.0,0,0,19,20,21.1,4,6
1,Rodney McLeod,7271,S,CLV,1,1,8.0,0,0,8,56.8,56.1,78.1,,58.0,46.4,25.0,1,0,19,19,5.3,1,2
1,Tashaun Gipson Sr.,7288,S,SF,1,0,,0,0,28,70.4,73.6,78.8,,60.4,78.2,,0,0,9,9,0.0,0,0
1,Harrison Smith,7641,S,MIN,1,0,3.0,0,0,18,63.0,63.5,75.3,52.5,65.9,79.6,0.0,0,0,29,29,0.0,0,1
1,Darius Slay,7817,CB,PHI,1,0,7.0,0,0,24,72.6,70.9,77.8,,54.5,76.6,0.0,0,0,20,20,0.0,0,1
1,Johnathan Hankins,7830,DI,DAL,1,1,,0,0,9,75.4,72.0,75.0,53.6,64.6,69.5,0.0,0,0,9,9,0.0,0,0
1,Tyrann Mathieu,7850,S,NO,1,1,4.5,0,0,20,56.8,61.6,76.9,60.0,70.2,54.7,25.0,1,0,19,20,5.3,1,2
1,John Jenkins,7863,DI,LV,1,0,,0,0,23,,59.0,76.8,74.8,48.9,67.3,,0,0,14,15,0.0,0,0
1,William Gholston,7908,DI,TB,1,0,,0,0,30,,72.0,73.4,55.3,71.4,,,0,0,4,4,0.0,0,0
1,Micah Hyde,7941,S,BUF,1,0,26.0,0,0,4,84.3,85.6,75.0,,57.8,83.8,0.0,0,0,26,26,0.0,0,1
1,Jordan Poyer,8000,S,BUF,1,2,7.0,0,0,4,53.0,46.4,75.5,57.9,46.1,60.6,0.0,0,0,27,27,3.7,1,2
1,Nick Williams,8006,DI,LAC,1,0,,0,0,27,61.3,60.4,76.4,52.7,55.5,23.4,100.0,1,0,12,13,0.0,0,0
1,Mike Purcell,8530,DI,DEN,1,1,,0,0,10,,61.6,75.5,65.4,57.8,65.9,0.0,0,0,12,13,0.0,0,0
1,Jadeveon Clowney,8636,ED,BLT,1,1,1.0,0,0,3,,63.6,80.6,56.6,69.3,26.3,0.0,0,0,11,11,9.1,1,1
1,Khalil Mack,8640,ED,LAC,1,0,2.0,0,0,27,46.9,59.8,78.9,59.1,69.4,39.7,33.3,1,0,12,13,16.7,2,2
1,Aaron Donald,8648,DI,LA,1,1,1.0,1,0,26,60.0,67.1,0.0,75.0,60.2,71.1,0.0,0,1,12,12,8.3,1,1
1,C.J. Mosley,8652,LB,NYJ,1,0,2.0,0,0,22,67.6,65.8,75.8,53.1,57.8,82.2,0.0,0,0,18,18,0.0,0,1
1,DeMarcus Lawrence,8669,ED,DAL,1,1,,0,0,9,,69.6,77.8,60.8,71.8,33.2,0.0,0,0,9,9,0.0,0,0
1,Jerick McKinnon,8731,HB,KC,1,0,,0,0,16,,60.0,60.4,,60.0,,,0,0,1,1,0.0,0,0
1,DaQuan Jones,8747,DI,BUF,1,0,2.5,0,0,4,,62.7,76.5,68.9,54.0,69.0,0.0,0,0,12,12,8.3,1,2
1,Brent Urban,8769,DI,BLT,1,0,,0,0,3,,64.5,74.3,55.2,66.4,,,0,0,4,4,0.0,0,0
1,Shelby Harris,8869,DI,CLV,1,0,1.7,0,0,8,59.5,69.9,75.1,61.9,71.0,69.8,0.0,0,0,12,12,25.0,3,3
1,Denico Autry,8982,ED,TEN,1,0,1.0,0,0,31,,89.4,78.2,87.5,64.4,73.4,25.0,1,0,10,10,30.0,3,3
1,Shaquil Barrett,9000,ED,TB,1,1,3.0,0,0,30,76.4,73.2,77.1,57.5,70.6,74.7,0.0,0,0,11,11,0.0,0,2
1,Kerry Hyder Jr.,9045,ED,SF,1,0,,0,0,28,,72.6,76.3,76.6,60.0,69.6,,0,0,2,2,0.0,0,0
1,Adrian Phillips,9177,S,NE,1,0,1.0,0,0,19,66.4,74.6,70.6,,69.8,75.8,0.0,0,0,2,2,50.0,1,1
1,C.J. Goodwin,9243,CB,DAL,1,0,,0,0,9,69.3,69.2,74.0,,60.0,75.4,,0,0,2,2,0.0,0,0
1,Dante Fowler Jr.,9436,ED,DAL,1,0,,0,0,9,,67.3,78.7,65.4,59.7,,,0,0,4,4,0.0,0,0
1,Leonard Williams,9439,DI,NYG,1,0,2.5,0,0,21,,56.5,76.6,64.6,51.6,69.2,0.0,0,0,14,14,7.1,1,2
1,Arik Armstead,9450,DI,SF,1,0,,0,0,28,,78.9,77.1,75.5,63.9,,,0,0,8,8,0.0,0,0
1,Marcus Peters,9451,CB,LV,1,0,,0,0,23,53.7,51.1,77.1,,42.5,44.5,100.0,1,1,21,22,0.0,0,0
1,Bud Dupree,9455,ED,ATL,1,2,2.0,0,0,2,60.0,51.2,77.0,46.9,64.0,44.5,0.0,0,0,16,16,6.3,1,1
1,Shaq Thompson,9458,LB,CAR,1,2,9.0,0,0,5,65.8,66.0,74.5,68.5,59.3,29.0,0.0,0,0,26,27,0.0,0,1
1,Mario Edwards Jr.,9468,DI,SEA,1,0,,0,0,29,,68.5,74.8,60.8,67.1,,,0,0,12,13,0.0,0,0
1,Preston Smith,9471,ED,GB,1,0,0.0,0,0,12,64.8,72.3,76.1,53.6,81.4,75.1,0.0,0,0,11,12,27.3,3,3
1,Eric Kendricks,9478,LB,LAC,1,0,0.0,0,0,27,50.1,54.9,76.2,64.8,64.2,78.6,0.0,0,0,19,20,5.3,1,1
1,Denzel Perryman,9481,LB,HST,1,5,2.7,0,0,13,37.6,69.7,75.6,51.3,91.8,53.7,0.0,0,0,26,28,19.2,5,7
1,Ronald Darby,9483,CB,BLT,1,0,0.0,0,0,3,55.0,57.9,78.0,,72.4,59.7,0.0,0,0,18,18,5.6,1,1
1,Jordan Phillips,9485,DI,BUF,1,0,5.0,0,0,4,60.0,69.7,74.0,68.6,64.0,70.4,0.0,0,0,13,13,7.7,1,2
1,Markus Golden,9491,ED,PIT,1,0,1.0,0,0,25,77.6,77.3,75.7,54.7,69.6,73.3,0.0,0,0,15,16,13.3,2,2
1,Randy Gregory,9493,ED,DEN,1,1,,0,0,10,60.0,56.9,77.0,50.2,63.2,72.4,0.0,0,0,21,22,0.0,0,0
1,Frank Clark,9496,ED,DEN,1,0,,0,0,10,63.4,48.3,0.0,55.1,60.0,71.6,,0,1,6,6,0.0,0,0
1,Jordan Hicks,9517,LB,MIN,1,1,4.0,0,0,18,62.5,70.6,77.5,62.9,71.8,75.6,0.0,0,0,28,28,3.6,1,1
1,Danielle Hunter,9521,ED,MIN,1,3,1.3,0,0,18,62.3,67.3,80.6,62.6,64.4,76.0,0.0,0,0,25,25,12.0,3,3
1,Steven Nelson,9531,CB,HST,1,0,3.0,0,0,13,84.9,83.5,78.2,,68.3,36.4,0.0,0,1,28,30,3.6,1,1
1,Angelo Blackson,9533,DI,JAX,1,0,,0,0,15,60.0,53.1,75.6,57.9,43.6,23.0,,0,0,5,6,0.0,0,0
1,Za'Darius Smith,9555,ED,CLV,1,1,1.0,0,0,8,61.7,90.5,78.2,84.4,76.4,72.4,0.0,0,0,8,8,12.5,1,1
1,Kwon Alexander,9557,LB,PIT,1,2,7.0,0,0,25,58.8,61.2,72.7,56.2,64.2,81.6,0.0,0,0,19,21,0.0,0,1
1,Grady Jarrett,9570,DI,ATL,1,0,1.5,0,0,2,,82.2,77.6,73.6,73.7,70.2,0.0,0,0,16,16,12.5,2,2
1,Adrian Amos,9575,S,NYJ,1,0,,0,0,22,54.8,54.5,68.9,,60.0,30.0,,0,0,3,3,0.0,0,0
1,Quandre Diggs,9633,S,SEA,1,1,7.5,0,0,29,47.2,39.4,0.0,,53.3,31.4,40.0,2,1,39,40,0.0,0,2
1,Rakeem Nunez-Roches,9650,DI,NYG,1,1,3.5,0,0,21,,48.6,75.9,55.7,50.2,69.2,0.0,0,0,16,16,6.3,1,2
1,Troy Hill,9881,CB,CAR,1,0,,0,0,5,75.6,76.4,70.7,,60.0,75.8,,0,0,3,3,0.0,0,0
1,DeShawn Williams,9891,DI,CAR,1,0,-0.3,0,0,5,,30.8,77.4,53.4,33.6,31.8,25.0,1,0,21,22,14.3,3,3
