Week,player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
1,Jason Kelce,6343,C,PHI,1,0,24,76.4,1,0,61,100.0,100.0,99.2,0,1,0,65,65,,0,0,0,,,,0,0,0,0
1,Danny Watkins,6175,G,PHI,1,2,24,34.9,1,3,61,100.0,100.0,96.7,2,4,0,65,65,,0,0,0,,,,0,0,0,0
1,Todd Herremans,2343,T,PHI,1,0,24,43.9,4,3,61,100.0,100.0,94.3,0,7,0,65,65,,0,0,0,,,,0,0,0,0
1,King Dunlap,4544,T,PHI,1,0,24,66.7,1,2,61,100.0,100.0,97.5,1,3,0,65,65,,0,0,0,,,,0,0,0,0
1,Evan Mathis,2296,G,PHI,1,0,24,68.0,1,2,61,100.0,100.0,97.5,0,3,0,65,65,,0,0,0,,,,0,0,0,0
1,Brian De La Puente,4679,C,NO,1,0,20,45.3,0,3,53,100.0,100.0,97.2,0,3,0,60,60,,0,0,0,,,,0,0,0,0
1,Jermon Bushrod,3741,T,NO,1,0,20,56.1,0,5,53,100.0,100.0,93.4,0,6,1,60,60,,0,0,0,,,,0,0,0,0
1,Jahri Evans,3053,G,NO,1,0,20,69.1,1,0,53,100.0,100.0,99.1,1,1,0,60,60,,0,0,0,,,,0,0,0,0
1,Zach Strief,3155,T,NO,1,0,20,73.9,0,2,53,100.0,100.0,98.1,0,2,0,60,60,,0,0,0,,,,0,0,0,0
1,Ben Grubbs,3645,G,NO,1,0,20,82.6,0,1,53,100.0,100.0,99.1,0,1,0,60,60,,0,0,0,,,,0,0,0,0
1,Josh Sitton,4449,G,GB,1,0,12,77.6,1,1,52,100.0,100.0,98.1,0,2,0,59,59,,0,0,0,,,,0,0,0,0
1,T.J. Lang,5032,G,GB,1,0,12,56.5,0,2,52,100.0,100.0,96.2,1,3,1,59,59,,0,0,0,,,,0,0,0,0
1,Bryan Bulaga,5548,T,GB,1,0,12,54.2,1,3,52,100.0,100.0,96.2,1,4,0,59,59,,0,0,0,,,,0,0,0,0
1,Jeff Saturday,431,C,GB,1,0,12,73.8,0,1,52,100.0,100.0,99.0,0,1,0,59,59,,0,0,0,,,,0,0,0,0
1,Marshall Newhouse,5692,T,GB,1,0,12,83.5,0,1,52,100.0,100.0,99.0,0,1,0,59,59,,0,0,0,,,,0,0,0,0
1,Jared Veldheer,5594,T,OAK,1,0,23,72.2,0,3,49,100.0,100.0,96.9,0,3,0,54,54,,0,0,0,,,,0,0,0,0
1,Cooper Carlisle,658,G,OAK,1,0,23,70.0,1,2,49,100.0,100.0,96.9,0,3,0,54,54,,0,0,0,,,,0,0,0,0
1,Khalif Barnes,2269,T,OAK,1,0,23,46.3,0,4,49,100.0,100.0,93.9,0,5,1,54,54,,0,0,0,,,,0,0,0,0
1,Mike Brisiel,3250,G,OAK,1,0,23,56.0,1,3,49,100.0,100.0,95.9,0,4,0,54,54,,0,0,0,,,,0,0,0,0
1,Alex Parsons,5921,C,OAK,1,0,23,65.5,1,2,49,100.0,100.0,96.9,0,3,0,54,54,,0,0,0,,,,0,0,0,0
1,Mike McGlynn,4423,G,IND,1,0,14,76.6,0,1,50,100.0,100.0,99.0,0,1,0,53,53,,0,0,0,,,,0,0,0,0
1,Anthony Castonzo,6174,T,IND,1,0,14,65.7,1,2,50,100.0,100.0,97.0,0,3,0,53,53,,0,0,0,,,,0,0,0,0
1,Samson Satele,3676,C,IND,1,0,14,58.6,2,0,50,100.0,100.0,96.0,0,3,1,53,53,,0,0,0,,,,0,0,0,0
1,Seth Olsen,5056,G,IND,1,0,14,73.0,0,2,50,100.0,100.0,98.0,0,2,0,53,53,,0,0,0,,,,0,0,0,0
1,Steve Hutchinson,787,G,TEN,1,0,31,71.8,0,2,47,100.0,100.0,97.9,0,2,0,50,50,,0,0,0,,,,0,0,0,0
1,Fernando Velasco,4641,C,TEN,1,0,31,68.0,0,2,47,100.0,100.0,97.9,0,2,0,50,50,,0,0,0,,,,0,0,0,0
1,David Stewart,2330,T,TEN,1,0,31,70.2,0,3,47,100.0,100.0,96.8,0,3,0,50,50,,0,0,0,,,,0,0,0,0
1,Michael Roos,2258,T,TEN,1,0,31,64.9,0,2,47,100.0,100.0,95.7,0,3,1,50,50,,0,0,0,,,,0,0,0,0
