Week,player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
1,Deshaun Watson,11767,QB,CLV,1,-49.66,0,56,8,65.7,35,40,8.9,3.24,0,1,2.3,47.5,19,24,17.4,51,91.1,4,9,,34.2,58.5,79.4,57.7,,60.7,3,2,55,25.0,43.4,11.8,6,5,0,2,1,1,1.8,137,3.4,75.0,36,37,5.9,2.83,0,1,2.6,62.2,23,18,14.8,47,83.9,4,10,,30.0,65.5,79.0,65.1,,60.7,1,2,49,27.8,58.8,10.6,5,5,0,0,1,1,2.0,164,4.4,25.0,4,8,21.0,4.66,0,0,0.0,12.5,1,6,0.0,9,16.1,0,0,,71.9,42.7,72.6,43.9,,,2,0,11,16.7,39.6,11.1,1,0,0,2,0,0,0.0,5,0.6,0,100.0,5,5,-2.6,1.98,0,0,0.0,100.0,5,0,0.0,5,8.9,0,1,,68.0,65.2,69.9,64.6,,,0,0,5,,93.3,0.0,0,0,0,0,0,0,0.0,32,6.4,-3.8
1,Lamar Jackson,46416,QB,BLT,1,21.94,0,51,3,72.4,29,34,10.7,3.51,1,1,2.6,61.8,21,15,0.0,44,86.3,0,15,,36.8,65.1,0.0,57.6,,75.1,2,0,49,6.7,93.8,2.3,1,9,0,2,1,2,4.1,248,7.3,72.0,25,31,9.6,3.5,2,1,2.9,58.1,18,12,0.0,39,76.5,0,11,,80.9,66.2,0.0,61.0,,71.8,2,0,44,0.0,89.3,0.0,0,8,0,2,1,1,2.3,209,6.7,80.0,10,10,4.5,2.48,0,0,0.0,80.0,8,3,0.0,12,23.5,0,5,,20.3,60.9,73.2,55.0,,65.6,0,0,13,33.3,93.3,8.3,1,1,0,0,0,1,7.7,64,6.4,0,83.3,6,7,-4.2,1.69,1,0,0.0,71.4,5,0,0.0,7,13.7,0,1,,70.3,64.4,71.5,63.9,,,0,0,8,,76.5,0.0,0,0,0,0,0,0,0.0,25,3.6,-0.34
1,Matthew Stafford,4924,QB,LA,1,2.38,0,51,26,75.6,45,46,6.9,2.65,0,0,0.0,69.6,32,18,5.9,48,94.1,2,14,,80.4,51.1,79.6,51.0,,,0,1,50,11.1,86.0,4.2,2,0,0,1,1,3,6.0,306,6.7,73.2,41,42,6.6,2.54,0,0,0.0,69.0,29,17,3.3,44,86.3,1,12,,79.8,45.5,79.3,45.6,,,0,1,45,11.8,76.5,4.5,2,0,0,1,0,3,6.7,270,6.4,100.0,7,7,4.4,2.87,0,0,0.0,71.4,5,1,28.6,7,13.7,2,3,,70.3,78.0,71.5,76.5,,,0,0,8,0.0,129.2,0.0,0,0,0,0,1,0,0.0,47,6.7,0,100.0,3,3,-3.3,1.47,0,0,0.0,66.7,2,0,33.3,3,5.9,1,1,,65.5,63.3,68.2,63.0,,,0,0,3,,72.9,0.0,0,0,0,0,0,0,0.0,11,3.7,0.28
1,Bo Nix,97790,QB,DEN,1,-5.0,0,51,10,64.7,34,36,7.7,3.31,0,1,2.8,55.6,20,21,9.1,43,84.3,2,9,,79.5,42.9,0.0,39.8,,71.6,1,2,43,9.5,39.6,4.7,2,5,0,1,0,3,7.0,124,3.4,70.0,30,30,7.0,2.91,0,1,3.3,63.3,19,18,9.5,38,74.5,2,8,,78.7,54.5,0.0,50.7,,75.0,0,1,38,11.1,56.2,5.3,2,4,0,0,0,2,5.3,110,3.7,70.0,10,12,2.8,3.3,0,0,0.0,58.3,7,4,0.0,13,25.5,0,1,,72.8,29.8,73.2,31.4,,58.3,1,1,13,0.0,28.5,0.0,0,1,0,1,0,1,7.7,28,2.3,0,100.0,6,6,-3.8,1.4,0,0,0.0,100.0,6,1,0.0,8,15.7,0,0,,70.3,61.5,71.5,61.3,,,0,0,8,0.0,79.2,0.0,0,0,0,0,0,0,0.0,14,2.3,-1.34
1,Daniel Jones,39395,QB,NYG,1,-2.94,0,50,21,73.3,30,36,7.0,3.03,1,1,2.6,50.0,18,19,18.2,43,86.0,4,8,,80.5,56.1,0.0,56.5,,62.0,1,1,45,26.3,50.8,11.6,5,2,0,4,0,1,2.2,161,4.5,75.9,29,34,5.2,2.67,1,1,2.9,52.9,18,14,18.2,40,80.0,4,7,,80.0,60.5,0.0,60.4,,64.4,1,2,41,28.6,40.4,10.0,4,1,0,3,0,1,2.4,153,4.5,71.4,7,8,4.1,3.16,0,0,0.0,50.0,4,6,20.0,10,20.0,1,2,,71.9,50.2,72.6,52.1,,58.3,0,0,11,16.7,60.9,10.0,1,1,0,1,0,0,0.0,33,4.1,0,83.3,6,6,-5.0,1.17,0,0,0.0,66.7,4,1,20.0,7,14.0,1,1,,69.6,64.0,71.1,63.5,,,0,1,7,0.0,35.4,0.0,0,0,0,0,0,0,0.0,25,4.2,-0.37
1,Tua Tagovailoa,60326,QB,MIA,1,7.58,0,44,17,69.2,26,28,10.0,2.91,1,4,12.9,53.6,15,6,16.7,32,72.7,3,11,,78.4,79.7,78.7,73.6,,78.4,0,0,36,50.0,97.8,9.4,3,1,0,1,1,0,0.0,263,9.4,71.4,21,22,3.6,2.05,0,1,4.3,59.1,13,4,13.3,28,63.6,2,6,,77.4,64.4,78.3,56.9,,78.4,0,0,30,50.0,75.8,7.1,2,1,0,1,0,0,0.0,129,5.9,85.7,14,15,10.6,2.98,1,3,17.6,66.7,10,2,16.7,16,36.4,2,6,,74.5,88.1,74.3,85.7,,,0,0,18,50.0,131.9,6.3,1,0,0,0,1,0,0.0,209,13.9,0,100.0,9,9,-3.9,0.98,0,0,0.0,88.9,8,0,11.1,12,27.3,1,1,,72.4,61.7,72.9,61.4,,,0,0,12,,101.4,0.0,0,0,0,0,0,0,0.0,75,8.3,8.07
1,Gardner Minshew,41401,QB,LV,1,-0.86,0,40,23,80.8,26,27,6.1,2.83,0,0,0.0,77.8,21,14,0.0,34,85.0,0,12,,25.2,60.3,78.3,64.8,,44.4,0,1,35,28.6,99.5,11.8,4,3,0,1,1,1,2.9,233,8.6,81.5,27,29,5.0,2.66,1,0,0.0,75.9,22,13,0.0,36,90.0,0,11,,25.7,59.5,78.4,63.9,,44.4,0,1,37,30.8,95.0,11.1,4,3,0,1,1,1,2.7,227,7.8,75.0,4,4,2.5,2.35,0,0,0.0,75.0,3,2,0.0,4,10.0,0,1,,66.9,66.3,69.2,65.7,,,0,0,4,0.0,95.8,0.0,0,0,0,0,0,0,0.0,30,7.5,0,80.0,5,6,-2.6,1.45,1,0,0.0,66.7,4,1,0.0,6,15.0,0,0,,68.9,62.7,70.6,62.4,,,0,0,6,0.0,74.3,0.0,0,0,0,0,0,0,0.0,24,4.0,-0.33
1,Jalen Hurts,40291,QB,PHI,1,-40.83,0,39,24,72.0,25,31,9.7,3.16,1,2,6.1,58.1,18,16,0.0,36,92.3,0,15,,32.2,29.5,79.5,32.3,,41.2,0,2,38,12.5,81.1,5.6,2,3,1,4,2,4,10.5,268,8.6,81.0,21,24,8.6,2.93,1,1,3.8,70.8,17,11,0.0,29,74.4,0,13,,29.2,40.3,79.1,47.0,,41.2,0,2,31,18.2,79.5,6.9,2,3,1,1,1,2,6.5,226,9.4,50.0,6,10,9.3,3.19,1,1,10.0,30.0,3,5,0.0,10,25.6,0,2,,71.4,26.1,72.3,27.2,,,0,0,10,0.0,82.1,0.0,0,0,0,3,1,2,20.0,52,5.2,0,100.0,2,3,-2.5,1.13,1,0,0.0,66.7,2,0,0.0,3,7.7,0,0,,65.5,60.0,68.2,59.9,,,0,0,3,,71.5,0.0,0,0,0,0,0,0,0.0,10,3.3,-4.22
1,Will Levis,83542,QB,TEN,1,0.74,0,38,31,65.2,23,26,10.6,2.92,0,0,0.0,53.8,14,15,6.7,32,84.2,1,5,,78.0,30.0,78.7,28.6,,62.2,1,2,33,20.0,47.1,9.4,3,3,0,2,1,1,3.0,121,4.7,70.8,24,27,8.0,2.71,0,0,0.0,59.3,16,13,5.9,33,86.8,1,7,,78.2,30.4,78.8,28.8,,62.2,1,2,34,23.1,51.2,9.1,3,3,0,2,1,1,2.9,118,4.4,75.0,4,5,8.8,2.92,0,0,0.0,60.0,3,2,0.0,5,13.2,0,0,,68.0,60.8,69.9,60.6,,,0,0,5,0.0,64.6,0.0,0,0,0,1,0,0,0.0,9,1.8,0,100.0,5,6,-3.4,1.77,0,0,0.0,83.3,5,0,0.0,6,15.8,0,2,,68.9,62.3,70.6,62.0,,,0,0,6,,79.2,0.0,0,0,0,1,0,0,0.0,6,1.0,-2.57
1,C.J. Stroud,129759,QB,HST,1,-36.36,0,38,13,81.5,27,28,10.4,2.98,0,1,3.3,75.0,21,12,4.5,34,89.5,1,12,,78.9,68.9,79.6,67.4,,62.2,0,0,36,33.3,121.4,11.8,4,2,0,1,2,3,8.3,222,7.9,90.9,22,22,6.3,2.84,0,1,4.2,86.4,19,8,5.0,28,73.7,1,10,,77.9,84.2,79.3,83.5,,62.2,0,0,30,50.0,127.1,14.3,4,2,0,0,2,1,3.3,159,7.2,55.6,9,10,13.6,3.11,0,0,0.0,50.0,5,4,0.0,10,26.3,0,3,,71.4,29.3,72.3,30.5,,,0,0,10,0.0,75.0,0.0,0,0,0,1,0,2,20.0,75,7.5,0,75.0,4,4,-5.3,2.38,0,0,0.0,75.0,3,0,0.0,4,10.5,0,1,,66.9,56.8,69.2,57.0,,,0,0,4,,77.1,0.0,0,0,0,0,0,0,0.0,12,3.0,0.27
