Week,player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
1,Reggie Wayne,800,WR,IND,1,10.4,4,62.5,,0,0,0,16.7,2,5,14,0,78.0,71.1,69.5,,66.2,0.0,0,0,18,0.0,0,54,0,10,94.4,51,83.3,45,97.4,16,1,16.7,9,86,30,3.0,8.6,1.69
1,Muhsin Muhammad,173,WR,CAR,1,10.1,0,40.0,,0,0,1,0.0,0,4,5,0,74.6,68.8,65.9,,66.4,0.0,0,0,15,0.0,0,43,1,6,95.3,41,44.2,19,51.0,15,0,55.8,24,56,20,3.3,9.3,1.37
1,Dwayne Bowe,3639,WR,KC,1,10.0,1,38.5,,0,0,0,44.4,4,3,16,0,25.8,68.0,59.0,,58.6,0.0,0,1,13,0.0,0,34,0,5,100.0,34,2.9,1,43.4,13,1,97.1,33,49,24,4.8,9.8,1.44
1,Andre Johnson,1319,WR,HST,1,8.5,1,76.9,,0,0,0,0.0,0,8,13,0,78.7,71.5,69.9,,69.3,0.0,0,1,24,0.0,0,42,0,10,90.5,38,52.4,22,70.0,13,0,47.6,20,112,23,2.3,11.2,2.95
1,Plaxico Burress,586,WR,NYG,1,13.9,0,76.9,,0,0,0,9.1,1,5,21,0,58.9,71.1,79.4,,78.8,0.0,0,0,30,0.0,0,39,0,10,94.9,37,7.7,3,108.8,13,0,92.3,36,133,4,0.4,13.3,3.59
1,Joey Galloway,117,WR,TB,1,13.9,1,54.5,,0,0,0,0.0,0,2,30,0,74.6,68.8,60.1,,59.8,0.0,0,0,13,0.0,0,44,0,6,93.2,41,50.0,22,68.8,11,0,50.0,22,56,6,1.0,9.3,1.37
1,Anquan Boldin,1369,WR,ARZ,1,5.8,2,72.7,,0,0,0,0.0,0,6,1,0,76.5,70.1,79.7,,79.7,0.0,0,0,18,0.0,0,32,0,8,96.9,31,71.9,23,93.8,11,0,28.1,9,82,34,4.3,10.3,2.65
1,Matt Jones,2238,WR,JAX,1,10.1,0,60.0,,0,0,0,0.0,0,4,15,0,75.6,69.5,70.7,,69.8,0.0,0,1,33,0.0,0,41,0,6,95.1,39,9.8,4,45.8,10,0,90.2,37,80,28,4.7,13.3,2.05
1,DeSean Jackson,4363,WR,PHI,1,15.1,1,60.0,,0,0,0,0.0,0,4,24,0,74.6,68.8,89.4,,85.2,0.0,0,0,47,0.0,0,23,0,6,100.0,23,17.4,4,96.3,10,0,82.6,19,106,30,5.0,17.7,4.61
1,Calvin Johnson,3618,WR,DET,1,11.1,4,70.0,,0,0,0,0.0,0,4,11,0,75.6,69.5,76.4,,74.6,0.0,0,0,38,0.0,0,41,1,7,87.8,36,19.5,8,105.0,10,0,80.5,33,107,44,6.3,15.3,2.97
1,Wes Welker,2204,WR,NE,1,4.1,0,60.0,,0,0,0,0.0,0,4,19,1,74.6,17.2,70.3,,65.7,0.0,0,0,13,0.0,0,25,0,6,100.0,25,96.0,24,73.3,10,0,4.0,1,51,42,7.0,8.5,2.04
1,Santana Moss,786,WR,WAS,1,14.4,0,50.0,,0,0,0,16.7,1,2,32,0,45.8,68.0,59.0,,58.5,0.0,0,0,12,0.0,0,30,0,5,90.0,27,23.3,7,92.5,10,1,76.7,23,37,16,3.2,7.4,1.37
1,L.J. Smith,1376,TE,PHI,1,8.9,1,50.0,,0,0,0,28.6,2,3,24,0,29.2,68.0,59.4,40.0,66.6,80.8,21,0,10,19.2,5,26,1,5,76.9,20,11.5,3,93.3,10,1,7.7,2,39,11,2.2,7.8,1.95
1,Eddie Royal,4356,WR,DEN,1,11.9,0,90.0,,0,0,0,0.0,0,7,10,0,78.7,73.1,88.2,,90.4,0.0,0,0,29,0.0,0,25,1,9,88.0,22,40.0,10,152.1,10,1,60.0,15,146,36,4.0,16.2,6.64
1,Jason Witten,1384,TE,DAL,1,11.2,0,66.7,,0,0,0,14.3,1,6,9,0,49.2,68.8,84.3,73.9,74.6,44.4,16,0,22,11.1,4,36,0,6,77.8,28,44.4,16,102.1,9,0,0.0,0,96,36,6.0,16.0,3.43
1,Marvin Harrison,162,WR,IND,1,9.9,0,88.9,,0,0,0,0.0,0,4,14,1,77.3,19.4,63.2,,62.6,0.0,0,0,19,0.0,0,54,0,8,94.4,51,3.7,2,101.9,9,0,96.3,52,76,13,1.6,9.5,1.49
1,D.J. Hackett,1876,WR,CAR,1,8.7,0,55.6,,0,0,0,0.0,0,1,5,1,74.6,20.6,59.8,,57.9,0.0,0,0,37,0.0,0,41,0,5,95.1,39,14.6,6,70.6,9,0,85.4,35,48,25,5.0,9.6,1.23
