Week,player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
1,Davante Adams,8688,WR,GB,1,17,0,12,0.8,1,75.0,0.0,0,1,0.0,0,2,0,70.5,72.2,0,18,0.0,0,11,3,100.0,11,127.1,4,36.4,1,22,20,6.7,7.3,2.0,0,12.7,0,84.6,100.0,2,2,0.0,0,6,0,78.7,83.3,0,40,0.0,0,31,11,96.8,30,135.3,13,43.3,1,134,20,1.8,12.2,4.47
1,DeAndre Hopkins,7808,WR,ARZ,1,16,0,1,10.3,0,66.7,100.0,1,1,0.0,0,2,0,68.3,77.2,0,33,0.0,0,7,2,85.7,6,109.7,3,50.0,0,39,26,13.0,19.5,6.5,0,5.3,3,92.3,,0,0,0.0,0,6,0,79.4,79.3,0,18,0.0,0,42,12,97.6,41,102.6,13,31.7,0,112,42,3.5,9.3,2.73
1,Amari Cooper,9437,WR,DAL,1,13,0,9,4.0,0,0.0,,0,0,,0,0,0,,56.6,0,0,0.0,0,3,0,100.0,3,39.6,1,33.3,0,0,0,,,0.0,0,9.0,0,83.3,50.0,1,2,0.0,0,4,0,78.0,72.9,0,14,0.0,0,41,10,95.1,39,94.8,12,30.8,0,81,14,1.4,8.1,2.08
1,Russell Gage,44771,WR,ATL,1,12,0,2,7.8,2,75.0,,0,0,0.0,0,3,0,70.5,86.7,0,24,0.0,0,13,3,84.6,11,111.5,4,36.4,0,45,28,9.3,15.0,4.09,0,7.5,2,75.0,50.0,1,2,14.3,1,4,0,49.7,64.3,0,16,0.0,0,33,6,97.0,32,100.5,8,25.0,0,69,20,3.3,11.5,2.16
1,Julio Jones,6158,WR,ATL,1,12,0,2,5.0,0,100.0,,0,0,0.0,0,0,0,64.7,55.5,0,5,0.0,0,13,1,84.6,11,87.5,1,9.1,0,5,0,0.0,5.0,0.45,0,16.8,1,72.7,75.0,3,4,0.0,0,6,0,76.5,90.0,0,44,0.0,0,33,8,97.0,32,114.8,11,34.4,0,152,26,3.3,19.0,4.75
1,Jamison Crowder,9538,WR,NYJ,1,12,0,22,6.6,3,42.9,0.0,0,1,25.0,1,2,0,36.2,69.8,0,69,0.0,0,14,3,92.9,13,127.4,7,53.8,1,84,76,25.3,28.0,6.46,0,6.8,1,80.0,0.0,0,1,0.0,0,2,0,72.1,60.4,1,21,0.0,0,24,4,95.8,23,52.9,5,21.7,0,31,15,3.8,7.8,1.35
1,Calvin Ridley,48262,WR,ATL,1,12,0,2,17.7,1,100.0,,0,0,0.0,0,3,0,70.5,90.3,0,22,0.0,0,14,3,92.9,13,158.3,3,23.1,1,59,11,3.7,19.7,4.54,0,12.2,0,66.7,100.0,1,1,0.0,0,4,0,72.1,70.1,0,15,0.0,0,34,4,100.0,34,91.7,6,17.6,0,49,2,0.5,12.3,1.44
1,Will Fuller V,10655,WR,HST,1,11,0,13,15.8,0,75.0,100.0,1,1,25.0,1,3,0,36.2,82.4,0,31,0.0,0,9,3,100.0,9,116.7,4,44.4,0,52,8,2.7,17.3,5.78,0,13.9,0,71.4,100.0,1,1,0.0,0,2,0,73.4,64.4,0,20,0.0,0,20,5,100.0,20,97.3,7,35.0,0,60,19,3.8,12.0,3.0
1,Odell Beckham Jr.,8647,WR,CLV,1,10,0,8,20.5,0,0.0,,0,0,100.0,1,0,0,27.9,44.5,0,0,0.0,0,16,0,68.8,11,39.6,2,18.2,0,0,0,,,0.0,0,9.5,1,37.5,0.0,0,2,0.0,0,1,0,70.5,56.4,0,16,0.0,0,22,3,100.0,22,45.8,8,36.4,0,22,8,2.7,7.3,1.0
1,Diontae Johnson,33441,WR,PIT,1,10,0,25,10.8,1,50.0,,0,0,33.3,1,2,0,29.9,68.6,0,18,0.0,0,14,2,100.0,14,74.0,4,28.6,0,29,8,4.0,14.5,2.07,0,2.8,0,66.7,0.0,0,1,0.0,0,2,0,72.1,64.8,0,11,0.0,0,17,4,100.0,17,77.1,6,35.3,0,28,26,6.5,7.0,1.65
