Team,Year,Week,Opp,Location
MIA,2006,1,PIT,Away
PIT,2006,1,MIA,Home
ATL,2006,1,CAR,Away
BUF,2006,1,NE,Away
CAR,2006,1,ATL,Home
CHI,2006,1,GB,Away
CIN,2006,1,KC,Away
CLV,2006,1,NO,Home
IND,2006,1,NYG,Away
ARZ,2006,1,SF,Home
DAL,2006,1,JAX,Away
DEN,2006,1,SL,Away
DET,2006,1,SEA,Home
GB,2006,1,CHI,Home
HST,2006,1,PHI,Home
JAX,2006,1,DAL,Home
KC,2006,1,CIN,Home
NO,2006,1,CLV,Away
NE,2006,1,BUF,Home
NYG,2006,1,IND,Home
NYJ,2006,1,TEN,Away
TEN,2006,1,NYJ,Home
PHI,2006,1,HST,Away
SL,2006,1,DEN,Home
BLT,2006,1,TB,Away
SEA,2006,1,DET,Away
SF,2006,1,ARZ,Away
TB,2006,1,BLT,Home
MIN,2006,1,WAS,Away
OAK,2006,1,SD,Home
SD,2006,1,OAK,Away
WAS,2006,1,MIN,Home
ATL,2006,2,TB,Home
BUF,2006,2,MIA,Away
CAR,2006,2,MIN,Away
CHI,2006,2,DET,Home
CIN,2006,2,CLV,Home
CLV,2006,2,CIN,Away
IND,2006,2,HST,Home
ARZ,2006,2,SEA,Away
DAL,2006,2,WAS,Home
DEN,2006,2,KC,Home
DET,2006,2,CHI,Away
GB,2006,2,NO,Home
HST,2006,2,IND,Away
KC,2006,2,DEN,Away
MIA,2006,2,BUF,Home
MIN,2006,2,CAR,Home
NO,2006,2,GB,Away
NE,2006,2,NYJ,Away
NYG,2006,2,PHI,Away
NYJ,2006,2,NE,Home
TEN,2006,2,SD,Away
PHI,2006,2,NYG,Home
OAK,2006,2,BLT,Away
SL,2006,2,SF,Away
BLT,2006,2,OAK,Home
SD,2006,2,TEN,Home
SEA,2006,2,ARZ,Home
SF,2006,2,SL,Home
TB,2006,2,ATL,Away
WAS,2006,2,DAL,Away
JAX,2006,2,PIT,Home
PIT,2006,2,JAX,Away
BUF,2006,3,NYJ,Home
CAR,2006,3,TB,Away
CHI,2006,3,MIN,Away
CIN,2006,3,PIT,Away
CLV,2006,3,BLT,Home
IND,2006,3,JAX,Home
ARZ,2006,3,SL,Home
DEN,2006,3,NE,Away
DET,2006,3,GB,Home
GB,2006,3,DET,Away
HST,2006,3,WAS,Home
JAX,2006,3,IND,Away
MIA,2006,3,TEN,Home
MIN,2006,3,CHI,Home
NE,2006,3,DEN,Home
NYG,2006,3,SEA,Away
NYJ,2006,3,BUF,Away
TEN,2006,3,MIA,Away
PHI,2006,3,SF,Away
PIT,2006,3,CIN,Home
SL,2006,3,ARZ,Away
BLT,2006,3,CLV,Away
SEA,2006,3,NYG,Home
SF,2006,3,PHI,Home
TB,2006,3,CAR,Home
WAS,2006,3,HST,Away
ATL,2006,3,NO,Away
NO,2006,3,ATL,Home
ATL,2006,4,ARZ,Home
BUF,2006,4,MIN,Home
CAR,2006,4,NO,Home
CHI,2006,4,SEA,Home
CIN,2006,4,NE,Home
CLV,2006,4,OAK,Away
IND,2006,4,NYJ,Away
ARZ,2006,4,ATL,Away
DAL,2006,4,TEN,Away
DET,2006,4,SL,Away
HST,2006,4,MIA,Home
JAX,2006,4,WAS,Away
KC,2006,4,SF,Home
MIA,2006,4,HST,Away
MIN,2006,4,BUF,Away
NO,2006,4,CAR,Away
NE,2006,4,CIN,Away
NYJ,2006,4,IND,Home
TEN,2006,4,DAL,Home
OAK,2006,4,CLV,Home
SL,2006,4,DET,Home
BLT,2006,4,SD,Home
SD,2006,4,BLT,Away
SEA,2006,4,CHI,Away
SF,2006,4,KC,Away
WAS,2006,4,JAX,Home
GB,2006,4,PHI,Away
PHI,2006,4,GB,Home
BUF,2006,5,CHI,Away
CAR,2006,5,CLV,Home
CHI,2006,5,BUF,Home
CLV,2006,5,CAR,Away
IND,2006,5,TEN,Home
ARZ,2006,5,KC,Home
DAL,2006,5,PHI,Away
DET,2006,5,MIN,Away
GB,2006,5,SL,Home
JAX,2006,5,NYJ,Home
KC,2006,5,ARZ,Away
MIA,2006,5,NE,Away
MIN,2006,5,DET,Home
NO,2006,5,TB,Home
NE,2006,5,MIA,Home
NYG,2006,5,WAS,Home
NYJ,2006,5,JAX,Away
TEN,2006,5,IND,Away
PHI,2006,5,DAL,Home
PIT,2006,5,SD,Away
OAK,2006,5,SF,Away
SL,2006,5,GB,Away
SD,2006,5,PIT,Home
SF,2006,5,OAK,Home
TB,2006,5,NO,Away
WAS,2006,5,NYG,Away
DEN,2006,5,BLT,Home
BLT,2006,5,DEN,Away
ATL,2006,6,NYG,Home
BUF,2006,6,DET,Away
CAR,2006,6,BLT,Away
CIN,2006,6,TB,Away
DAL,2006,6,HST,Home
DEN,2006,6,OAK,Home
DET,2006,6,BUF,Home
HST,2006,6,DAL,Away
KC,2006,6,PIT,Away
MIA,2006,6,NYJ,Away
NO,2006,6,PHI,Home
NYG,2006,6,ATL,Away
NYJ,2006,6,MIA,Home
TEN,2006,6,WAS,Away
PHI,2006,6,NO,Away
PIT,2006,6,KC,Home
OAK,2006,6,DEN,Away
SL,2006,6,SEA,Home
BLT,2006,6,CAR,Home
SD,2006,6,SF,Away
SEA,2006,6,SL,Away
SF,2006,6,SD,Home
TB,2006,6,CIN,Home
WAS,2006,6,TEN,Home
CHI,2006,6,ARZ,Away
ARZ,2006,6,CHI,Home
ATL,2006,7,PIT,Home
BUF,2006,7,NE,Home
CAR,2006,7,CIN,Away
CIN,2006,7,CAR,Home
CLV,2006,7,DEN,Home
IND,2006,7,WAS,Home
ARZ,2006,7,OAK,Away
DEN,2006,7,CLV,Away
DET,2006,7,NYJ,Away
GB,2006,7,MIA,Away
HST,2006,7,JAX,Home
JAX,2006,7,HST,Away
KC,2006,7,SD,Home
MIA,2006,7,GB,Home
MIN,2006,7,SEA,Away
NE,2006,7,BUF,Away
NYJ,2006,7,DET,Home
PHI,2006,7,TB,Away
PIT,2006,7,ATL,Away
OAK,2006,7,ARZ,Home
SD,2006,7,KC,Away
SEA,2006,7,MIN,Home
TB,2006,7,PHI,Home
WAS,2006,7,IND,Away
DAL,2006,7,NYG,Home
NYG,2006,7,DAL,Away
ATL,2006,8,CIN,Away
CAR,2006,8,DAL,Home
CHI,2006,8,SF,Home
CIN,2006,8,ATL,Home
CLV,2006,8,NYJ,Home
IND,2006,8,DEN,Away
ARZ,2006,8,GB,Away
DAL,2006,8,CAR,Away
DEN,2006,8,IND,Home
GB,2006,8,ARZ,Home
HST,2006,8,TEN,Away
JAX,2006,8,PHI,Away
KC,2006,8,SEA,Home
NO,2006,8,BLT,Home
NYG,2006,8,TB,Home
NYJ,2006,8,CLV,Away
TEN,2006,8,HST,Home
PHI,2006,8,JAX,Home
PIT,2006,8,OAK,Away
OAK,2006,8,PIT,Home
SL,2006,8,SD,Away
BLT,2006,8,NO,Away
SD,2006,8,SL,Home
SEA,2006,8,KC,Away
SF,2006,8,CHI,Away
TB,2006,8,NYG,Away
MIN,2006,8,NE,Home
NE,2006,8,MIN,Away
ATL,2006,9,DET,Away
BUF,2006,9,GB,Home
CHI,2006,9,MIA,Home
CIN,2006,9,BLT,Away
CLV,2006,9,SD,Away
IND,2006,9,NE,Away
DAL,2006,9,WAS,Away
DEN,2006,9,PIT,Away
DET,2006,9,ATL,Home
GB,2006,9,BUF,Away
HST,2006,9,NYG,Away
JAX,2006,9,TEN,Home
KC,2006,9,SL,Away
MIA,2006,9,CHI,Away
MIN,2006,9,SF,Away
NO,2006,9,TB,Away
NE,2006,9,IND,Home
NYG,2006,9,HST,Home
TEN,2006,9,JAX,Away
PIT,2006,9,DEN,Home
SL,2006,9,KC,Home
BLT,2006,9,CIN,Home
SD,2006,9,CLV,Home
SF,2006,9,MIN,Home
TB,2006,9,NO,Home
WAS,2006,9,DAL,Home
OAK,2006,9,SEA,Away
SEA,2006,9,OAK,Home
ATL,2006,10,CLV,Home
BUF,2006,10,IND,Away
CHI,2006,10,NYG,Away
CIN,2006,10,SD,Home
CLV,2006,10,ATL,Away
