week,player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
1,Jalen Ramsey,10639,CB,FLORIDA ST,1,0,,0,0,167,71.6,72.7,75.9,,68.1,79.6,,0,0,20,20,0.0,0,0
1,DeForest Buckner,10641,DI,OREGON,1,0,2.5,1,0,264,,73.7,0.0,81.7,64.8,73.8,0.0,0,1,11,11,9.1,1,2
1,Leonard Floyd,10643,ED,GEORGIA,1,0,1.8,0,0,173,72.5,85.6,78.8,79.7,81.6,82.1,0.0,0,0,21,22,14.3,3,4
1,Eli Apple,10644,CB,OHIO STATE,1,0,6.7,0,0,260,62.3,68.4,75.1,,79.7,46.6,0.0,0,0,34,34,2.9,1,3
1,Vernon Hargreaves III,10645,CB,FLORIDA,1,0,30.0,0,0,163,75.8,76.4,76.1,,65.2,77.9,0.0,0,0,13,13,0.0,0,1
1,Sheldon Rankins,10646,DI,LOUISVILLE,1,0,2.3,0,0,210,60.0,73.0,77.3,56.8,77.7,77.7,0.0,0,0,35,38,11.4,4,6
1,Karl Joseph,10648,S,W VIRGINIA,1,1,9.4,0,0,343,92.7,91.9,77.3,60.0,80.5,83.8,0.0,0,0,45,46,4.4,2,5
1,Shaq Lawson,10653,ED,CLEMSON,1,0,0.3,0,0,140,60.0,79.2,76.6,63.9,79.2,76.7,0.0,0,0,19,20,21.1,4,4
1,Darron Lee,10654,LB,OHIO STATE,1,0,2.2,0,0,260,64.6,74.8,79.8,71.7,80.1,81.6,0.0,0,0,31,31,3.2,1,5
1,William Jackson III,10658,CB,HOUSTON,1,0,,0,0,182,78.1,77.6,75.8,,63.5,74.2,,0,0,21,21,0.0,0,0
