week,player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
0,Patrick Mekari,46219,T,CAL,1,100.0,1,130,74.5,83.0,67.1,0,0,57,100.0,100.0,100.0,1,0,0,92,0,0,92,92,60,60,0,0,32,0
0,Chris Borrayo,46019,G,CAL,1,100.0,0,130,84.5,61.5,91.2,1,1,57,100.0,100.0,98.2,0,2,0,92,0,92,0,92,60,60,0,0,32,0
0,Steven Moore,12296,T,CAL,1,100.0,0,130,73.8,72.4,72.0,0,0,53,100.0,100.0,98.1,0,1,1,84,0,0,0,84,56,56,0,84,28,0
0,Leo Koloamatangi,12187,G,HAWAII,1,100.0,0,180,68.8,80.4,63.8,0,1,36,100.0,100.0,98.6,0,1,0,75,75,0,0,75,39,39,0,0,36,0
0,RJ Hollis,47012,T,HAWAII,1,100.0,0,180,66.0,58.0,67.0,0,2,36,100.0,100.0,97.2,0,2,0,75,0,0,0,75,39,39,0,75,36,0
0,Asotui Eli,46825,C,HAWAII,1,100.0,0,180,71.5,23.7,81.2,1,6,36,100.0,100.0,90.3,0,7,0,75,0,0,0,75,39,39,75,0,36,0
0,John Wa'a,46030,G,HAWAII,1,100.0,0,180,70.3,77.5,68.6,0,0,36,100.0,100.0,100.0,0,0,0,75,0,75,0,75,39,39,0,0,36,0
0,Dejon Allen,46225,T,HAWAII,1,100.0,0,180,87.2,79.9,84.0,0,0,36,100.0,100.0,100.0,1,0,0,75,0,0,75,75,39,39,0,0,36,0
0,Addison Ooms,28209,C,CAL,1,100.0,0,130,63.3,68.4,60.4,0,2,43,100.0,100.0,97.7,0,2,0,71,71,0,0,71,46,46,0,0,25,0
0,Dwayne Wallace,38428,G,CAL,1,100.0,0,130,65.1,85.8,65.6,0,0,37,100.0,100.0,100.0,1,0,0,58,0,0,0,58,38,38,58,0,20,0
0,Marcus Kemp,12137,WR,HAWAII,1,48.0,0,180,65.4,,63.4,0,0,0,0.0,0.0,,0,0,0,36,0,0,0,75,0,39,0,0,36,0
0,Semisi Uluave,46831,G,CAL,1,100.0,0,130,64.6,64.1,64.4,0,0,20,100.0,100.0,100.0,0,0,0,34,0,0,0,34,22,22,34,0,12,0
0,Ammon Barker,48282,WR,HAWAII,1,45.8,0,180,56.2,,73.3,0,0,0,0.0,0.0,,0,0,0,33,0,0,0,72,0,39,0,0,33,0
0,Ikaika Woolsey,46495,QB,HAWAII,1,42.7,0,180,55.2,,60.0,0,0,0,0.0,0.0,,1,0,0,32,0,0,0,75,0,39,0,0,32,0
0,Davis Webb,11842,QB,CAL,1,33.7,0,130,69.2,,60.0,0,0,0,0.0,0.0,,0,0,0,31,0,0,0,92,0,60,0,0,31,0
0,John Ursua,26586,WR,HAWAII,1,49.1,0,180,61.8,,61.0,0,0,0,0.0,0.0,,0,0,0,28,0,0,0,57,0,29,0,0,28,0
