week,player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
0,Davis Webb,11842,QB,CAL,1,4.1,0,57,130,70.7,41,42,10.7,2.51,0,0,0.0,64.3,27,12,6.9,45,78.9,2,15,69.9,67.9,77.5,64.5,70.0,1,0,48,16.7,110.8,4.4,2,1,0,0,3,2,4.2,316,7.5,76.3,38,39,8.7,2.28,0,0,0.0,69.2,27,8,6.9,42,73.7,2,14,69.7,71.3,77.3,67.7,70.0,1,0,44,25.0,131.1,4.8,2,1,0,0,4,2,4.5,348,8.9,80.0,15,15,6.2,2.2,0,0,0.0,73.3,11,4,8.3,15,26.3,1,5,66.5,60.4,71.6,60.2,,0,0,16,0.0,89.0,0.0,0,0,0,0,0,0,0.0,93,6.2,0,100.0,12,12,-1.3,1.33,0,0,0.0,91.7,11,0,8.3,12,21.1,1,4,65.8,68.5,70.7,68.2,,0,0,12,,137.8,0.0,0,0,0,0,1,0,0.0,125,10.4,-2.72
0,Ikaika Woolsey,46495,QB,HAWAII,1,11.72,0,36,180,54.8,31,31,14.1,2.7,0,1,3.0,48.4,15,10,11.8,33,91.7,2,12,34.0,54.3,25.4,60.2,49.0,0,1,36,0.0,70.6,0.0,0,2,0,0,1,2,5.6,230,7.4,55.2,29,29,12.8,2.62,0,0,0.0,48.3,14,9,12.5,30,83.3,2,10,31.9,49.9,24.2,56.6,46.2,0,1,33,0.0,67.6,0.0,0,1,0,0,1,2,6.1,196,6.8,80.0,5,5,11.8,2.68,0,1,20.0,60.0,3,1,25.0,6,16.7,1,2,64.2,78.5,68.6,75.9,61.7,0,0,6,0.0,83.8,0.0,0,1,0,0,0,0,0.0,38,7.6,0,100.0,3,3,-2.3,1.87,0,0,0.0,66.7,2,0,33.3,3,8.3,1,0,62.7,64.1,66.6,63.9,,0,0,3,,70.1,0.0,0,0,0,0,0,0,0.0,4,1.3,0.84
week,player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_grades_run_defense,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_grades_run_defense,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_grades_run_defense,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_grades_run_defense,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
1,Tyler Jones,46534,QB,TEXAS ST,1,-1.74,0,62,314,84.1,44,49,8.1,2.48,1,2,3.9,69.4,34,23,8.1,55,88.7,3,23,,,66.7,74.0,84.4,78.3,83.6,88.9,63.0,,1,2,57,26.1,102.7,10.9,6,0,2,1,4,2,3.5,383,7.8,82.9,41,46,6.0,2.34,0,2,4.1,71.7,33,17,2.9,50,80.6,1,19,,,66.7,74.0,79.7,78.2,78.1,88.9,63.0,,1,2,53,23.5,94.2,8.0,4,0,2,2,3,2,3.8,317,6.9,100.0,9,10,9.8,2.66,1,0,0.0,70.0,7,6,22.2,12,19.4,2,5,,,,65.8,83.9,70.7,83.2,,,,0,0,12,33.3,136.3,16.7,2,0,0,0,1,0,0.0,102,10.2,0,100.0,6,7,-3.8,1.8,0,0,0.0,85.7,6,0,0.0,7,11.3,0,1,,,,64.9,63.5,69.5,63.3,,,,0,0,8,,88.1,0.0,0,0,0,1,0,0,0.0,36,5.1,3.31
1,Deondre Francois,46585,QB,FLORIDA ST,1,20.68,0,58,167,70.5,44,48,10.1,2.8,0,1,1.9,62.5,30,28,3.2,53,91.4,1,17,,,,71.1,72.4,78.3,71.2,,62.9,,2,0,58,10.7,103.1,5.7,3,2,0,2,2,1,1.7,404,8.4,67.6,34,38,6.1,2.45,0,0,0.0,57.9,22,22,4.3,42,72.4,1,10,,,,70.7,62.5,77.8,59.3,,66.3,,2,0,47,13.6,89.0,7.1,3,1,0,2,1,1,2.1,273,7.2,78.6,14,14,16.1,3.38,0,1,7.1,78.6,11,6,0.0,16,27.6,0,9,,,,66.7,87.4,71.8,87.6,,61.8,,0,0,17,0.0,133.9,0.0,0,2,0,0,1,0,0.0,146,10.4,0,75.0,4,4,-3.0,1.78,0,0,0.0,75.0,3,0,0.0,5,8.6,0,2,,,,64.2,66.4,68.6,58.8,,64.1,,0,0,6,,80.2,0.0,0,1,0,0,0,0,0.0,15,3.8,3.25
1,Luke Falk,46586,QB,WASH STATE,1,5.07,0,57,341,79.5,44,45,7.2,2.47,0,3,6.3,75.6,34,5,2.9,50,87.7,1,23,,,,70.2,75.3,77.4,78.1,,50.2,,0,1,53,60.0,120.3,6.0,3,2,1,0,4,1,1.9,377,8.4,82.2,45,46,6.0,2.36,0,3,6.1,78.3,36,4,2.7,51,89.5,1,22,,,,70.3,72.1,77.4,74.9,,50.2,,0,1,54,75.0,119.7,5.9,3,2,1,0,4,1,1.9,365,7.9,83.3,6,6,3.5,2.23,0,0,0.0,83.3,5,1,0.0,6,10.5,0,3,,,,64.2,81.2,68.6,80.7,,,,0,0,6,0.0,103.5,0.0,0,0,0,0,0,0,0.0,53,8.8,0,100.0,7,7,-3.4,1.47,0,0,0.0,100.0,7,0,0.0,7,12.3,0,2,,,,64.6,66.9,69.1,66.6,,,,0,0,7,,91.1,0.0,0,0,0,0,0,0,0.0,41,5.9,0.9
1,Drew Lock,39517,QB,MISSOURI,1,1.39,0,56,229,45.0,40,43,17.1,2.68,0,3,6.5,37.2,16,7,11.1,48,85.7,2,12,,,,71.2,67.4,77.8,68.5,,56.8,,0,0,51,14.3,57.2,2.1,1,4,0,3,0,1,2.0,249,5.8,48.0,25,27,15.2,2.56,0,3,10.3,44.4,12,5,0.0,30,53.6,0,8,,,,70.3,75.9,76.8,76.2,,61.2,,0,0,32,20.0,67.2,3.3,1,2,0,2,0,0,0.0,182,6.7,56.5,23,24,12.7,2.47,0,0,0.0,45.8,11,2,15.4,26,46.4,2,5,,,,67.9,53.4,73.4,56.0,,52.9,,0,0,27,0.0,71.2,0.0,0,2,0,1,1,1,3.7,98,4.1,0,87.5,8,8,-1.4,1.5,0,0,0.0,87.5,7,0,0.0,8,14.3,0,1,,,,64.9,61.9,69.5,61.6,,,,0,0,8,,122.4,0.0,0,0,0,0,1,0,0.0,31,3.9,-2.66
1,Kenny Hill,46637,QB,TCU,1,0.76,0,55,305,74.4,43,45,11.7,2.8,0,1,2.0,64.4,29,6,9.4,50,90.9,3,23,,,,70.7,71.3,77.8,71.0,,60.7,,0,2,55,0.0,89.6,0.0,0,5,1,1,2,3,5.5,405,9.0,76.2,42,44,9.4,2.68,0,1,2.1,65.9,29,7,9.4,49,89.1,3,22,,,,70.6,71.2,77.8,71.1,,60.7,,0,2,53,0.0,89.0,0.0,0,5,1,1,2,3,5.7,378,8.6,66.7,6,6,16.2,2.57,0,0,0.0,66.7,4,0,0.0,6,10.9,0,3,,,,64.6,62.2,69.1,62.0,,,,0,0,7,,100.0,0.0,0,0,0,0,0,0,0.0,61,10.2,0,80.0,5,5,-3.0,1.34,0,0,0.0,80.0,4,1,0.0,5,9.1,0,2,,,,63.8,58.9,68.1,58.7,,,,0,0,5,0.0,95.0,0.0,0,0,0,0,0,0,0.0,34,6.8,1.58
1,Josh Rosen,35460,QB,UCLA,1,10.86,0,55,324,73.7,38,44,8.7,2.8,0,1,2.2,52.3,23,25,17.9,52,94.5,5,16,,,,39.4,60.1,77.7,59.5,,58.7,,2,3,54,20.0,55.1,9.6,5,3,1,3,1,3,5.6,320,7.3,71.0,31,36,9.2,2.82,0,0,0.0,52.8,19,25,13.6,44,80.0,3,13,,,,34.6,60.0,77.3,59.4,,58.7,,2,3,45,20.0,53.4,11.4,5,3,1,2,1,3,6.7,283,7.9,90.0,10,11,3.6,2.39,0,1,8.3,63.6,7,1,22.2,11,20.0,2,4,,,,65.8,62.1,70.7,61.8,,,,0,0,12,0.0,77.8,0.0,0,0,0,1,0,0,0.0,60,5.5,0,100.0,3,3,-3.3,1.63,0,0,0.0,100.0,3,1,0.0,3,5.5,0,1,,,,62.7,64.1,66.6,63.9,,,,0,0,3,0.0,98.6,0.0,0,0,0,0,0,0,0.0,23,7.7,-2.41
1,Alex McGough,46420,QB,FIU,1,-25.27,0,50,166,62.2,37,40,9.8,2.58,1,2,4.8,50.0,20,19,13.0,44,88.0,3,11,,,,70.7,49.7,76.7,51.4,,52.6,,0,2,47,5.3,49.8,2.3,1,3,0,2,0,2,4.3,258,6.5,62.2,37,39,8.2,2.53,1,2,4.9,53.8,21,16,8.7,43,86.0,2,10,,,,70.6,46.4,76.6,47.8,,52.6,,0,3,46,6.3,40.3,2.3,1,3,0,1,0,3,6.5,238,6.1,50.0,6,7,7.8,2.03,0,0,0.0,28.6,2,3,33.3,7,14.0,1,1,,,,64.6,63.9,69.1,63.7,,,,0,0,7,0.0,42.0,0.0,0,0,0,1,0,0,0.0,25,3.6,0,50.0,6,6,-1.8,1.57,0,0,0.0,50.0,3,0,0.0,6,12.0,0,0,,,,64.2,50.1,68.6,50.1,,,,0,1,6,,16.7,0.0,0,0,0,0,0,1,16.7,5,0.8,-2.53
1,Greg Windham,46533,QB,OHIO,1,-30.8,0,49,259,73.5,34,40,10.1,2.77,1,1,2.4,55.0,22,10,12.0,43,87.8,3,14,,,,40.4,68.6,78.2,73.6,,51.0,,1,0,46,0.0,116.5,0.0,0,3,0,4,4,0,0.0,338,8.5,88.2,17,19,3.2,2.46,0,0,0.0,78.9,15,5,0.0,21,42.9,0,11,,,,28.5,62.7,77.1,68.4,,52.5,,1,0,23,0.0,154.7,0.0,0,2,0,1,3,0,0.0,221,11.6,69.6,23,27,12.2,2.75,1,1,3.6,48.1,13,5,18.8,28,57.1,3,6,,,,68.1,72.6,73.6,73.8,,57.3,,0,0,29,0.0,80.9,0.0,0,1,0,3,1,0,0.0,171,6.3,0,100.0,6,6,-1.3,1.63,0,0,0.0,100.0,6,0,0.0,6,12.2,0,3,,,,64.2,66.2,68.6,65.9,,,,0,0,6,,104.2,0.0,0,0,0,0,0,0,0.0,54,9.0,-5.3
1,Patrick Mahomes,11765,QB,TEXAS TECH,1,16.19,0,49,315,65.7,35,35,15.7,2.8,0,4,10.8,62.9,22,17,4.3,41,83.7,1,20,,,,70.9,92.1,76.2,90.2,,80.4,,0,0,44,0.0,137.4,0.0,0,6,0,0,4,0,0.0,377,10.8,68.8,32,32,12.2,2.67,0,4,12.5,65.6,21,14,4.5,37,75.5,1,15,,,,70.6,91.4,75.7,87.6,,79.2,,0,0,38,0.0,115.0,0.0,0,5,0,0,2,0,0.0,287,9.0,81.8,11,11,13.2,2.35,0,1,7.7,81.8,9,4,0.0,12,24.5,0,8,,,,66.2,90.9,71.2,90.2,,63.2,,0,0,14,0.0,158.3,0.0,0,1,0,0,2,0,0.0,196,17.8,0,100.0,8,8,-2.0,1.49,0,1,12.5,100.0,8,1,0.0,8,16.3,0,3,,,,64.9,86.8,69.5,86.3,,,,0,0,8,0.0,118.8,0.0,0,0,0,0,0,0,0.0,106,13.3,8.85
1,Chad Kelly,12008,QB,OLE MISS,1,-24.35,0,49,226,62.9,35,37,15.4,2.48,2,3,7.5,51.4,19,19,13.6,47,95.9,3,16,,,,41.1,55.0,23.7,53.1,,64.7,,0,3,50,26.3,83.2,10.6,5,5,0,0,4,4,8.0,320,8.6,66.7,27,28,13.2,2.4,1,3,9.4,60.7,17,11,5.6,33,67.3,1,12,,,,70.6,61.4,17.3,59.3,,67.3,,0,3,37,27.3,91.4,9.1,3,2,0,0,4,3,8.1,260,9.3,60.0,10,11,17.3,2.66,1,0,0.0,36.4,4,8,33.3,16,32.7,2,4,,,,21.8,46.5,71.6,46.0,,58.2,,0,0,16,25.0,52.5,12.5,2,3,0,0,0,1,6.3,53,4.8,0,100.0,2,2,-5.0,2.5,0,0,0.0,100.0,2,0,0.0,2,4.1,0,0,,,,62.7,64.1,66.6,63.9,,,,0,0,3,,79.2,0.0,0,0,0,0,0,0,0.0,-7,-3.5,-4.47
