week,player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
0,Trevon Hill,13821,ED,MIAMI FL,1,0,0,220,62.7,0,0,5,77.8,20.0,1,0,0.0,0,9,7,0,0,58.3,0,0,1,66.7,0.0,0,0.0,0,3,2,0
0,Mason Vega,24705,ED,HAWAII,1,0,0,180,62.9,0,1,22,100.0,9.1,2,0,2.3,0,22,22,1,0,59.7,0,0,1,100.0,0.0,0,0.0,0,1,1,0
0,Jabari Zuniga,26449,ED,FLORIDA,1,0,0,163,81.5,2,3,37,100.0,16.2,6,0,12.2,2,40,40,7,0,90.2,0,3,14,100.0,35.7,5,17.9,1,16,16,4
0,Luke Ancrum,26450,ED,FLORIDA,1,0,0,163,70.2,0,2,4,100.0,50.0,2,0,25.0,0,5,5,2,0,66.3,0,1,2,100.0,50.0,1,25.0,0,2,2,1
0,Jeremiah Moon,26453,ED,FLORIDA,1,0,0,163,78.8,2,4,16,54.5,25.0,4,0,25.0,1,33,18,7,0,66.4,1,2,8,50.0,25.0,2,31.3,1,18,9,4
0,David Reese II,26454,LB,FLORIDA,1,0,0,163,53.5,0,1,5,15.0,0.0,0,0,10.0,0,40,6,1,0,55.5,0,0,2,15.8,0.0,0,0.0,0,19,3,0
0,Jeawon Taylor,26455,S,FLORIDA,1,0,0,163,66.5,1,0,2,4.4,0.0,0,0,25.0,0,45,2,1,0,59.4,0,0,1,5.3,0.0,0,0.0,0,19,1,0
0,Solomon Matautia,26631,LB,HAWAII,1,0,0,180,64.8,0,0,5,20.7,0.0,0,0,0.0,0,29,6,0,0,67.8,0,0,1,33.3,0.0,0,0.0,0,6,2,0
0,Adam Shuler,29321,DI,FLORIDA,1,0,0,163,55.6,0,1,19,100.0,0.0,0,0,2.6,0,20,20,1,0,56.1,0,0,5,100.0,0.0,0,0.0,0,6,6,0
0,Scott Patchan,36449,ED,MIAMI FL,1,0,0,220,72.8,1,5,23,100.0,21.7,5,0,13.0,0,25,25,6,0,70.9,1,0,4,100.0,50.0,2,12.5,0,5,5,1
0,Eperone Moananu,38417,DI,HAWAII,1,0,0,180,59.6,0,0,2,100.0,0.0,0,0,0.0,0,2,2,0,0,,0,0,0,,,0,,0,0,0,0
0,Jeremiah Pritchard,38502,LB,HAWAII,1,0,0,180,58.9,0,1,2,10.5,50.0,1,0,25.0,0,19,2,1,0,,0,0,0,0.0,,0,,0,2,0,0
0,Kaimana Padello,38636,ED,HAWAII,1,0,0,180,73.6,0,6,30,67.4,30.0,9,0,10.0,0,46,31,6,0,66.5,0,0,6,87.5,16.7,1,0.0,0,8,7,0
0,Manly Williams,38651,ED,HAWAII,1,0,0,180,57.8,0,2,15,100.0,6.7,1,0,6.7,0,16,16,2,0,61.1,0,1,7,100.0,14.3,1,7.1,0,7,7,1
0,Finton Connolly,38791,DI,ARIZONA,1,0,0,109,57.9,0,0,5,100.0,0.0,0,0,0.0,0,5,5,0,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
0,Chigozie Nnoruka,43552,DI,MIAMI FL,1,0,0,220,57.7,0,0,6,100.0,0.0,0,0,0.0,0,6,6,0,0,58.6,0,0,2,100.0,0.0,0,0.0,0,2,2,0
0,Marlon Dunlap Jr.,43701,DI,FLORIDA,1,0,0,163,62.3,0,2,21,100.0,4.8,1,0,9.5,1,22,22,3,0,65.6,0,2,11,100.0,9.1,1,18.2,1,12,12,3
0,Pat Bethel,44218,DI,MIAMI FL,1,0,0,220,55.2,0,0,18,100.0,0.0,0,0,0.0,0,20,20,0,0,57.2,0,0,4,100.0,0.0,0,0.0,0,5,5,0
0,Lee Anderson III,44324,ED,ARIZONA,1,0,0,109,56.8,0,1,4,100.0,0.0,0,0,12.5,0,4,4,1,0,58.3,0,1,2,100.0,0.0,0,25.0,0,2,2,1
0,Michael Pinckney,44382,LB,MIAMI FL,1,0,0,220,55.1,0,0,4,13.3,0.0,0,0,0.0,0,30,4,0,0,59.3,0,0,1,16.7,0.0,0,0.0,0,6,1,0
0,Jonathan Greenard,48407,ED,FLORIDA,1,0,0,163,90.7,0,5,38,89.4,21.1,8,0,14.5,3,47,42,8,0,87.9,0,4,15,85.7,33.3,5,20.0,1,21,18,5
0,Justin Belknap,48807,ED,ARIZONA,1,0,0,109,58.3,0,1,22,100.0,4.5,1,0,2.3,0,24,24,1,0,61.2,0,1,10,100.0,10.0,1,5.0,0,10,10,1
0,Shaquille Quarterman,51048,LB,MIAMI FL,1,0,0,220,61.9,0,1,6,18.2,16.7,1,0,8.3,0,33,6,1,0,59.5,0,0,1,14.3,0.0,0,0.0,0,7,1,0
0,Azia Se'ei,52053,DI,HAWAII,1,0,0,180,62.5,0,1,12,100.0,8.3,1,0,4.2,0,13,13,1,0,59.1,0,0,2,100.0,0.0,0,0.0,0,2,2,0
0,Kana'i Picanco,52070,LB,HAWAII,1,0,0,180,66.7,0,0,4,20.0,0.0,0,0,50.0,2,20,4,2,0,59.7,0,0,1,20.0,0.0,0,0.0,0,5,1,0
0,Makai Manuwai,52073,DI,HAWAII,1,0,0,180,55.4,0,1,15,100.0,0.0,0,0,3.3,0,16,16,1,0,59.7,0,0,1,100.0,0.0,0,0.0,0,1,1,0
0,Paul Scott,52078,LB,HAWAII,1,0,0,180,56.1,0,1,3,11.8,0.0,0,0,16.7,0,34,4,1,0,56.9,0,0,1,40.0,0.0,0,0.0,0,5,2,0
0,CJ Henderson,55593,CB,FLORIDA,1,0,0,163,73.2,0,0,1,2.1,0.0,0,1,0.0,0,48,1,0,0,,0,0,0,0.0,,0,,0,21,0,0
0,Shawn Davis,55882,S,FLORIDA,1,0,0,163,74.9,2,0,2,6.7,50.0,1,0,50.0,0,30,2,2,0,49.0,0,0,0,0.0,,0,,0,17,0,0
0,Amari Carter,56049,S,MIAMI FL,1,0,0,220,59.2,0,1,1,3.1,0.0,0,0,50.0,0,32,1,1,0,,0,0,0,0.0,,0,,0,6,0,0
0,Jalen Harris,56321,ED,ARIZONA,1,0,0,109,67.2,1,4,46,100.0,15.2,7,1,5.4,0,50,50,5,0,69.4,0,3,15,100.0,26.7,4,10.0,0,15,15,3
0,Kylan Wilborn,56325,ED,ARIZONA,1,0,0,109,62.1,0,1,23,100.0,4.3,1,0,2.2,0,24,24,1,0,54.7,0,0,9,100.0,0.0,0,0.0,0,9,9,0
0,Zach Carter,56349,ED,FLORIDA,1,0,0,163,62.1,0,2,6,100.0,0.0,0,0,16.7,0,7,7,2,0,64.5,0,2,3,100.0,0.0,0,33.3,0,4,4,2
0,Jonathan Garvin,56703,ED,MIAMI FL,1,0,0,220,62.8,1,2,24,92.9,4.2,1,0,6.3,0,28,26,3,0,55.6,0,0,5,100.0,0.0,0,0.0,0,5,5,0
0,Jonathan Ford,56705,DI,MIAMI FL,1,0,0,220,61.9,0,2,21,100.0,9.5,2,0,4.8,0,23,23,2,0,71.3,0,2,5,100.0,40.0,2,20.0,0,6,6,2
0,Kyree Campbell,56972,DI,FLORIDA,1,0,0,163,65.9,0,0,23,100.0,0.0,0,1,4.3,1,26,26,1,0,73.8,0,0,7,100.0,0.0,0,14.3,1,9,9,1
0,Tony Fields II,57698,LB,ARIZONA,1,0,0,109,65.1,1,2,8,23.1,25.0,2,0,18.8,0,39,9,3,0,74.3,0,2,4,33.3,50.0,2,25.0,0,12,4,2
0,Anthony Pandy,57699,ED,ARIZONA,1,0,0,109,59.7,0,0,8,26.7,12.5,1,0,0.0,0,30,8,0,0,64.1,0,0,3,37.5,33.3,1,0.0,0,8,3,0
0,Colin Schooler,57700,LB,ARIZONA,1,0,0,109,67.2,0,0,7,15.7,14.3,1,0,14.3,1,51,8,1,0,62.9,0,0,4,25.0,25.0,1,0.0,0,16,4,0
0,JB Brown,57701,ED,ARIZONA,1,1,0,109,63.0,1,1,34,100.0,8.8,3,1,2.9,0,37,37,2,0,54.3,0,0,12,100.0,0.0,0,0.0,0,12,12,0
0,Ventrell Miller,57809,LB,FLORIDA,1,0,0,163,65.9,0,0,4,12.5,0.0,0,0,50.0,2,32,4,2,0,69.6,0,0,2,18.2,0.0,0,50.0,1,11,2,1
