week,player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
0,Cortez Davis,22974,CB,HAWAII,1,26,0,180,0,31.5,50.0,100.0,18.0,9.0,0,0,0.0,54.0,0,44,0.0,0,0,135.4,1,18,69.2,18,0,1,2,1,44,8,2.4,44.0,0,0,22.0,0.0,100.0,,8.0,0,0,0.0,49.4,0,,0.0,0,0,39.6,0,8,30.8,8,0,1,1,0,0,0,0.0,
0,Deonte Perry,41092,S,FRESNO ST,1,7,0,169,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,62.3,0,,,0,0,0.0,0,5,71.4,5,0,0,0,0,0,0,0.0,
0,JoJo Domann,42446,LB,NEBRASKA,1,18,0,238,0,3.0,100.0,100.0,5.0,5.0,0,0,0.0,63.4,0,3,,0,0,79.2,1,5,27.8,5,0,0,1,0,3,0,0.6,3.0,0,0,8.0,100.0,100.0,9.0,9.0,0,0,0.0,64.1,0,9,,0,0,104.2,1,10,55.6,10,0,0,1,0,9,1,1.0,9.0
0,Jay Lenard,42492,S,S JOSE ST,1,15,0,285,0,,,100.0,,,0,0,,47.3,0,,100.0,1,0,0.0,0,2,13.3,2,0,0,0,0,0,0,0.0,,0,0,,,84.6,,,0,0,,64.4,0,,,0,0,0.0,0,11,73.3,13,0,0,0,0,0,0,0.0,
0,Marquel Dismuke,43025,S,NEBRASKA,1,17,0,238,0,,,100.0,,,0,0,,63.2,0,,,0,0,0.0,0,4,23.5,4,0,0,0,0,0,0,0.0,,0,0,-4.0,100.0,100.0,8.0,8.0,0,0,0.0,53.9,0,14,,0,0,118.8,1,9,52.9,9,0,0,1,0,14,18,1.8,14.0
0,D.J. Morgan,43099,LB,UCONN,1,15,0,146,0,2.0,100.0,100.0,1.0,1.0,0,0,0.0,53.8,0,9,0.0,0,0,104.2,1,1,6.7,1,0,1,1,0,9,7,9.0,9.0,0,0,6.7,66.7,100.0,5.0,3.3,0,0,0.0,55.7,0,10,0.0,0,0,84.0,2,10,66.7,10,1,2,3,0,19,14,1.9,9.5
0,Chima Azunna,43211,S,HAWAII,1,26,0,180,0,6.3,75.0,100.0,6.0,4.5,0,0,0.0,56.4,0,12,20.0,1,0,87.5,3,18,69.2,18,1,4,4,0,22,7,1.2,7.3,0,0,19.0,0.0,100.0,,8.0,0,0,0.0,49.0,0,,,0,0,39.6,0,8,30.8,8,0,0,1,0,0,0,0.0,
0,Qwuantrezz Knight,43322,S,UCLA,1,30,0,324,0,,,60.0,,,0,0,,61.5,0,,,0,0,0.0,0,3,10.0,5,0,0,0,0,0,0,0.0,,0,0,-1.0,80.0,94.1,4.0,3.2,0,0,0.0,56.4,0,9,33.3,1,0,88.3,4,16,53.3,17,1,2,5,0,26,26,1.6,6.5
0,Obi Eboh,43343,CB,UCLA,1,13,0,324,0,4.0,0.0,100.0,,4.0,0,0,0.0,62.3,0,,,0,0,39.6,0,4,30.8,4,0,0,1,0,0,0,0.0,,0,1,,,85.7,,,0,0,,65.5,0,,0.0,0,0,0.0,0,6,46.2,7,0,0,0,0,0,0,0.0,
0,Kyle Williams,43601,CB,UCONN,1,6,0,146,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,63.1,0,,,0,0,0.0,0,6,100.0,6,0,0,0,0,0,0,0.0,
