week,player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
0,Chevan Cordeiro,75886,QB,HAWAII,1,53,50.0,24,26,7.5,2.34,2,1,3.8,34.6,9,9,25.0,29,54.7,3,3,,27.4,44.8,73.6,45.6,,57.8,0,1,29,22.2,40.2,6.9,2,1,0,0,1,2,6.9,37,1.4,0,180,42.9,59.2,64.2,49.5,76.2,21,21,7.8,3.76,0,3,13.6,76.2,16,8,0.0,24,45.3,0,5,,67.9,79.8,73.4,83.7,,53.1,0,1,27,12.5,82.0,4.2,1,2,0,0,0,0,0.0,183,8.7,62.5,32,34,5.4,2.42,2,1,2.9,52.9,18,0,10.0,36,67.9,2,5,,68.7,53.3,74.5,55.5,,53.1,0,1,37,,60.9,0.0,0,2,0,0,1,1,2.7,140,4.1,1,61.5,13,13,13.2,4.18,0,3,23.1,53.8,7,17,12.5,17,32.1,1,3,,23.8,74.0,72.2,75.6,,57.8,0,1,19,17.6,40.5,17.6,3,1,0,0,0,1,5.3,80,6.2
0,Adrian Martinez,83522,QB,NEBRASKA,1,44,80.0,5,7,9.0,3.43,0,0,0.0,57.1,4,8,0.0,12,27.3,0,3,,66.0,79.2,71.0,78.1,,64.4,1,0,13,25.0,86.0,16.7,2,3,0,1,0,0,0.0,61,8.7,0,238,40.8,62.3,60.4,62.1,54.2,24,25,14.2,3.4,0,1,4.0,48.0,12,18,7.7,32,72.7,1,11,,28.9,51.4,74.2,52.5,,55.9,0,0,34,16.7,83.9,9.4,3,4,0,1,1,2,5.9,171,6.8,62.5,16,17,11.4,2.89,0,0,0.0,58.8,10,0,0.0,18,40.9,0,6,,67.1,64.0,72.4,67.6,,52.9,0,0,20,,99.1,0.0,0,1,0,1,1,0,0.0,116,6.8,0,53.8,13,15,15.7,3.76,0,1,6.7,40.0,6,26,14.3,26,59.1,1,8,,26.7,56.9,73.4,52.8,,63.7,1,0,27,19.2,67.6,19.2,5,6,0,1,0,2,7.4,116,7.7
0,Jack Zergiotis,97603,QB,UCONN,1,30,75.0,4,6,10.3,2.84,0,0,0.0,33.3,2,3,33.3,7,23.3,1,1,,64.6,54.2,69.1,54.1,,,1,0,7,33.3,42.4,14.3,1,0,0,1,0,0,0.0,12,2.0,0,146,29.2,34.2,34.0,58.9,63.2,19,19,6.5,2.47,0,0,0.0,57.9,11,4,8.3,23,76.7,1,2,,26.3,30.2,73.1,31.8,,53.6,0,0,25,50.0,62.8,8.7,2,2,0,0,0,2,8.0,53,2.8,71.4,21,21,6.8,2.3,0,0,0.0,61.9,13,0,13.3,23,76.7,2,3,,67.7,47.2,73.1,49.6,,53.6,0,0,25,,66.6,0.0,0,2,0,0,0,1,4.0,65,3.1,1,0.0,2,4,11.0,3.4,0,0,0.0,0.0,0,7,,7,23.3,0,0,,15.0,25.3,69.1,25.5,,,1,0,7,42.9,39.6,42.9,3,0,0,1,0,1,14.3,0,0.0
0,Jake Haener,60596,QB,FRESNO ST,1,28,75.0,4,4,9.5,2.8,0,1,25.0,75.0,3,2,0.0,5,17.9,0,2,,63.8,72.3,68.1,77.8,,57.3,0,0,5,0.0,156.3,0.0,0,1,0,0,2,0,0.0,87,21.8,0,169,68.1,83.3,83.3,61.0,85.0,20,22,7.1,2.43,1,0,0.0,77.3,17,3,0.0,23,82.1,0,9,,67.6,82.2,73.0,79.9,,63.7,0,0,24,0.0,127.8,0.0,0,1,1,0,1,0,0.0,244,11.1,80.0,20,22,7.6,2.35,1,0,0.0,72.7,16,0,0.0,23,82.1,0,9,,67.5,74.2,72.8,75.8,,57.3,0,0,23,,137.1,0.0,0,1,1,0,2,0,0.0,233,10.6,0,100.0,4,4,7.3,3.2,0,1,20.0,100.0,4,5,0.0,5,17.9,0,2,,64.2,90.2,68.6,87.7,,63.7,0,0,6,0.0,158.3,0.0,0,1,0,0,1,0,0.0,98,24.5
0,Nick Starkel,40326,QB,S JOSE ST,1,26,66.7,12,12,12.7,2.26,0,3,25.0,66.7,8,4,0.0,12,46.2,0,8,,65.8,71.2,70.7,70.7,,,0,1,12,0.0,114.6,0.0,0,0,0,0,3,2,16.7,203,16.9,0,285,69.1,67.6,67.1,60.0,61.5,13,14,11.9,2.41,1,0,0.0,57.1,8,2,0.0,14,53.8,0,5,,66.4,61.2,71.4,60.9,,,0,0,15,0.0,125.6,0.0,0,0,0,0,1,0,0.0,196,14.0,68.4,19,20,12.5,2.34,1,2,9.5,65.0,13,0,0.0,20,76.9,0,10,,67.2,80.2,72.5,79.4,,,0,0,21,,147.9,0.0,0,0,0,0,4,1,4.8,331,16.6,0,50.0,6,6,11.7,2.35,0,1,16.7,50.0,3,6,0.0,6,23.1,0,3,,64.2,37.4,68.6,37.8,,,0,1,6,0.0,51.4,0.0,0,0,0,0,0,1,16.7,68,11.3
0,Dorian Thompson-Robinson,83574,QB,UCLA,1,22,80.0,10,13,10.5,2.18,1,0,0.0,53.8,7,3,12.5,13,59.1,1,6,,66.0,60.4,71.0,60.2,,,0,0,13,0.0,106.9,0.0,0,0,0,2,1,0,0.0,107,8.2,0,324,68.0,66.1,60.5,69.4,57.1,7,7,14.3,2.73,0,0,0.0,42.9,3,2,25.0,9,40.9,1,2,,65.1,66.0,69.8,60.7,,64.3,0,0,9,50.0,51.5,11.1,1,1,0,0,0,0,0.0,23,3.3,80.0,15,16,10.9,2.19,0,0,0.0,62.5,10,0,16.7,17,77.3,2,8,,66.7,69.5,71.8,66.0,,64.3,0,0,17,,108.9,0.0,0,1,0,1,1,0,0.0,130,8.1,0,0.0,2,4,21.0,3.14,1,0,0.0,0.0,0,5,,5,22.7,0,0,,63.8,47.2,68.1,47.3,,,0,0,5,20.0,39.6,20.0,1,0,0,1,0,0,0.0,0,0.0
0,Artur Sitkowski,83547,QB,ILLINOIS,1,17,85.7,7,8,4.3,1.91,1,0,0.0,62.5,5,0,16.7,8,47.1,1,4,,64.9,66.3,69.5,66.0,,,0,0,8,,109.9,0.0,0,0,0,0,1,0,0.0,31,3.9,0,187,68.3,72.9,74.0,59.1,100.0,7,7,7.4,2.24,0,1,12.5,100.0,7,2,0.0,9,52.9,0,5,,65.4,79.2,70.1,75.2,,64.2,0,0,10,50.0,158.3,11.1,1,1,0,0,1,1,10.0,88,12.6,92.9,14,15,5.9,1.87,1,1,6.7,80.0,12,0,7.7,15,88.2,1,8,,66.4,91.0,71.4,90.7,,,0,0,15,,139.3,0.0,0,0,0,0,2,0,0.0,119,7.9,0,,0,0,,3.7,0,0,0.0,,0,2,,2,11.8,0,1,,62.7,29.2,66.6,26.1,,64.2,0,0,3,50.0,0.0,50.0,1,1,0,0,0,1,33.3,0,
0,Gavin Hardison,100827,QB,UTEP,1,16,83.3,6,7,11.2,2.43,0,0,0.0,71.4,5,3,0.0,7,43.8,0,4,,64.9,42.0,69.5,42.3,,,1,1,8,0.0,56.0,0.0,0,0,0,0,0,1,12.5,57,8.1,0,330,66.8,56.4,55.1,,66.7,9,9,14.4,2.89,0,1,10.0,66.7,6,0,0.0,9,56.3,0,4,,65.4,68.4,70.1,68.1,,,0,0,10,,146.8,0.0,0,0,0,0,1,1,10.0,192,21.3,76.9,13,13,12.7,2.68,0,1,6.7,76.9,10,0,0.0,13,81.3,0,8,,66.4,69.8,71.4,69.3,,,0,0,15,,143.9,0.0,0,0,0,0,1,1,6.7,241,18.5,0,50.0,2,3,16.0,2.7,0,0,0.0,33.3,1,3,0.0,3,18.8,0,0,,62.7,27.1,66.6,27.3,,,1,1,3,0.0,2.8,0.0,0,0,0,0,0,1,33.3,8,2.7
0,Logan Fife,128176,QB,FRESNO ST,1,15,100.0,3,3,2.0,3.38,0,0,0.0,100.0,3,2,0.0,4,26.7,0,2,,63.3,71.1,67.4,62.8,,64.3,0,0,4,0.0,132.6,0.0,0,1,0,0,1,0,0.0,19,6.3,0,169,70.0,60.4,58.2,61.0,62.5,8,10,4.9,2.66,2,0,0.0,40.0,4,4,20.0,11,73.3,1,2,,65.6,56.6,70.4,56.4,,,0,1,11,25.0,9.2,9.1,1,0,0,0,0,0,0.0,32,3.2,62.5,8,9,4.0,2.1,1,0,0.0,44.4,4,0,20.0,9,60.0,1,3,,65.1,52.1,69.8,52.0,,,0,1,9,,49.1,0.0,0,0,0,0,1,0,0.0,26,2.9,0,100.0,3,4,4.3,3.98,1,0,0.0,75.0,3,6,0.0,6,40.0,0,1,,64.2,74.8,68.6,68.2,,64.3,0,0,6,16.7,90.6,16.7,1,1,0,0,0,0,0.0,25,6.3
0,Steven Krajewski,77650,QB,UCONN,1,7,,0,0,,3.3,0,0,,,0,1,,1,14.3,0,0,,60.3,59.7,63.6,60.0,,,0,0,1,100.0,0.0,100.0,1,0,0,0,0,0,0.0,0,,0,146,66.2,50.4,51.7,58.2,50.0,4,6,13.0,3.02,0,0,0.0,33.3,2,4,0.0,6,85.7,0,1,,64.6,52.8,69.1,52.8,,,1,0,7,0.0,42.4,0.0,0,0,0,1,0,0,0.0,11,1.8,100.0,2,2,4.5,2.1,0,0,0.0,100.0,2,0,0.0,2,28.6,0,1,,62.7,59.8,66.6,59.7,,,0,0,3,,89.6,0.0,0,0,0,0,0,0,0.0,11,5.5,0,0.0,2,4,21.5,3.44,0,0,0.0,0.0,0,5,,5,71.4,0,0,,63.8,48.8,68.1,48.8,,,1,0,5,20.0,39.6,20.0,1,0,0,1,0,0,0.0,0,0.0
