week,player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
0,Austin Hopp,65055,T,HAWAII,1,1,180,69.6,1,2,59,100.0,100.0,95.8,1,4,1,60,60,70.4,0,1,14,100.0,100.0,96.4,1,0,14,14
0,Micah Vanterpool,52075,G,HAWAII,1,0,180,55.6,0,2,59,100.0,100.0,98.3,0,2,0,60,60,60.3,0,0,14,100.0,100.0,100.0,0,0,14,14
0,Eliki Tanuvasa,79663,C,HAWAII,1,0,180,77.7,0,1,59,100.0,100.0,99.2,0,1,0,60,60,73.1,0,1,14,100.0,100.0,96.4,1,0,14,14
0,Stephan Bernal-Wendt,52084,G,HAWAII,1,0,180,69.1,1,1,59,100.0,100.0,98.3,0,2,0,60,60,75.0,0,1,14,100.0,100.0,96.4,1,0,14,14
0,Ilm Manning,75852,T,HAWAII,1,0,180,70.6,0,0,56,100.0,100.0,100.0,0,0,0,57,57,68.8,0,0,13,100.0,100.0,100.0,0,0,13,13
0,Andrew Meyer,81910,C,UTEP,1,0,330,64.3,0,0,53,100.0,100.0,100.0,0,0,0,56,56,67.3,0,0,10,100.0,100.0,100.0,0,0,10,10
0,Jeremiah Byers,100806,T,UTEP,1,0,330,84.5,0,1,53,100.0,100.0,99.1,0,1,0,56,56,79.4,0,0,10,100.0,100.0,100.0,0,0,10,10
0,Zuri Henry,81907,T,UTEP,1,0,330,73.3,0,2,53,100.0,100.0,96.2,1,3,1,56,56,54.2,0,1,10,100.0,100.0,95.0,1,0,10,10
0,Justin Mayers,100808,G,UTEP,1,0,330,68.2,1,0,53,100.0,100.0,99.1,0,1,0,56,56,81.1,0,0,10,100.0,100.0,100.0,0,0,10,10
0,Elijah Klein,81912,G,UTEP,1,0,330,56.6,1,1,53,100.0,100.0,98.1,0,2,0,56,56,0.0,1,1,10,100.0,100.0,90.0,2,0,10,10
0,Amani Trigg-Wright,81887,G,UNLV,1,0,325,72.9,0,1,45,100.0,100.0,98.9,0,1,0,47,47,59.2,0,1,20,100.0,100.0,97.5,1,0,21,21
0,Trent Hixson,59905,C,NEBRASKA,1,0,238,64.5,0,0,44,100.0,100.0,100.0,0,0,0,45,45,50.2,0,0,24,100.0,100.0,100.0,0,0,25,25
0,Bryce Benhart,98531,T,NEBRASKA,1,0,238,56.8,0,1,44,100.0,100.0,98.9,0,1,0,45,45,62.0,0,0,24,100.0,100.0,100.0,0,0,25,25
0,Turner Corcoran,129684,T,NEBRASKA,1,0,238,46.2,0,3,44,100.0,100.0,96.6,0,3,0,45,45,43.0,0,2,24,100.0,100.0,95.8,2,0,25,25
0,Teddy Prochazka,145004,T,NEBRASKA,1,0,238,22.5,1,7,44,100.0,100.0,90.9,0,8,0,45,45,36.1,1,4,24,100.0,100.0,89.6,5,0,25,25
0,Spencer Rolland,108693,T,N CAROLINA,1,0,245,73.4,0,0,40,100.0,100.0,100.0,0,0,0,43,43,80.9,0,0,8,100.0,100.0,100.0,0,0,8,8
0,Asim Richards,99674,T,N CAROLINA,1,0,245,82.1,0,0,40,100.0,100.0,100.0,0,0,0,43,43,82.9,0,0,8,100.0,100.0,100.0,0,0,8,8
0,Ed Montilus,77353,G,N CAROLINA,1,0,245,54.1,0,3,40,100.0,100.0,96.2,0,3,0,43,43,65.4,0,1,8,100.0,100.0,93.7,1,0,8,8
0,Julian Pearl,82282,T,ILLINOIS,1,0,187,77.7,1,0,40,100.0,100.0,98.7,0,1,0,42,42,84.5,0,0,11,100.0,100.0,100.0,0,0,11,11
0,Tiger Shanks,128371,T,UNLV,1,0,325,82.1,0,0,40,100.0,100.0,100.0,1,0,0,42,42,78.6,0,0,19,100.0,100.0,100.0,0,0,20,20
0,Daviyon McDaniel,59651,T,UNLV,1,0,325,61.2,1,1,40,100.0,100.0,97.5,0,2,0,42,42,86.0,0,0,19,100.0,100.0,100.0,0,0,20,20
0,Alex Palczewski,59738,T,ILLINOIS,1,0,187,75.9,0,1,40,100.0,100.0,98.7,0,1,0,42,42,82.5,0,0,11,100.0,100.0,100.0,0,0,11,11
