week,player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
0,Sam Glover,121844,T,NAVY,1,0,237,40.5,100.0,21,45.7,21,43.7,0,100.0,46,46,59.9,100.0,1,2.2,1
0,Connor McMahon,144330,T,NAVY,1,0,237,63.1,100.0,21,45.7,21,62.7,0,100.0,46,46,60.0,100.0,1,2.2,1
0,Treylen Brown,108550,C,JVILLE ST,1,0,196,61.7,100.0,10,23.3,10,66.7,0,100.0,43,43,67.7,100.0,25,58.1,25
0,Xavier Bausley,163939,T,JVILLE ST,1,0,196,52.8,100.0,10,23.3,10,61.0,0,100.0,43,43,66.0,100.0,25,58.1,25
0,Brock Robey,163975,G,JVILLE ST,1,0,196,52.1,100.0,10,23.3,10,54.9,0,100.0,43,43,53.9,100.0,25,58.1,25
0,Clay Webb,99076,G,JVILLE ST,1,0,196,61.4,100.0,10,23.3,10,75.1,0,100.0,43,43,72.4,100.0,25,58.1,25
0,Will O'Steen,125373,T,JVILLE ST,1,0,196,57.3,100.0,10,23.3,10,60.5,0,100.0,43,43,62.4,100.0,25,58.1,25
0,Steven Hubbard,122021,T,UTEP,1,0,330,51.5,100.0,8,19.5,8,68.0,0,100.0,41,41,76.9,100.0,30,73.2,30
0,Zuri Henry,81907,T,UTEP,1,0,330,51.0,100.0,8,19.5,8,70.2,1,100.0,41,41,79.8,100.0,30,73.2,30
0,Elijah Klein,81912,G,UTEP,1,0,330,68.9,100.0,8,19.5,8,82.4,0,100.0,41,41,82.7,100.0,30,73.2,30
0,Andrew Meyer,81910,C,UTEP,1,0,330,62.9,100.0,8,19.5,8,66.6,0,100.0,41,41,66.8,100.0,30,73.2,30
0,Justin Mayers,100808,G,UTEP,1,0,330,57.1,100.0,8,19.5,8,63.6,0,100.0,41,41,66.0,100.0,30,73.2,30
0,Kelly Akharaiyi,157878,WR,UTEP,1,0,330,59.6,100.0,8,20.0,8,77.8,0,100.0,40,40,59.8,100.0,30,75.0,30
0,Zach Fryar,122015,TE,UTEP,1,0,330,46.2,100.0,8,20.5,8,38.3,0,100.0,39,39,38.2,100.0,28,71.8,28
