week,player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
0,RJ Maryland,127250,TE,SMU,1,9,0,287,32.0,0,100.0,,0,0,0.0,0,2,0,70.7,94.7,0,49,0.0,0,5,2,100.0,5,158.3,2,40.0,1,83,22,11.0,41.5,16.6,0,9.2,0,83.3,0.0,0,1,0.0,0,4,0,76.3,84.5,0,24,16.7,3,18,5,77.8,14,117.4,6,42.9,0,73,28,5.6,14.6,5.21
0,Jaden Smith,102637,WR,NEVADA,1,8,0,239,6.0,0,0.0,,0,0,,0,0,0,,55.0,0,0,0.0,0,9,0,66.7,6,39.6,1,16.7,0,0,0,,,0.0,0,6.7,0,57.1,50.0,1,2,0.0,0,1,0,74.9,66.6,0,14,0.0,0,20,4,95.0,19,68.8,7,36.8,0,32,27,6.8,8.0,1.68
0,Pofele Ashlock,158166,WR,HAWAII,1,8,0,180,6.3,1,66.7,,0,0,0.0,0,2,0,70.7,68.5,0,13,0.0,0,8,2,87.5,7,93.8,3,42.9,0,26,11,5.5,13.0,3.71,0,16.2,0,60.0,,0,0,0.0,0,3,0,73.1,64.7,0,29,0.0,0,22,3,95.5,21,97.9,5,23.8,0,55,23,7.7,18.3,2.62
0,Luke Wysong,146110,WR,NEW MEXICO,1,7,0,241,8.0,0,0.0,,0,0,100.0,1,0,0,16.4,44.8,0,0,0.0,0,4,0,75.0,3,39.6,1,33.3,0,0,0,,,0.0,0,12.0,1,100.0,,0,0,0.0,0,2,0,74.9,68.0,0,53,0.0,0,20,4,90.0,18,118.8,4,22.2,0,79,31,7.8,19.8,4.39
0,Cortez Braham Jr.,157366,WR,NEVADA,1,7,0,239,22.0,0,33.3,0.0,0,1,50.0,1,1,0,24.5,56.4,0,48,0.0,0,11,1,63.6,7,81.9,3,42.9,0,48,25,25.0,48.0,6.86,0,6.3,0,66.7,,0,0,0.0,0,0,0,70.7,55.1,0,4,0.0,0,20,2,100.0,20,70.1,3,15.0,0,8,2,1.0,4.0,0.4
0,Malik Rutherford,143929,WR,GA TECH,1,7,0,176,,0,,,0,0,,0,0,0,,58.3,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,0,5.6,0,57.1,0.0,0,1,0.0,0,2,0,74.9,74.5,0,42,0.0,0,12,4,100.0,12,89.0,7,58.3,0,66,56,14.0,16.5,5.5
0,Malik Benson,169698,WR,FLORIDA ST,1,6,0,167,20.0,0,0.0,,0,0,,0,0,0,,56.4,0,0,0.0,0,4,0,100.0,4,39.6,1,25.0,0,0,0,,,0.0,0,15.8,1,75.0,100.0,1,1,0.0,0,1,0,73.1,61.3,0,10,0.0,0,16,3,93.8,15,85.4,4,26.7,0,20,1,0.3,6.7,1.33
0,Ja'Khi Douglas,122397,WR,FLORIDA ST,1,6,0,167,7.0,0,0.0,,0,0,,0,0,0,,56.9,0,0,0.0,0,3,0,100.0,3,39.6,1,33.3,0,0,0,,,0.0,0,16.0,0,75.0,100.0,1,1,0.0,0,3,0,73.1,79.8,0,20,0.0,0,9,3,88.9,8,107.3,4,50.0,0,41,14,4.7,13.7,5.13
0,Ryan Davis,97321,WR,NEW MEXICO,1,6,0,241,6.0,0,100.0,100.0,1,1,0.0,0,0,0,66.7,57.9,0,6,0.0,0,4,1,75.0,3,91.7,1,33.3,0,6,0,0.0,6.0,2.0,0,8.8,0,40.0,0.0,0,1,0.0,0,1,0,70.7,56.7,0,11,0.0,0,15,2,86.7,13,47.9,5,38.5,0,15,1,0.5,7.5,1.15
0,Dekel Crowdus,146733,WR,HAWAII,1,5,0,180,,0,,,0,0,,0,0,0,,58.8,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,0,32.0,0,50.0,,0,0,0.0,0,2,0,70.7,69.7,0,29,0.0,0,17,2,94.1,16,125.0,4,25.0,1,40,0,0.0,20.0,2.5
