week,player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
0,Brendon Lewis,131687,QB,NEVADA,1,18,5,0,0.0,0,0,64,0,0,5,43,74.4,3,6,239,1,10,74.5,72.6,77.5,60.1,62.2,,75.8,60.4,21,0,0,0,0,42,21,1,0,17,0,85,44,2.44,4.7,,1
0,Eli Sanders,144541,HB,NEW MEXICO,1,17,7,1,41.4,36,0,87,0,0,7,48,116.3,2,5,241,0,13,75.8,71.7,75.5,,77.4,52.6,72.5,,36,0,0,0,13,17,0,0,0,17,0,87,48,2.82,5.1,0.0,4
0,Haynes King,124329,QB,GA TECH,1,15,4,1,38.9,21,0,54,0,0,4,39,69.3,2,5,176,2,12,73.7,71.5,75.7,63.2,,,69.2,60.0,21,0,0,0,0,35,0,0,0,15,0,54,39,2.6,3.6,,1
0,Roydell Williams,123939,HB,FLORIDA ST,1,13,4,0,0.0,0,0,42,0,2,4,31,95.4,1,3,167,0,5,74.5,66.6,74.6,,15.7,78.7,66.2,60.0,10,0,27,2,8,16,0,0,2,15,1,42,31,2.38,3.2,3.38,8
0,Brashard Smith,143951,HB,SMU,1,12,5,1,28.2,20,0,71,0,3,5,43,191.1,1,5,287,0,3,74.4,90.5,73.9,,75.3,84.3,89.6,60.0,20,0,28,3,12,13,0,0,3,15,1,71,43,3.58,5.9,2.33,9
0,Savion Red,163857,HB,NEVADA,1,12,6,0,0.0,0,0,30,1,1,6,23,95.8,0,1,239,0,8,74.5,63.6,75.9,,,57.9,63.8,63.5,8,0,10,2,12,20,0,0,3,14,1,30,23,1.92,2.5,0.83,4
0,Sean Dollars,71332,HB,NEVADA,1,11,0,0,0.0,0,0,34,0,1,0,16,11.2,0,0,239,0,8,73.6,56.1,0.0,,80.9,62.2,56.6,56.3,8,1,11,2,9,20,0,0,3,13,0,34,16,1.45,3.1,1.22,3
0,Jamal Haynes,143918,HB,GA TECH,1,11,2,1,48.0,36,0,75,0,2,2,27,75.5,2,4,176,0,9,73.6,71.2,77.0,,19.6,75.0,72.5,56.5,36,0,16,2,12,24,0,0,2,13,2,75,27,2.45,6.8,1.33,2
0,Landon Sims,146065,HB,HAWAII,1,10,2,1,50.0,29,0,58,0,0,2,40,72.7,1,2,180,0,7,73.1,66.2,75.6,,88.0,63.2,62.0,57.6,29,0,2,1,4,16,0,0,1,11,0,58,40,4.0,5.8,0.5,3
0,Brayden Schager,146078,QB,HAWAII,1,10,2,1,30.0,15,0,32,0,0,0,15,0.0,2,4,180,0,1,71.8,82.0,76.3,78.8,,,69.8,60.0,15,0,0,0,0,21,18,3,0,7,2,50,36,3.6,5.0,,0
0,Lawrance Toafili,122421,HB,FLORIDA ST,1,8,2,1,87.5,28,0,32,0,2,2,10,45.5,1,1,167,0,5,72.2,66.3,75.5,,73.7,75.2,59.1,60.1,28,0,25,3,14,11,0,0,3,11,1,32,10,1.25,4.0,1.79,3
0,LJ Johnson Jr.,147003,HB,SMU,1,8,0,0,0.0,0,0,17,0,0,0,7,0.0,0,1,287,0,4,73.1,65.0,73.5,,0.0,56.3,68.6,60.0,8,0,0,0,7,11,0,0,0,8,1,17,7,0.88,2.1,0.0,4
0,Chad Alexander,175356,HB,GA TECH,1,7,2,1,39.0,16,0,41,0,0,2,25,102.0,1,3,176,0,6,71.3,68.9,73.0,,,59.1,68.0,59.2,16,0,0,0,2,12,0,0,0,7,0,41,25,3.57,5.9,0.0,1
0,Preston Stone,124716,QB,SMU,1,6,2,0,0.0,0,0,6,0,0,0,3,0.0,1,1,287,0,2,70.6,80.3,20.0,79.0,,,69.4,60.0,12,1,0,0,0,23,21,2,0,4,0,27,22,3.67,4.5,,0
0,NaQuari Rogers,160350,HB,NEW MEXICO,1,6,0,0,0.0,0,0,26,0,0,0,9,0.0,0,2,241,0,0,70.5,65.0,71.4,,70.8,,64.5,59.7,8,0,0,0,0,8,0,0,0,6,0,26,9,1.5,4.3,,1
0,DJ Uiagalelei,122162,QB,FLORIDA ST,1,5,1,0,0.0,0,0,3,0,0,0,1,0.0,0,2,167,0,2,69.9,68.2,76.3,67.0,,,62.3,60.0,6,0,0,0,0,29,8,2,0,3,0,11,12,2.4,2.2,,0
0,Jaylan Knighton,122215,HB,SMU,1,4,3,0,0.0,0,0,8,0,0,3,7,87.5,0,0,287,0,1,69.2,55.8,73.1,,38.2,66.0,52.1,60.0,3,0,26,2,15,6,0,0,3,6,0,8,7,1.75,2.0,1.73,3
0,Devon Dampier,171556,QB,NEW MEXICO,1,4,1,1,68.6,24,0,23,0,0,0,0,0.0,2,2,241,0,0,69.4,76.8,76.2,73.6,,,68.2,60.0,24,1,0,0,0,27,12,2,0,2,1,35,6,1.5,8.8,,1
0,Caziah Holmes,129782,HB,FLORIDA ST,1,2,0,0,0.0,0,0,8,0,0,0,5,0.0,0,0,167,0,2,65.5,59.5,68.4,,,,63.2,55.6,6,0,0,0,0,4,0,0,0,2,0,8,5,2.5,4.0,,0
0,Kamalu DeBlake,146061,HB,HAWAII,1,2,0,0,0.0,0,0,14,0,0,0,12,0.0,0,0,180,0,0,65.5,72.3,66.9,,,,69.1,60.0,8,0,0,0,0,3,0,0,0,2,0,14,12,6.0,7.0,,2
0,David Cordero,146071,HB,HAWAII,1,2,0,0,0.0,0,0,9,0,0,0,6,0.0,0,0,180,0,2,65.5,62.0,70.8,,64.3,,61.3,60.0,6,0,0,0,0,4,0,0,0,2,0,9,6,3.0,4.5,,0
0,Jaylin Lucas,156396,HB,FLORIDA ST,1,2,3,0,0.0,0,0,13,0,0,3,6,300.0,1,1,167,0,0,67.3,77.6,69.4,,0.0,72.7,70.1,60.0,10,0,5,1,1,4,0,0,1,3,0,13,6,3.0,6.5,5.0,1
0,Javen Jacobs,157190,HB,NEW MEXICO,1,2,0,0,0.0,0,0,5,0,0,0,5,0.0,0,0,241,0,2,70.2,57.7,72.7,,,57.4,58.7,60.0,4,0,6,1,8,3,0,0,1,3,0,5,5,2.5,2.5,0.75,0
0,Kevin Jennings,158272,QB,SMU,1,1,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,287,0,0,64.9,59.1,71.6,62.2,,,57.0,60.0,4,0,0,0,0,7,4,1,0,0,0,4,-1,-1.0,4.0,,0
0,Zach Pyron,156309,QB,GA TECH,1,1,0,0,0.0,0,0,1,0,0,0,0,0.0,0,1,176,0,0,62.5,67.4,63.6,,,,62.9,,1,0,0,0,0,1,0,0,0,1,1,1,0,0.0,1.0,,1
0,Cam Barfield,162657,HB,HAWAII,1,1,0,0,0.0,0,0,4,0,0,0,2,0.0,0,0,180,0,1,64.8,59.2,68.6,,60.1,,59.6,,4,0,0,0,0,1,0,0,0,1,0,4,2,2.0,4.0,,0
0,Pat Garwo III,97120,HB,NEVADA,1,1,0,0,0.0,0,0,6,0,0,0,2,0.0,0,0,239,0,0,64.3,82.0,68.4,,,74.8,63.3,,6,0,8,1,1,1,0,0,1,2,0,6,2,2.0,6.0,8.0,1
0,Eric Singleton Jr.,170078,WR,GA TECH,1,1,0,0,0.0,0,0,10,0,1,0,2,66.7,1,1,176,0,1,65.3,64.0,76.5,,,61.0,63.4,62.6,10,0,19,2,15,26,0,0,4,3,0,10,2,2.0,10.0,1.27,0
0,Kam Davis,183297,HB,FLORIDA ST,1,1,0,0,,0,0,0,1,0,0,0,0.0,0,0,167,0,0,62.5,55.3,71.4,,8.7,28.8,59.5,83.2,0,0,0,0,5,5,0,0,1,1,0,0,0,0.0,0.0,0.0,1
0,Isaac Pearson,144741,P,SMU,1,1,0,0,0.0,0,0,-20,0,0,0,0,0.0,0,0,287,2,0,11.1,60.0,70.3,,,,60.0,,-20,0,0,0,0,1,0,0,0,1,0,-20,0,0.0,-20.0,,0
0,John-Keawe Sagapolutele,175709,QB,HAWAII,1,1,0,0,0.0,0,0,1,0,0,0,0,0.0,0,1,180,0,0,62.5,69.2,67.4,,,,63.2,60.0,1,0,0,0,0,3,0,0,0,1,0,1,0,0.0,1.0,,0
0,Malik Rutherford,143929,WR,GA TECH,1,1,1,0,0.0,0,0,9,0,0,1,3,60.0,0,1,176,0,1,66.5,70.8,77.7,,,72.3,63.2,48.3,9,0,66,4,15,28,0,0,7,5,0,9,3,3.0,9.0,4.4,0
0,Kayvon Britten,63937,HB,TARLETON,1,26,8,1,27.2,44,0,162,1,0,8,112,127.6,4,7,401,0,3,78.0,80.4,74.8,,78.7,40.0,79.5,73.3,44,0,9,1,10,27,0,0,2,27,0,162,112,4.31,6.2,0.9,22
0,Payton Brown,192848,HB,SE MO ST,1,19,2,1,25.8,25,0,97,0,1,2,62,46.6,1,8,293,0,15,76.5,81.8,75.6,,0.0,67.6,83.3,58.5,25,0,29,2,17,24,0,0,2,21,3,97,62,3.26,5.1,1.71,4
0,Scottre Humphrey,176767,HB,MONTANA ST,1,19,4,4,64.3,90,0,140,0,0,4,57,63.2,4,7,233,1,0,30.0,71.6,74.5,,73.1,57.9,69.9,59.7,34,0,0,0,3,23,0,0,0,19,1,140,57,3.0,7.4,0.0,19
0,Clifton McDowell,98003,QB,MCNEESE,1,18,3,0,0.0,0,0,73,0,0,2,43,38.2,3,4,217,2,5,35.6,66.2,76.9,73.2,,,56.4,60.0,11,0,0,0,0,43,3,3,0,15,0,76,56,3.11,4.2,,1
0,Adam Jones,176769,HB,MONTANA ST,1,17,1,1,55.7,93,0,167,0,0,1,40,12.4,2,5,233,0,1,75.9,75.5,76.4,,79.4,62.5,74.3,67.0,93,0,10,2,20,21,0,0,2,19,1,167,40,2.35,9.8,0.5,16
0,Brandon Epton Jr.,144359,HB,SE MO ST,1,16,2,1,31.3,15,0,48,0,1,2,33,28.1,2,2,293,0,11,76.3,64.3,76.6,,67.9,68.3,62.5,58.7,15,0,22,6,21,23,0,0,6,22,0,48,33,2.06,3.0,1.05,5
0,Jayvian Allen,149203,HB,N ALABAMA,1,13,0,1,62.0,62,0,100,0,0,0,73,0.0,1,4,389,0,7,74.4,67.3,76.4,,21.2,52.0,71.3,60.0,62,0,0,0,20,15,0,0,0,13,1,100,73,5.62,7.7,0.0,6
0,X'Zavion Evans,174273,HB,NORFOLK,1,13,5,1,39.0,23,0,59,0,0,5,35,103.6,1,2,244,0,10,74.4,59.6,73.2,,,56.7,59.8,60.0,23,0,0,0,5,17,0,0,0,13,0,59,35,2.69,4.5,0.0,3
0,Kevon King,164728,HB,NORFOLK,1,13,4,2,68.3,97,0,142,0,0,4,24,56.8,3,5,244,0,9,74.4,74.5,73.2,,77.8,57.6,72.9,58.5,82,0,0,0,3,17,0,0,0,13,2,142,24,1.85,10.9,0.0,4
0,Jaden Sutton,109120,HB,DELWARE ST,1,12,3,1,30.4,17,0,56,1,2,3,35,97.2,2,3,152,0,2,74.5,74.7,76.0,,76.5,56.4,80.5,59.9,17,0,43,3,28,15,0,0,5,15,1,56,35,2.92,4.7,1.54,9
