week,player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
0,Korey Foreman,70831,ED,FRESNO ST,1,0,7.0,100.0,33.3,3.0,3.0,0,0,0,0.0,169,46.2,45.5,75.2,53.8,59.4,52.2,0,16,100.0,1,0,0,118.8,1,3,9,0,0,1,0,16,9,5.3,16.0
0,Justin Flowe,72388,LB,UNLV,1,0,,,50.0,,,0,0,0,,325,60.7,76.6,71.7,55.6,83.1,76.3,0,,,0,0,0,0.0,0,3,6,0,0,0,0,0,0,0.0,
0,Jadon Pearson,72538,LB,FRESNO ST,1,1,2.5,100.0,82.6,4.5,4.5,0,0,0,0.0,169,44.6,51.2,76.5,57.3,61.2,85.7,0,15,0.0,0,0,0,103.1,4,19,23,0,4,4,0,35,25,1.9,8.8
0,Ose Egbase,90529,ED,UNLV,1,1,,,4.8,,,0,0,0,,325,60.5,54.4,77.0,74.1,37.8,22.0,0,,0.0,0,0,0,0.0,0,1,21,0,0,0,0,0,0,0.0,
0,Virdel Edwards II,99286,CB,HAWAII,1,0,5.0,50.0,100.0,28.0,14.0,0,0,1,50.0,180,77.7,73.7,75.6,,52.5,38.8,0,5,0.0,0,1,0,56.3,1,30,30,2,2,2,0,5,0,0.2,5.0
0,Cecil Powell,99735,S,SM HOUSTON,1,0,12.2,66.7,95.3,10.0,6.7,1,0,2,33.3,281,69.5,70.0,79.6,57.6,69.0,82.1,0,48,0.0,0,1,1,105.6,4,41,43,1,5,6,0,69,32,1.7,17.3
0,Cody Stufflebean,122619,ED,KANSAS ST,1,0,-3.0,100.0,4.3,1.0,1.0,0,0,0,0.0,199,57.8,54.6,77.2,61.2,57.0,27.5,0,15,100.0,1,0,0,118.8,1,1,23,0,0,1,0,15,18,15.0,15.0
0,Bangally Kamara,123012,LB,KANSAS,1,0,3.3,100.0,79.2,6.3,6.3,0,0,0,0.0,198,52.7,64.7,74.7,84.4,64.1,29.0,0,39,0.0,0,0,0,118.8,3,19,24,2,2,3,0,60,50,3.2,20.0
0,Dave Herard,123779,S,W KENTUCKY,1,3,6.5,50.0,100.0,27.0,13.5,0,0,0,0.0,346,71.0,73.3,75.9,,71.9,86.3,0,13,0.0,0,0,0,70.8,1,29,29,3,4,2,0,13,5,0.5,13.0
0,Jaheem Joseph,129726,S,UNLV,1,0,-3.3,100.0,95.5,7.0,7.0,0,0,1,33.3,325,66.1,58.6,0.0,60.0,55.3,44.6,0,5,25.0,1,1,1,79.2,3,21,22,2,3,3,0,-2,8,-0.1,-0.7
0,Gunner Maldonado,129727,S,KANSAS ST,1,0,6.0,100.0,100.0,8.0,8.0,0,0,0,0.0,199,48.5,45.8,72.9,,51.0,28.7,0,10,,0,0,0,108.3,1,8,8,0,0,1,0,10,4,1.3,10.0
