week,player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
1,Connor McGovern,41714,C,BUF,1,0,4,63.0,0,2,52,100.0,100.0,98.1,0,2,0,59,59,47.0,0,2,30,100.0,100.0,96.7,2,0,32,32
1,Dion Dawkins,11818,T,BUF,1,0,4,78.0,0,2,52,100.0,100.0,96.2,0,3,1,59,59,73.0,0,2,30,100.0,100.0,93.3,3,1,32,32
1,David Edwards,35941,G,BUF,1,0,4,66.1,0,3,52,100.0,100.0,97.1,0,3,0,59,59,66.6,0,3,30,100.0,100.0,95.0,3,0,32,32
1,Spencer Brown,42296,T,BUF,1,0,4,55.6,1,2,52,100.0,100.0,97.1,1,3,0,59,59,43.5,1,2,30,100.0,100.0,95.0,3,0,32,32
1,O'Cyrus Torrence,102821,G,BUF,1,0,4,50.6,0,5,52,100.0,100.0,95.2,0,5,0,59,59,46.8,0,4,30,100.0,100.0,93.3,4,0,32,32
1,Will Campbell,157106,T,NE,1,0,19,72.6,0,3,53,100.0,100.0,95.3,0,4,1,54,54,64.6,0,2,30,100.0,100.0,93.3,3,1,30,30
1,Garrett Bradbury,46013,C,NE,1,0,19,85.9,0,0,53,100.0,100.0,100.0,0,0,0,54,54,83.0,0,0,30,100.0,100.0,100.0,0,0,30,30
1,Mike Onwenu,27357,G,NE,1,0,19,73.7,1,2,53,100.0,100.0,97.2,0,3,0,54,54,76.9,1,1,30,100.0,100.0,96.7,2,0,30,30
1,Morgan Moses,8701,T,NE,1,0,19,52.0,2,3,53,100.0,100.0,95.3,0,5,0,54,54,53.4,0,3,30,100.0,100.0,95.0,3,0,30,30
1,Jared Wilson,146717,G,NE,1,0,19,33.8,2,4,53,100.0,100.0,94.3,0,6,0,54,54,28.9,1,3,30,100.0,100.0,93.3,4,0,30,30
1,Joel Bitonio,8670,G,CLV,1,0,8,78.3,0,2,48,100.0,100.0,97.9,0,2,0,53,53,86.6,0,0,22,100.0,100.0,100.0,0,0,23,23
1,Erik McCoy,37347,C,NO,1,1,20,81.2,0,0,47,100.0,100.0,100.0,1,0,0,53,53,82.5,0,0,22,100.0,100.0,100.0,0,0,24,24
1,Ethan Pocic,11813,C,CLV,1,0,8,74.3,1,0,48,100.0,100.0,96.9,0,2,1,53,53,75.2,0,0,22,100.0,100.0,100.0,0,0,23,23
1,Dillon Radunz,30551,G,NO,1,0,20,79.2,0,1,47,100.0,100.0,98.9,0,1,0,53,53,80.9,0,0,22,100.0,100.0,100.0,0,0,24,24
1,Wyatt Teller,46131,G,CLV,1,0,8,66.6,0,3,48,100.0,100.0,96.9,0,3,0,53,53,70.6,0,0,22,100.0,100.0,100.0,0,0,23,23
1,Cesar Ruiz,59857,G,NO,1,0,20,77.5,0,0,47,100.0,100.0,100.0,0,0,0,53,53,65.4,0,0,22,100.0,100.0,100.0,0,0,24,24
1,Kelvin Banks Jr.,163839,T,NO,1,0,20,74.4,0,2,47,100.0,100.0,97.9,0,2,0,53,53,66.2,0,2,22,100.0,100.0,95.5,2,0,24,24
1,Dawand Jones,101550,T,CLV,1,2,8,33.0,2,5,48,100.0,100.0,92.7,3,7,0,53,53,22.8,1,4,22,100.0,100.0,88.6,5,0,23,23
1,Ryan Neuzil,41123,C,ATL,1,0,2,49.3,0,2,47,100.0,100.0,97.9,0,2,0,51,51,36.0,0,2,24,100.0,100.0,95.8,2,0,26,26
1,Elijah Wilkinson,46238,T,ATL,1,0,2,56.1,0,4,47,100.0,100.0,93.6,0,5,1,51,51,36.5,0,4,24,100.0,100.0,87.5,5,1,26,26
1,Chris Lindstrom,46692,G,ATL,1,1,2,70.7,0,3,47,100.0,100.0,96.8,1,3,0,51,51,55.9,0,3,24,100.0,100.0,93.7,3,0,26,26
1,Greg Van Roten,7746,G,NYG,1,0,21,74.7,0,1,45,100.0,100.0,98.9,0,1,0,51,51,69.0,0,1,19,100.0,100.0,97.4,1,0,21,21
1,Jermaine Eluemunor,11914,T,NYG,1,0,21,77.2,0,1,45,100.0,100.0,98.9,1,1,0,51,51,79.6,0,0,19,100.0,100.0,100.0,0,0,21,21
1,Matthew Bergeron,99658,G,ATL,1,0,2,72.4,1,1,47,100.0,100.0,97.9,0,2,0,51,51,58.8,1,1,24,100.0,100.0,95.8,2,0,26,26
1,James Hudson III,59854,T,NYG,1,0,21,47.2,2,4,45,100.0,100.0,93.3,1,6,0,51,51,62.9,2,2,19,100.0,100.0,89.5,4,0,21,21
1,Jon Runyan,36661,G,NYG,1,0,21,68.8,0,2,45,100.0,100.0,95.6,0,3,1,51,51,65.5,0,1,19,100.0,100.0,92.1,2,1,21,21
1,John Michael Schmitz Jr.,55238,C,NYG,1,0,21,67.3,0,2,45,100.0,100.0,97.8,0,2,0,51,51,74.1,0,1,19,100.0,100.0,97.4,1,0,21,21
1,Jake Matthews,8641,T,ATL,1,0,2,66.4,2,2,47,100.0,100.0,95.7,0,4,0,51,51,60.9,2,2,24,100.0,100.0,91.7,4,0,26,26
1,Trey Smith,62960,G,KC,1,0,16,85.4,0,1,46,100.0,100.0,98.9,0,1,0,49,49,85.6,0,1,13,100.0,100.0,96.2,1,0,14,14
1,Creed Humphrey,59996,C,KC,1,0,16,62.6,0,0,46,100.0,100.0,100.0,0,0,0,49,49,81.7,0,0,13,100.0,100.0,100.0,0,0,14,14
1,Kingsley Suamataia,146558,G,KC,1,0,16,60.8,2,1,46,100.0,100.0,96.7,0,3,0,49,49,21.2,2,1,13,100.0,100.0,88.5,3,0,14,14
1,Jawaan Taylor,41665,T,KC,1,0,16,71.0,1,0,46,100.0,100.0,98.9,1,1,0,49,49,50.8,1,0,13,100.0,100.0,96.2,1,0,14,14
1,Josh Simmons,88924,T,KC,1,0,16,54.7,0,4,46,100.0,100.0,95.7,0,4,0,49,49,72.4,0,1,13,100.0,100.0,96.2,1,0,14,14
1,Luke Wattenberg,41024,C,DEN,1,0,10,57.4,0,0,43,100.0,100.0,100.0,1,0,0,48,48,38.3,0,0,20,100.0,100.0,100.0,0,0,23,23
1,Garett Bolles,11775,T,DEN,1,0,10,83.9,1,0,43,100.0,100.0,98.8,0,1,0,48,48,85.1,0,0,20,100.0,100.0,100.0,0,0,23,23
1,Quinn Meinerz,112915,G,DEN,1,0,10,64.5,0,2,43,100.0,100.0,97.7,0,2,0,48,48,49.9,0,2,20,100.0,100.0,95.0,2,0,23,23
1,Mike McGlinchey,46275,T,DEN,1,0,10,73.7,1,1,43,100.0,100.0,97.7,0,2,0,48,48,76.6,1,0,20,100.0,100.0,97.5,1,0,23,23
1,Ben Powers,41482,G,DEN,1,0,10,74.9,0,0,43,100.0,100.0,100.0,1,0,0,48,48,65.4,0,0,20,100.0,100.0,100.0,0,0,23,23
1,Drew Dalman,52270,C,CHI,1,0,6,58.7,0,3,44,100.0,100.0,94.3,0,4,1,47,47,47.2,0,2,24,100.0,100.0,91.7,3,1,25,25
1,Jonah Jackson,37070,G,CHI,1,0,6,22.6,0,5,43,100.0,100.0,94.2,0,5,0,46,46,29.4,0,2,24,100.0,100.0,95.8,2,0,25,25
1,Darnell Wright,98480,T,CHI,1,0,6,86.0,0,0,43,100.0,100.0,100.0,1,0,0,46,46,84.2,0,0,24,100.0,100.0,100.0,0,0,25,25
1,Joe Thuney,10712,G,CHI,1,0,6,70.9,1,3,43,100.0,100.0,95.3,0,4,0,46,46,69.5,0,2,24,100.0,100.0,95.8,2,0,25,25
1,Braxton Jones,60092,T,CHI,1,0,6,56.2,2,4,43,100.0,100.0,93.0,0,6,0,46,46,59.6,1,4,24,100.0,100.0,89.6,5,0,25,25
1,Tate Ratledge,124034,G,DET,1,0,11,39.2,1,1,43,100.0,100.0,95.3,0,3,1,44,44,57.4,1,0,22,100.0,100.0,97.7,1,0,23,23
1,Taylor Decker,10650,T,DET,1,0,11,73.5,0,1,43,100.0,100.0,96.5,0,2,1,44,44,69.1,0,1,22,100.0,100.0,93.2,2,1,23,23
1,Christian Mahogany,98261,G,DET,1,0,11,43.9,0,2,43,100.0,100.0,93.0,0,4,2,44,44,14.8,0,2,22,100.0,100.0,86.4,4,2,23,23
1,Penei Sewell,81788,T,DET,1,0,11,72.1,0,1,43,100.0,100.0,98.8,0,1,0,44,44,70.0,0,1,22,100.0,100.0,97.7,1,0,23,23
1,Graham Glasgow,10729,C,DET,1,0,11,71.9,1,1,43,100.0,100.0,97.7,0,2,0,44,44,67.1,1,0,22,100.0,100.0,97.7,1,0,23,23
1,Zion Johnson,99681,G,LAC,1,0,27,55.3,0,1,41,100.0,100.0,98.8,0,1,0,43,43,36.4,0,1,23,100.0,100.0,97.8,1,0,25,25
1,Taylor Moton,11819,T,CAR,1,0,5,80.8,1,0,40,100.0,100.0,98.7,0,1,0,43,43,78.6,1,0,26,100.0,100.0,98.1,1,0,28,28
1,Robert Hunt,46139,G,CAR,1,0,5,79.0,0,0,40,100.0,100.0,100.0,0,0,0,43,43,73.8,0,0,26,100.0,100.0,100.0,0,0,28,28
1,Joe Alt,147481,T,LAC,1,0,27,91.4,0,0,41,100.0,100.0,100.0,0,0,0,43,43,90.0,0,0,23,100.0,100.0,100.0,0,0,25,25
1,Yosh Nijman,60822,T,CAR,1,0,5,41.2,0,6,40,100.0,100.0,92.5,0,6,0,43,43,25.7,0,6,26,100.0,100.0,88.5,6,0,28,28
1,Bradley Bozeman,27934,C,LAC,1,0,27,56.2,0,3,41,100.0,100.0,96.3,0,3,0,43,43,83.2,0,1,23,100.0,100.0,97.8,1,0,25,25
1,Damien Lewis,81532,G,CAR,1,0,5,81.1,0,0,40,100.0,100.0,97.5,0,1,1,43,43,76.5,0,0,26,100.0,100.0,96.2,1,1,28,28
1,Trey Pipkins III,91462,T,LAC,1,0,27,49.8,0,4,41,100.0,100.0,95.1,0,4,0,43,43,40.4,0,4,23,100.0,100.0,91.3,4,0,25,25
1,Austin Corbett,46290,C,CAR,1,0,5,27.7,0,1,40,100.0,100.0,98.7,1,1,0,43,43,30.5,0,1,26,100.0,100.0,98.1,1,0,28,28
1,Cornelius Lucas,9025,T,CLV,1,0,8,59.7,0,5,42,100.0,100.0,94.0,0,5,0,43,43,70.0,0,2,20,100.0,100.0,95.0,2,0,20,20
1,Trent Williams,5529,T,SF,1,0,28,52.9,1,5,39,100.0,100.0,92.3,0,6,0,42,42,47.5,1,2,16,100.0,100.0,90.6,3,0,18,18
