Rk,Team,Year,Week,,Opp,Pts,PtsO,PtDif,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD
1,MIA,2006,1,@,PIT,17,28,-11,2,2,2,1,1,0,0,0,0,0,0,0
2,PIT,2006,1,,MIA,28,17,11,4,4,4,1,0,0,0,0,0,0,1,0
3,ATL,2006,1,@,CAR,20,6,14,2,2,2,4,2,0,0,0,0,0,0,0
4,BUF,2006,1,@,NE,17,19,-2,2,2,2,1,1,0,0,0,0,0,0,1
5,CAR,2006,1,,ATL,6,20,-14,0,0,0,2,2,0,0,0,0,0,0,0
6,CHI,2006,1,@,GB,26,0,26,2,2,2,4,4,0,0,0,0,1,0,0
7,CIN,2006,1,@,KC,23,10,13,2,2,2,3,3,0,0,0,0,0,0,0
8,CLV,2006,1,,NO,14,19,-5,2,2,2,0,0,0,0,0,0,0,0,0
9,IND,2006,1,@,NYG,26,21,5,2,2,2,4,4,0,0,0,0,0,0,0
10,ARZ,2006,1,,SF,34,27,7,4,4,4,2,2,0,0,0,0,0,0,0
11,DAL,2006,1,@,JAX,17,24,-7,2,2,2,2,1,0,0,0,0,0,0,0
12,DEN,2006,1,@,SL,10,18,-8,1,1,1,1,1,0,0,0,0,0,0,0
13,DET,2006,1,,SEA,6,9,-3,0,0,0,3,2,0,0,0,0,0,0,0
14,GB,2006,1,,CHI,0,26,-26,0,0,0,1,0,0,0,0,0,0,0,0
15,HST,2006,1,,PHI,10,24,-14,1,1,1,1,1,0,0,0,0,0,0,0
16,JAX,2006,1,,DAL,24,17,7,3,3,3,2,1,0,0,0,0,0,0,0
17,KC,2006,1,,CIN,10,23,-13,1,1,1,2,1,0,0,0,0,0,0,0
18,NO,2006,1,@,CLV,19,14,5,1,1,1,4,4,0,0,0,0,0,0,0
19,NE,2006,1,,BUF,19,17,2,2,2,2,1,1,0,0,1,0,0,0,0
20,NYG,2006,1,,IND,21,26,-5,3,3,3,1,0,0,0,0,0,0,0,0
21,NYJ,2006,1,@,TEN,23,16,7,3,3,2,3,1,0,0,0,0,0,0,0
22,TEN,2006,1,,NYJ,16,23,-7,2,0,0,0,0,2,2,0,0,0,0,0
23,PHI,2006,1,@,HST,24,10,14,3,3,3,1,1,0,0,0,0,0,0,0
24,SL,2006,1,,DEN,18,10,8,0,0,0,7,6,0,0,0,0,0,0,0
25,BLT,2006,1,@,TB,27,0,27,3,3,3,2,2,0,0,0,0,0,1,0
26,SEA,2006,1,@,DET,9,6,3,0,0,0,5,3,0,0,0,0,0,0,0
27,SF,2006,1,@,ARZ,27,34,-7,3,3,3,3,2,0,0,0,0,0,0,0
28,TB,2006,1,,BLT,0,27,-27,0,0,0,0,0,0,0,0,0,0,0,0
29,MIN,2006,1,@,WAS,19,16,3,2,1,1,3,2,0,0,0,0,0,0,0
30,OAK,2006,1,,SD,0,27,-27,0,0,0,0,0,0,0,0,0,0,0,0
31,SD,2006,1,@,OAK,27,0,27,3,3,3,2,2,0,0,0,0,0,0,0
32,WAS,2006,1,,MIN,16,19,-3,1,1,1,4,3,0,0,0,0,0,0,0
33,ATL,2006,2,,TB,14,3,11,2,2,2,4,0,0,0,0,0,0,0,0
34,BUF,2006,2,@,MIA,16,6,10,1,1,1,3,3,0,0,0,0,0,0,0
35,CAR,2006,2,@,MIN,13,16,-3,1,1,1,2,2,0,0,0,0,0,0,0
36,CHI,2006,2,,DET,34,7,27,4,4,4,2,2,0,0,0,0,0,0,0
37,CIN,2006,2,,CLV,34,17,17,4,4,4,3,2,0,0,0,0,0,0,0
38,CLV,2006,2,@,CIN,17,34,-17,2,2,2,1,1,0,0,0,0,0,0,0
39,IND,2006,2,,HST,43,24,19,5,5,4,3,3,0,0,0,0,0,0,0
40,ARZ,2006,2,@,SEA,10,21,-11,1,1,1,3,1,0,0,0,0,0,0,0
41,DAL,2006,2,,WAS,27,10,17,3,3,3,2,2,0,0,0,0,0,0,0
42,DEN,2006,2,,KC,9,6,3,0,0,0,4,3,0,0,0,0,0,0,0
43,DET,2006,2,@,CHI,7,34,-27,1,1,1,1,0,0,0,0,0,0,0,0
44,GB,2006,2,,NO,27,34,-7,3,3,3,2,2,0,0,0,0,0,0,0
45,HST,2006,2,@,IND,24,43,-19,3,3,3,1,1,0,0,0,0,0,0,0
46,KC,2006,2,@,DEN,6,9,-3,0,0,0,2,2,0,0,0,0,0,0,0
47,MIA,2006,2,,BUF,6,16,-10,1,0,0,1,0,1,0,0,0,0,0,0
48,MIN,2006,2,,CAR,16,13,3,1,1,1,4,3,0,0,0,0,0,0,0
49,NO,2006,2,@,GB,34,27,7,4,4,4,2,2,0,0,0,0,0,0,0
50,NE,2006,2,@,NYJ,24,17,7,3,3,3,2,1,0,0,0,0,0,0,0
