Abbr,League,Full Name,Divison,Conf
ARZ,NFL,Arizona Cardinals,WEST,NFC
ATL,NFL,Atlanta Falcons,SOUTH,NFC
BLT,NFL,Baltimore Ravens,NORTH,AFC
BUF,NFL,Buffalo Bills,EAST,AFC
CAR,NFL,Carolina Panthers,SOUTH,NFC
CHI,NFL,Chicago Bears,NORTH,NFC
CIN,NFL,Cincinnati Bengals,NORTH,AFC
CLV,NFL,Cleveland Browns,NORTH,AFC
DAL,NFL,Dallas Cowboys,EAST,NFC
DEN,NFL,Denver Broncos,WEST,AFC
DET,NFL,Detroit Lions,NORTH,NFC
GB,NFL,Green Bay Packers,NORTH,NFC
HST,NFL,Houston Texans,SOUTH,AFC
IND,NFL,Indianapolis Colts,SOUTH,AFC
JAX,NFL,Jacksonville Jaguars,SOUTH,AFC
KC,NFL,Kansas City Chiefs,WEST,AFC
LA,NFL,Los Angeles Rams,WEST,NFC
LAC,NFL,Los Angeles Chargers,WEST,AFC
LV,NFL,Las Vegas Raiders,WEST,AFC
MIA,NFL,Miami Dolphins,EAST,AFC
MIN,NFL,Minnesota Vikings,NORTH,NFC
NE,NFL,New England Patriots,EAST,AFC
NO,NFL,New Orleans Saints,SOUTH,NFC
NYG,NFL,New York Giants,EAST,NFC
NYJ,NFL,New York Jets,EAST,AFC
OAK,NFL,Oakland Raiders,WEST,AFC
PHI,NFL,Philadelphia Eagles,EAST,NFC
PIT,NFL,Pittsburgh Steelers,NORTH,AFC
SD,NFL,San Diego Chargers,WEST,AFC
SEA,NFL,Seattle Seahawks,WEST,NFC
SF,NFL,San Francisco 49ers,WEST,NFC
SL,NFL,St. Louis Rams,WEST,NFC
TB,NFL,Tampa Bay Buccaneers,SOUTH,NFC
TEN,NFL,Tennessee Titans,SOUTH,AFC
WAS,NFL,Washington Redskins,EAST,NFC
ABILENE CH,NCAA,Abilene Christian Wildcats,,FCS
ADRIAN,NCAA,Adrian Bulldogs,,D3
AIR FORCE,NCAA,Air Force Falcons,MWC,FBS
AKRON,NCAA,Akron Zips,MAC,FBS
ALAB A&M,NCAA,Alabama A&M Bulldogs,DWAC,FCS
ALABAMA,NCAA,Alabama Crimson Tide,SEC,FBS
ALABAMA ST,NCAA,Alabama State Hornets,,FCS
ALBANY,NCAA,,,
ALBANY ST,NCAA,,,
ALCORN ST,NCAA,,,
ALU,NCAA,,,
AMRINT,NCAA,,,
ANG ST,NCAA,,,
APP STATE,NCAA,,,
ARIZONA,NCAA,,,
ARIZONA ST,NCAA,,,
ARK STATE,NCAA,,,
ARKANSAS,NCAA,,,
ARKAPB,NCAA,,,
ARKBC,NCAA,,,
ARMY,NCAA,,,
ASSMPT,NCAA,,,
AUBURN,NCAA,,,
AUGBUR,NCAA,,,
AUSTINPEAY,NCAA,,,
AVEMAR,NCAA,,,
BALL ST,NCAA,,,
BARCOL,NCAA,,,
BAYLOR,NCAA,,,
BETH COOK,NCAA,,,
BLHLYJ,NCAA,,,
BLMSBG,NCAA,,,
BOISE ST,NCAA,,,
BOSTON COL,NCAA,,,
BOWIE ST,NCAA,,,
BOWL GREEN,NCAA,,,
BROWN,NCAA,,,
BRYANT,NCAA,,,
BSU,NCAA,,,
BUCKNELL,NCAA,,,
BUFFALO,NCAA,,,
BUTLER,NCAA,,,
BYU,NCAA,,,
Bent,NCAA,,,
C MICHIGAN,NCAA,,,
CAL,NCAA,,,
CAL POLY,NCAA,,,
CAMPBELL,NCAA,,,
CARLET,NCAA,,,
CARSON,NCAA,,,
CATAWB,NCAA,,,
CENT ARK,NCAA,,,
CENT CT ST,NCAA,,,
CENT WASH,NCAA,,,
CHADST,NCAA,,,
CHAPMA,NCAA,,,
CHARLES SO,NCAA,,,
CHARLOTTE,NCAA,,,
CHATTNOOGA,NCAA,,,
CINCINNATI,NCAA,,,
CITADEL,NCAA,,,
CLARK ATL,NCAA,,,
CLEMSON,NCAA,,,
COAST CAR,NCAA,,,
COLGATE,NCAA,,,
COLO STATE,NCAA,,,
COLORADO,NCAA,,,
